,Approaches__100_yards-Rgh_RTP_RANK THIS WEEK,Approaches__100_yards-Rgh_RTP_RANK LAST WEEK,Approaches__100_yards-Rgh_RTP_PLAYER NAME,Approaches__100_yards-Rgh_RTP_ROUNDS,Approaches__100_yards-Rgh_RTP_AVG RTP
0,1,1,Jordan Spieth,81,-.015
1,2,2,Henrik Stenson,60,-.014
2,3,3,Jason Kokrak,99,-.006
3,4,4,Joel Dahmen,93,-.005
4,T5,T5,Harris English,84,E
5,T5,T5,J.B. Holmes,77,E
6,7,7,Phil Mickelson,90,+.004
7,8,8,Justin Rose,70,+.007
8,9,9,Dustin Johnson,77,+.011
9,10,10,Hudson Swafford,73,+.016
10,11,11,Stephan Jaeger,81,+.017
11,T12,T12,Bill Haas,76,+.018
12,T12,T12,Rory Sabbatini,91,+.018
13,T12,T12,Justin Thomas,91,+.018
14,15,15,D.A. Points,63,+.026
15,16,16,Webb Simpson,95,+.030
16,T17,T17,Bryson DeChambeau,93,+.034
17,T17,T17,Kevin Streelman,94,+.034
18,T19,T19,Stewart Cink,87,+.035
19,T19,T19,David Lingmerth,82,+.035
20,21,21,Nate Lashley,51,+.037
21,22,22,Cameron Smith,85,+.038
22,23,23,Jonas Blixt,67,+.040
23,24,24,Brandt Snedeker,84,+.041
24,T25,T25,Dominic Bozzelli,65,+.049
25,T25,T25,Lanto Griffin,80,+.049
26,T25,T25,Gary Woodland,96,+.049
27,28,28,Patrick Cantlay,87,+.050
28,T29,T29,Aaron Baddeley,84,+.051
29,T29,T29,Lucas Glover,65,+.051
30,T31,T31,Charley Hoffman,87,+.052
31,T31,T31,Luke List,98,+.052
32,33,33,Bubba Watson,90,+.053
33,34,34,Robert Garrigus,80,+.054
34,T35,T35,Chad Campbell,87,+.055
35,T35,T35,Tony Finau,105,+.055
36,T35,T35,Scott Stallings,96,+.055
37,38,38,Patrick Reed,94,+.056
38,T39,T39,Ian Poulter,73,+.058
39,T39,T39,Kevin Tway,110,+.058
40,41,41,Beau Hossler,104,+.059
41,42,42,Ryan Moore,78,+.060
42,T43,T43,Ryan Armour,109,+.062
43,T43,T43,Bud Cauley,55,+.062
44,T43,T43,Graeme McDowell,67,+.062
45,46,46,Nick Watney,94,+.064
46,T47,T47,Ricky Barnes,65,+.065
47,T47,T47,Jamie Lovemark,92,+.065
48,T49,T49,Jonathan Byrd,70,+.067
49,T49,T49,Charles Howell III,104,+.067
50,51,51,Cameron Percy,56,+.068
51,52,52,Si Woo Kim,108,+.071
52,53,53,Martin Laird,73,+.072
53,54,54,Andrew Putnam,97,+.074
54,T55,T55,Paul Casey,74,+.075
55,T55,T55,Patton Kizzire,92,+.075
56,T57,T57,Jim Furyk,50,+.076
57,T57,T57,William McGirt,84,+.076
58,T57,T57,Keith Mitchell,99,+.076
59,T60,T60,Chris Kirk,108,+.077
60,T60,T60,Trey Mullinax,75,+.077
61,T60,T60,Peter Uihlein,83,+.077
62,63,63,Zach Johnson,94,+.084
63,T64,T64,Matt Atkins,56,+.085
64,T64,T64,Tyrrell Hatton,58,+.085
65,T66,T66,Tom Lovelady,87,+.086
66,T66,T66,Shawn Stefani,76,+.086
