,Approach__125_yards_RTP_Score_RANK THIS WEEK,Approach__125_yards_RTP_Score_RANK LAST WEEK,Approach__125_yards_RTP_Score_PLAYER NAME,Approach__125_yards_RTP_Score_ROUNDS,Approach__125_yards_RTP_Score_AVG RTP
0,1,1,Justin Rose,70,-0.306
1,2,2,Wesley Bryan,69,-0.3
2,T3,T3,Billy Horschel,86,-0.273
3,T3,T3,Troy Merritt,89,-0.273
4,5,5,Jon Rahm,71,-0.26899999999999996
5,6,6,Matt Jones,70,-0.268
6,7,7,Vaughn Taylor,83,-0.262
7,8,8,Dustin Johnson,77,-0.258
8,T9,T9,Rory McIlroy,64,-0.25
9,T9,T9,Andrew Putnam,97,-0.25
10,T9,T9,Tiger Woods,68,-0.25
11,12,12,Johnson Wagner,75,-0.248
12,13,13,Zac Blair,64,-0.24600000000000002
13,14,14,Kevin Na,91,-0.244
14,15,15,Ollie Schniederjans,91,-0.239
15,16,16,Francesco Molinari,73,-0.23800000000000002
16,17,17,Brian Gay,103,-0.235
17,T18,T18,Ryan Armour,109,-0.23399999999999999
18,T18,T18,Chris Stroud,81,-0.23399999999999999
19,T20,T20,Corey Conners,97,-0.231
20,T20,T20,Justin Thomas,91,-0.231
21,22,22,Jason Day,75,-0.23
22,23,23,Webb Simpson,95,-0.22899999999999998
23,T24,T24,Bryson DeChambeau,93,-0.228
24,T24,T24,Phil Mickelson,90,-0.228
25,T26,T26,Hideki Matsuyama,75,-0.22399999999999998
26,T26,T26,Peter Uihlein,83,-0.22399999999999998
27,28,28,Brett Stegmaier,67,-0.222
28,29,29,Tommy Fleetwood,73,-0.22
29,30,30,Ethan Tracy,72,-0.21899999999999997
30,31,31,Ian Poulter,73,-0.218
31,32,32,Brooks Koepka,64,-0.213
32,33,33,Charles Howell III,104,-0.21
33,34,34,Brandt Snedeker,84,-0.209
34,T35,T35,Ryan Blaum,81,-0.20600000000000002
35,T35,T35,Nicholas Lindheim,77,-0.20600000000000002
36,37,37,Brian Harman,94,-0.203
37,38,38,Peter Malnati,87,-0.20199999999999999
38,39,39,Ben Crane,65,-0.19699999999999998
39,T40,T40,Tyrrell Hatton,58,-0.196
40,T40,T40,Hunter Mahan,67,-0.196
41,42,42,Rob Oppenheim,74,-0.193
42,43,43,Ryan Moore,78,-0.192
43,T44,T44,Brice Garnett,99,-0.18899999999999997
44,T44,T44,William McGirt,84,-0.18899999999999997
45,T46,T46,Andrew Landry,82,-0.188
46,T46,T46,Jonathan Randolph,71,-0.188
47,T46,T46,Sam Ryder,82,-0.188
48,49,49,J.J. Spaun,85,-0.185
49,50,50,Branden Grace,67,-0.183
50,T51,T51,Billy Hurley III,70,-0.18100000000000002
51,T51,T51,Chris Kirk,108,-0.18100000000000002
52,T51,T51,Martin Laird,73,-0.18100000000000002
53,T54,T54,Seamus Power,86,-0.18
54,T54,T54,Steve Wheatcroft,60,-0.18
55,56,56,Stephan Jaeger,81,-0.17800000000000002
56,T57,T57,C.T. Pan,104,-0.177
57,T57,T57,Patrick Reed,94,-0.177
58,T59,T59,Ben Martin,64,-0.17600000000000002
59,T59,T59,Cameron Smith,85,-0.17600000000000002
60,61,61,Dominic Bozzelli,65,-0.175
61,62,62,Nick Watney,94,-0.174
62,T63,T63,Jason Dufner,71,-0.17300000000000001
63,T63,T63,Adam Scott,78,-0.17300000000000001
64,65,65,Cameron Tringale,67,-0.171
65,66,66,Hudson Swafford,73,-0.16899999999999998
66,T67,T67,David Hearn,66,-0.168
67,T67,T67,Kevin Kisner,89,-0.168
68,T67,T67,Xander Schauffele,96,-0.168
69,T70,T70,Tony Finau,105,-0.16699999999999998
70,T70,T70,J.B. Holmes,77,-0.16699999999999998
71,T70,T70,Shawn Stefani,76,-0.16699999999999998
72,T73,T73,Cameron Percy,56,-0.165
73,T73,T73,"Ted Potter, Jr.",87,-0.165
74,T75,T75,Trey Mullinax,75,-0.16399999999999998
75,T75,T75,Ryan Palmer,69,-0.16399999999999998
76,T77,T77,Chesson Hadley,103,-0.162
77,T77,T77,Bubba Watson,90,-0.162
78,T79,T79,Scott Brown,102,-0.161
79,T79,T79,Fabián Gómez,88,-0.161
