,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
0,1,1,Cameron Percy,56,153.8,262963500.0,475
1,T2,T2,Stephan Jaeger,81,157.7,415624700.0,732
2,T2,T2,Keith Mitchell,99,157.7,517049700.0,911
3,4,4,Zecheng Dou,53,158.0,226324400.0,398
4,5,5,Matt Jones,70,158.1,303377300.0,533
5,6,6,Conrad Shindler,60,158.3,289586700.0,508
6,T7,T7,Blayne Barber,69,158.5,388002800.0,680
7,T7,T7,Rory Sabbatini,91,158.5,482187700.0,845
8,T9,T9,Lanto Griffin,80,158.7,379273700.0,664
9,T9,T9,Nate Lashley,51,158.7,238758500.0,418
10,11,11,Kyle Thompson,50,158.8,230343600.0,403
11,12,12,Trey Mullinax,75,158.9,362042700.0,633
12,T13,T13,Ethan Tracy,72,159.2,340940300.0,595
13,T13,T13,Andrew Yun,51,159.2,204652500.0,357
14,T15,T15,Zac Blair,64,159.4,306435500.0,534
15,T15,T15,Beau Hossler,104,159.4,589394300.0,1027
16,T15,T15,Brett Stegmaier,67,159.4,305916900.0,533
17,18,18,Matt Atkins,56,159.6,252750400.0,440
18,T19,T19,Dustin Johnson,77,159.8,387205800.0,673
19,T19,T19,Michael Thompson,62,159.8,373318700.0,649
20,21,21,Jon Rahm,71,159.9,310931500.0,540
21,T22,T22,Hunter Mahan,67,160.2,332717700.0,577
22,T22,T22,Bubba Watson,90,160.2,432405900.0,750
23,24,24,Nicholas Lindheim,77,160.3,387282500.0,671
24,25,25,Brian Stuard,103,160.4,602432900.0,1043
25,26,26,Corey Conners,97,160.5,521231100.0,902
26,T27,T27,Peter Malnati,87,160.6,489251700.0,846
27,T27,T27,Tyrone Van Aswegen,101,160.6,549252800.0,950
28,29,29,Chad Campbell,87,160.7,449565700.0,777
29,30,30,Tom Lovelady,87,160.8,420259400.0,726
30,T31,T31,Brice Garnett,99,161.0,542606300.0,936
31,T31,T31,Peter Uihlein,83,161.0,422450100.0,729
32,T33,T33,Jason Day,75,161.1,314936900.0,543
33,T33,T33,Tony Finau,105,161.1,524146200.0,904
34,T33,T33,J.J. Henry,81,161.1,424064300.0,731
35,36,36,Brandon Harkins,101,161.2,528637300.0,911
36,T37,T37,Ben Crane,65,161.3,314756600.0,542
37,T37,T37,Kevin Kisner,89,161.3,450731400.0,776
38,T39,T39,Jason Dufner,71,161.4,339353600.0,584
39,T39,T39,Andrew Landry,82,161.4,487630600.0,839
40,T39,T39,Steve Wheatcroft,60,161.4,311517000.0,536
41,T42,T42,Fabián Gómez,88,161.5,493509800.0,849
42,T42,T42,Ryan Palmer,69,161.5,372718500.0,641
43,T42,T42,Nick Taylor,94,161.5,503007200.0,865
44,T45,T45,Ricky Barnes,65,161.6,283915300.0,488
45,T45,T45,Chris Kirk,108,161.6,649656400.0,1117
46,T45,T45,Scott Piercy,84,161.6,444014800.0,763
47,T48,T48,Billy Hurley III,70,161.7,375962500.0,646
48,T48,T48,J.T. Poston,73,161.7,377203300.0,648
49,T48,T48,Aaron Wise,90,161.7,501706600.0,862
50,T51,T51,William McGirt,84,161.8,523803500.0,899
51,T51,T51,Louis Oosthuizen,62,161.8,316802900.0,544
52,T51,T51,Hudson Swafford,73,161.8,332496200.0,571
53,T54,T54,Ryan Armour,109,161.9,642233500.0,1102
54,T54,T54,Stewart Cink,87,161.9,438881200.0,753
55,T54,T54,Jason Kokrak,99,161.9,576963900.0,990
56,T54,T54,Cameron Tringale,67,161.9,336308200.0,577
57,T58,T58,David Hearn,66,162.0,333685200.0,572
58,T58,T58,Patton Kizzire,92,162.0,519752900.0,891
59,60,60,Martin Piller,79,162.1,437150500.0,749
60,T61,T61,Byeong Hun An,86,162.2,499303300.0,855
61,T61,T61,Phil Mickelson,90,162.2,438064500.0,750
62,T61,T61,D.A. Points,63,162.2,310598400.0,532
63,T64,T64,Aaron Baddeley,84,162.3,473750700.0,811
64,T64,T64,Martin Flores,92,162.3,471010900.0,806
65,T64,T64,Nick Watney,94,162.3,532373800.0,911
66,T67,T67,Bryson DeChambeau,93,162.4,493490800.0,844
67,T67,T67,Bill Haas,76,162.4,463018700.0,792
68,T67,T67,Scott Stallings,96,162.4,541911400.0,927
69,T70,T70,Retief Goosen,60,162.5,270820100.0,463
70,T70,T70,Sean O'Hair,67,162.5,370812900.0,634
71,T72,T72,Brian Gay,103,162.6,616968900.0,1054
72,T72,T72,Rory McIlroy,64,162.6,334307000.0,571
73,T74,T74,Bronson Burgoon,69,162.7,376511400.0,643
74,T74,T74,Bud Cauley,55,162.7,277057000.0,473
75,76,76,Tyrrell Hatton,58,162.8,290122600.0,495
76,T77,T77,James Hahn,85,162.9,467387700.0,797
77,T77,T77,Si Woo Kim,108,162.9,508893300.0,868
78,T77,T77,Sam Saunders,80,162.9,423506500.0,722
79,T77,T77,Brendan Steele,74,162.9,359598000.0,613
80,T81,T81,Greg Chalmers,56,163.0,262952100.0,448
81,T81,T81,Zach Johnson,94,163.0,490460600.0,836
82,T81,T81,Grayson Murray,72,163.0,358006300.0,610
83,T84,T84,Austin Cook,107,163.1,613006300.0,1044
84,T84,T84,Martin Laird,73,163.1,393498800.0,670
85,T84,T84,David Lingmerth,82,163.1,443347900.0,755
86,T84,T84,Denny McCarthy,71,163.1,336514400.0,573
87,T84,T84,Patrick Rodgers,97,163.1,490920600.0,836
88,T84,T84,Shawn Stefani,76,163.1,400514700.0,682
89,T90,T90,Jonathan Byrd,70,163.3,329722000.0,561
90,T90,T90,Chesson Hadley,103,163.3,576127300.0,980
91,T90,T90,Mackenzie Hughes,80,163.3,448002900.0,762
92,T90,T90,Matt Kuchar,88,163.3,451519500.0,768
93,T90,T90,Cameron Smith,85,163.3,405083200.0,689
94,T95,T95,Robert Garrigus,80,163.4,439437400.0,747
95,T95,T95,Russell Knox,94,163.4,514051100.0,874
96,T95,T95,Graeme McDowell,67,163.4,316555900.0,538
97,T95,T95,Justin Thomas,91,163.4,441131000.0,750
98,T99,T99,Charles Howell III,104,163.5,546854400.0,929
