,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
0,1,1,Justin Rose,70,72.5,87,120,-87,-9.00
1,2,2,Jason Day,75,69.15,65,94,-69,-10.00
2,3,3,Ricky Barnes,65,68.24,58,85,-62,-1.00
3,4,4,Blayne Barber,69,67.27,74,110,-77,-2.00
4,5,5,Bryson DeChambeau,93,67.18,131,195,-140,-3.00
5,6,6,Tommy Fleetwood,73,66.91,91,136,-99,-10.00
6,7,7,Phil Mickelson,90,66.67,102,153,-110,-10.00
7,8,8,Justin Thomas,91,66.28,114,172,-125,-11.00
8,9,9,Paul Casey,74,65.0,65,100,-68,-8.00
9,10,10,Zac Blair,64,64.86,48,74,-49,-11.00
10,11,11,Rory Sabbatini,91,64.74,101,156,-110,-16.00
11,12,12,Billy Horschel,86,64.53,111,172,-117,-22.00
12,13,13,Tony Finau,105,64.19,138,215,-149,-3.00
13,14,14,Cameron Percy,56,64.1,50,78,-56,-10.00
14,15,15,Kevin Na,91,63.79,74,116,-82,-10.00
15,16,16,Michael Thompson,62,63.74,58,91,-59,-14.00
16,17,17,Sam Saunders,80,63.69,100,157,-104,-1.00
17,18,18,Scott Piercy,84,63.41,78,123,-82,-4.00
18,19,19,Lanto Griffin,80,63.33,76,120,-81,+1.00
19,20,20,Conrad Shindler,60,62.96,51,81,-60,-1.00
20,21,21,Dustin Johnson,77,62.75,96,153,-106,-9.00
21,22,22,Aaron Wise,90,62.64,109,174,-113,-3.00
22,23,23,James Hahn,85,62.59,92,147,-100,E
23,T24,T24,Austin Cook,107,62.5,115,184,-117,-1.00
