,Average_Going_for_it_Shot_Distance_in_Yards_RANK THIS WEEK,Average_Going_for_it_Shot_Distance_in_Yards_RANK LAST WEEK,Average_Going_for_it_Shot_Distance_in_Yards_PLAYER NAME,Average_Going_for_it_Shot_Distance_in_Yards_EVENTS,Average_Going_for_it_Shot_Distance_in_Yards_AVG,Average_Going_for_it_Shot_Distance_in_Yards_DISTANCE (IN INCHES),Average_Going_for_it_Shot_Distance_in_Yards_ATTEMPTS
0,1,1,Cameron Percy,16,245.2,688629.0,78
1,2,2,Jim Furyk,15,246.6,355049.0,40
2,3,3,Blayne Barber,22,249.2,986958.0,110
3,4,4,Jason Day,20,249.4,844063.0,94
4,5,5,J.J. Henry,28,249.6,907637.0,101
5,6,6,Rory McIlroy,18,249.7,1132723.0,126
6,7,7,D.A. Points,25,249.8,719429.0,80
7,8,8,Stephan Jaeger,26,250.0,1206032.0,134
8,9,9,Tyrone Van Aswegen,31,250.2,1242806.0,138
9,10,10,William McGirt,26,250.5,1136234.0,126
10,T11,T11,James Hahn,26,250.9,1327619.0,147
11,T11,T11,Martin Laird,22,250.9,1156150.0,128
12,T13,T13,Ricky Barnes,22,251.1,768228.0,85
13,T13,T13,Dustin Johnson,20,251.1,1383224.0,153
14,15,15,Sam Saunders,26,251.2,1419718.0,157
15,16,16,Ryan Armour,32,251.4,1140243.0,126
16,17,17,Robert Garrigus,27,251.5,1584518.0,175
17,18,18,David Hearn,21,252.0,625959.0,69
18,19,19,Shawn Stefani,25,252.1,1107394.0,122
19,20,20,Mackenzie Hughes,28,252.2,1180146.0,130
20,21,21,Ryan Palmer,22,252.4,1345029.0,148
21,T22,T22,Whee Kim,30,252.5,963407.0,106
22,T22,T22,Michael Thompson,19,252.5,827185.0,91
23,T24,T24,Adam Schenk,28,252.7,1391930.0,153
24,T24,T24,Steve Wheatcroft,20,252.7,900551.0,99
25,26,26,Matt Jones,23,252.8,964796.0,106
26,27,27,Dominic Bozzelli,20,252.9,1156440.0,127
27,28,28,Jimmy Walker,23,253.0,1129413.0,124
28,29,29,Lanto Griffin,26,253.1,1093322.0,120
29,30,30,Jason Kokrak,29,253.2,2042201.0,224
30,31,31,Xinjun Zhang,28,253.3,1185531.0,130
31,32,32,Conrad Shindler,20,253.4,738943.0,81
32,T33,T33,Brice Garnett,30,253.7,1342611.0,147
33,T33,T33,J.B. Holmes,24,253.7,1488804.0,163
34,35,35,Shane Lowry,19,253.9,1033028.0,113
35,36,36,Wesley Bryan,23,254.1,539663.0,59
36,T37,T37,Cameron Smith,24,254.4,1181404.0,129
37,T37,T37,Harold Varner III,27,254.4,1510927.0,165
38,39,39,Chad Campbell,28,254.5,897824.0,98
39,40,40,Harris English,31,254.6,1429973.0,156
40,T41,T41,Bryson DeChambeau,26,254.7,1788152.0,195
