,Total_Hole_Outs_RANK THIS WEEK,Total_Hole_Outs_RANK LAST WEEK,Total_Hole_Outs_PLAYER NAME,Total_Hole_Outs_ROUNDS,Total_Hole_Outs_HOLE OUTS
0,1,1,Ben Silverman,90,25
1,2,2,Austin Cook,107,24
2,T3,T3,Ryan Blaum,81,22
3,T3,T3,Rory Sabbatini,91,22
4,T5,T5,Chris Kirk,108,21
5,T5,T5,Jimmy Walker,81,21
6,T7,T7,Aaron Baddeley,84,20
7,T7,T7,Derek Fathauer,84,20
8,T9,T9,Robert Garrigus,80,19
9,T9,T9,John Huh,94,19
10,T9,T9,Martin Piller,79,19
11,T12,T12,Tom Hoge,101,18
12,T12,T12,Jamie Lovemark,92,18
13,T12,T12,Keith Mitchell,99,18
14,T12,T12,"Ted Potter, Jr.",87,18
15,T12,T12,Kevin Streelman,94,18
16,T17,T17,Dominic Bozzelli,65,17
17,T17,T17,Scott Brown,102,17
18,T17,T17,Chesson Hadley,103,17
19,T17,T17,Michael Kim,74,17
20,T17,T17,Andrew Landry,82,17
21,T17,T17,Danny Lee,88,17
22,T17,T17,Luke List,98,17
23,T17,T17,C.T. Pan,104,17
24,T17,T17,Patrick Reed,94,17
25,T17,T17,Richy Werenski,98,17
26,T17,T17,Xinjun Zhang,81,17
27,T28,T28,Byeong Hun An,86,16
28,T28,T28,Talor Gooch,78,16
29,T28,T28,Tom Lovelady,87,16
30,T28,T28,Webb Simpson,95,16
31,T28,T28,Tyrone Van Aswegen,101,16
32,T28,T28,Jhonattan Vegas,92,16
33,T34,T34,Alex Cejka,77,15
34,T34,T34,Stewart Cink,87,15
35,T34,T34,Tony Finau,105,15
36,T34,T34,Brian Gay,103,15
37,T34,T34,Fabián Gómez,88,15
38,T34,T34,Patton Kizzire,92,15
39,T34,T34,Trey Mullinax,75,15
40,T34,T34,Sam Saunders,80,15
41,T34,T34,Ollie Schniederjans,91,15
42,T34,T34,Kevin Tway,110,15
43,T34,T34,Nick Watney,94,15
44,T45,T45,Ryan Armour,109,14
45,T45,T45,Joel Dahmen,93,14
46,T45,T45,Matt Every,79,14
47,T45,T45,Beau Hossler,104,14
48,T45,T45,Zach Johnson,94,14
49,T45,T45,Dustin Johnson,77,14
50,T45,T45,Si Woo Kim,108,14
51,T45,T45,Russell Knox,94,14
52,T45,T45,Kelly Kraft,94,14
53,T45,T45,Phil Mickelson,90,14
54,T45,T45,Brandt Snedeker,84,14
55,T45,T45,Scott Stallings,96,14
56,T45,T45,Ethan Tracy,72,14
57,T45,T45,Aaron Wise,90,14
58,T59,T59,Abraham Ancer,98,13
59,T59,T59,Bryson DeChambeau,93,13
60,T59,T59,Tyler Duncan,97,13
61,T59,T59,Harris English,84,13
62,T59,T59,Lanto Griffin,80,13
63,T59,T59,Bill Haas,76,13
64,T59,T59,Adam Hadwin,92,13
65,T59,T59,J.B. Holmes,77,13
66,T59,T59,Jason Kokrak,99,13
67,T59,T59,David Lingmerth,82,13
68,T59,T59,Ben Martin,64,13
69,T59,T59,Troy Merritt,89,13
70,T59,T59,Vaughn Taylor,83,13
71,T59,T59,Harold Varner III,91,13
72,T73,T73,Corey Conners,97,12
73,T73,T73,Ben Crane,65,12
74,T73,T73,Jason Day,75,12
75,T73,T73,Brice Garnett,99,12
76,T73,T73,Mackenzie Hughes,80,12
77,T73,T73,Whee Kim,93,12
78,T73,T73,Kevin Kisner,89,12
79,T73,T73,Martin Laird,73,12
80,T73,T73,Kevin Na,91,12
81,T73,T73,Rob Oppenheim,74,12
82,T73,T73,Ryan Palmer,69,12
83,T73,T73,Jonathan Randolph,71,12
84,T73,T73,Cameron Smith,85,12
85,T73,T73,Justin Thomas,91,12
86,T87,T87,Ricky Barnes,65,11
87,T87,T87,Keegan Bradley,98,11
88,T87,T87,Wesley Bryan,69,11
89,T87,T87,Bronson Burgoon,69,11
90,T87,T87,Paul Casey,74,11
91,T87,T87,Martin Flores,92,11
92,T87,T87,Tyrrell Hatton,58,11
93,T87,T87,William McGirt,84,11
94,T87,T87,Rory McIlroy,64,11
95,T87,T87,Sean O'Hair,67,11
96,T87,T87,Andrew Putnam,97,11
97,T87,T87,Chez Reavie,93,11
98,T87,T87,Chris Stroud,81,11
99,T87,T87,Bubba Watson,90,11
100,T101,T101,Kiradech Aphibarnrat,51,10
101,T101,T101,Matt Atkins,56,10
102,T101,T101,Bud Cauley,55,10
103,T101,T101,Roberto Díaz,72,10
104,T101,T101,Tommy Fleetwood,73,10
105,T101,T101,Cody Gribble,71,10
106,T101,T101,James Hahn,85,10
107,T101,T101,Brandon Harkins,101,10
108,T101,T101,Brian Harman,94,10
109,T101,T101,Russell Henley,77,10
110,T101,T101,Charley Hoffman,87,10
111,T101,T101,Billy Hurley III,70,10
112,T101,T101,Matt Jones,70,10
113,T101,T101,Brooks Koepka,64,10
114,T101,T101,Marc Leishman,93,10
115,T101,T101,Hideki Matsuyama,75,10
116,T101,T101,Grayson Murray,72,10
117,T101,T101,Scott Piercy,84,10
118,T101,T101,Seamus Power,86,10
119,T101,T101,Jon Rahm,71,10
120,T101,T101,Sam Ryder,82,10
121,T101,T101,Conrad Shindler,60,10
122,T101,T101,Shawn Stefani,76,10
123,T101,T101,Daniel Summerhays,51,10
124,T101,T101,Nick Taylor,94,10
