,Greens_or_Fringe_in_Regulation_RANK THIS WEEK,Greens_or_Fringe_in_Regulation_RANK LAST WEEK,Greens_or_Fringe_in_Regulation_PLAYER NAME,Greens_or_Fringe_in_Regulation_ROUNDS,Greens_or_Fringe_in_Regulation_%,Greens_or_Fringe_in_Regulation_TOTAL HIT,Greens_or_Fringe_in_Regulation_TOTAL ATTEMPTS,Greens_or_Fringe_in_Regulation_RTP SCORE
0,1,1,Henrik Stenson,60,77.4,613,792,-149.0
1,2,2,Brett Stegmaier,67,76.12,644,846,-161.0
2,3,3,Sam Ryder,82,75.24,948,1260,-242.0
3,4,4,Billy Horschel,86,75.04,1040,1386,-292.0
4,5,5,Tony Finau,105,74.42,1085,1458,-327.0
5,6,6,J.J. Henry,81,73.99,839,1134,-182.0
6,7,7,Adam Scott,78,73.98,799,1080,-206.0
7,8,8,Kevin Streelman,94,73.85,1090,1476,-266.0
8,T9,T9,C.T. Pan,104,73.71,1088,1476,-279.0
9,T9,T9,Cameron Percy,56,73.71,544,738,-149.0
10,11,11,Jon Rahm,71,73.64,676,918,-190.0
11,12,12,Francesco Molinari,73,73.59,755,1026,-201.0
12,13,13,Patrick Cantlay,87,73.55,887,1206,-238.0
13,14,14,Jordan Spieth,81,73.4,872,1188,-250.0
14,15,15,Dustin Johnson,77,73.39,819,1116,-297.0
15,16,16,Michael Thompson,62,73.21,738,1008,-184.0
16,17,17,Scott Piercy,84,73.2,896,1224,-207.0
17,18,18,Bryson DeChambeau,93,73.15,1027,1404,-322.0
18,19,19,Corey Conners,97,73.14,1040,1422,-239.0
19,T20,T20,David Hearn,66,73.11,658,900,-158.0
20,T20,T20,Jason Kokrak,99,73.11,1158,1584,-315.0
21,T22,T22,Hunter Mahan,67,73.09,671,918,-181.0
22,T22,T22,Andrew Putnam,97,73.09,1013,1386,-242.0
23,24,24,Johnson Wagner,75,73.03,723,990,-194.0
24,25,25,Rickie Fowler,74,72.95,801,1098,-228.0
25,26,26,Blayne Barber,69,72.87,787,1080,-196.0
26,27,27,Gary Woodland,96,72.78,917,1260,-262.0
27,28,28,Nate Lashley,51,72.7,458,630,-104.0
28,29,29,Kyle Stanley,93,72.64,876,1206,-242.0
29,30,30,Hideki Matsuyama,75,72.61,745,1026,-225.0
30,31,31,Tyler Duncan,97,72.57,1058,1458,-252.0
31,32,32,Justin Rose,70,72.43,691,954,-223.0
32,33,33,Patton Kizzire,92,72.22,1014,1404,-262.0
33,34,34,Keith Mitchell,99,72.16,1078,1494,-286.0
34,35,35,Aaron Wise,90,72.15,1039,1440,-293.0
35,36,36,Joel Dahmen,93,72.14,922,1278,-231.0
