,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
0,1,1,Ryan Armour,109,24.35,28,115
1,2,2,Luke List,98,24.14,42,174
2,3,3,Stephan Jaeger,81,23.91,33,138
3,4,4,Harris English,84,21.74,25,115
4,5,5,Brendan Steele,74,21.59,19,88
5,6,6,Ricky Barnes,65,20.97,26,124
6,7,7,Jamie Lovemark,92,20.73,34,164
7,8,8,Lanto Griffin,80,20.69,30,145
8,9,9,Beau Hossler,104,20.67,31,150
9,10,10,Phil Mickelson,90,20.63,26,126
10,11,11,Tony Finau,105,20.43,38,186
11,12,12,D.A. Points,63,20.24,17,84
12,13,13,Martin Laird,73,20.15,27,134
13,14,14,Jim Furyk,50,19.72,14,71
14,15,15,Tom Lovelady,87,19.58,37,189
15,16,16,Keith Mitchell,99,19.29,27,140
16,17,17,Kyle Thompson,50,19.18,14,73
17,18,18,Dustin Johnson,77,19.13,22,115
18,19,19,Charley Hoffman,87,19.08,29,152
19,20,20,Jason Kokrak,99,19.02,39,205
20,21,21,Robert Garrigus,80,19.01,27,142
21,22,22,Rory Sabbatini,91,18.88,27,143
22,23,23,Jonathan Byrd,70,18.56,18,97
23,24,24,Dominic Bozzelli,65,18.38,25,136
24,25,25,Nate Lashley,51,18.33,11,60
25,26,26,Kevin Tway,110,17.95,35,195
26,27,27,Tom Hoge,101,17.81,26,146
27,T28,T28,Stewart Cink,87,17.78,24,135
28,T28,T28,Tyrrell Hatton,58,17.78,16,90
29,30,30,Jonas Blixt,67,17.76,19,107
30,T31,T31,Bryson DeChambeau,93,17.61,25,142
31,T31,T31,Tyler Duncan,97,17.61,25,142
32,33,33,Chesson Hadley,103,17.31,27,156
33,34,34,Ryan Palmer,69,17.27,19,110
34,35,35,Brandt Snedeker,84,17.24,20,116
35,36,36,Derek Fathauer,84,17.22,31,180
36,37,37,Matt Every,79,17.12,19,111
37,38,38,Michael Thompson,62,17.11,13,76
38,39,39,Si Woo Kim,108,16.99,26,153
39,40,40,Peter Malnati,87,16.98,27,159
40,41,41,Chris Stroud,81,16.94,21,124
41,42,42,Sam Ryder,82,16.91,23,136
42,T43,T43,Charl Schwartzel,65,16.88,13,77
43,T43,T43,Hudson Swafford,73,16.88,13,77
44,T45,T45,Kelly Kraft,94,16.81,19,113
45,T45,T45,Trey Mullinax,75,16.81,20,119
46,47,47,C.T. Pan,104,16.8,21,125
47,48,48,Justin Thomas,91,16.79,23,137
48,49,49,Corey Conners,97,16.56,26,157
49,50,50,Keegan Bradley,98,16.5,17,103
50,51,51,J.J. Henry,81,16.49,16,97
51,52,52,Aaron Wise,90,16.41,21,128
52,53,53,David Lingmerth,82,16.3,15,92
53,54,54,Scott Stallings,96,16.2,29,179
54,T55,T55,Patrick Cantlay,87,16.13,20,124
55,T55,T55,Adam Scott,78,16.13,15,93
56,57,57,Brandon Harkins,101,16.08,32,199
57,58,58,Ollie Schniederjans,91,16.07,27,168
58,59,59,Patton Kizzire,92,15.95,26,163
59,60,60,Bubba Watson,90,15.94,22,138
60,61,61,Johnson Wagner,75,15.89,17,107
61,62,62,Patrick Reed,94,15.71,22,140
62,63,63,Jordan Spieth,81,15.63,20,128
63,64,64,Scott Piercy,84,15.58,24,154
64,65,65,Greg Chalmers,56,15.56,14,90
65,66,66,Scott Brown,102,15.54,23,148
66,67,67,Jimmy Walker,81,15.44,23,149
67,68,68,Kiradech Aphibarnrat,51,15.38,8,52
68,69,69,Bud Cauley,55,15.19,12,79
69,70,70,Shawn Stefani,76,15.15,20,132
70,T71,T71,Chris Kirk,108,15.13,23,152
71,T71,T71,Andrew Landry,82,15.13,23,152
72,T71,T71,Grayson Murray,72,15.13,18,119
73,T74,T74,Talor Gooch,78,15.09,24,159
74,T74,T74,Alex Noren,67,15.09,16,106
75,76,76,Andrew Yun,51,15.07,11,73
76,77,77,Chad Campbell,87,15.04,17,113
77,78,78,Cody Gribble,71,15.0,18,120
78,79,79,Whee Kim,93,14.96,19,127
79,80,80,Troy Merritt,89,14.88,18,121
80,T81,T81,Denny McCarthy,71,14.81,12,81
81,T81,T81,Conrad Shindler,60,14.81,12,81
82,83,83,Webb Simpson,95,14.79,21,142
83,84,84,Joel Dahmen,93,14.63,18,123
84,85,85,Martin Flores,92,14.62,25,171
85,86,86,Adam Hadwin,92,14.55,16,110
86,87,87,Mackenzie Hughes,80,14.52,18,124
87,88,88,Michael Kim,74,14.5,19,131
88,89,89,Ian Poulter,73,14.43,14,97
89,T90,T90,Ryan Blaum,81,14.41,16,111
90,T90,T90,Cameron Smith,85,14.41,16,111
91,T92,T92,Sean O'Hair,67,14.29,17,119
92,T92,T92,Adam Schenk,86,14.29,21,147
93,94,94,Danny Lee,88,14.06,18,128
94,95,95,Brian Stuard,103,14.04,16,114
95,96,96,Marc Leishman,93,14.0,21,150
96,97,97,Nick Watney,94,13.99,20,143
97,98,98,Xander Schauffele,96,13.92,22,158
98,T99,T99,J.B. Holmes,77,13.82,17,123
99,T99,T99,Ethan Tracy,72,13.82,17,123
100,101,101,Byeong Hun An,86,13.79,20,145
101,102,102,Daniel Summerhays,51,13.75,11,80
102,103,103,Bronson Burgoon,69,13.68,16,117
103,104,104,Ryan Moore,78,13.64,15,110
104,105,105,Kevin Streelman,94,13.55,21,155
105,106,106,Emiliano Grillo,94,13.51,15,111
106,107,107,Nicholas Lindheim,77,13.43,18,134
107,108,108,Abraham Ancer,98,13.41,24,179
108,T109,T109,Charles Howell III,104,13.33,18,135
109,T109,T109,Tyrone Van Aswegen,101,13.33,22,165
110,111,111,Matt Jones,70,13.27,13,98
111,112,112,Aaron Baddeley,84,13.19,19,144
112,113,113,William McGirt,84,13.07,20,153
113,T114,T114,Zac Blair,64,13.04,15,115
114,T114,T114,Patrick Rodgers,97,13.04,15,115
115,116,116,Gary Woodland,96,12.98,17,131
116,117,117,Rod Pampling,62,12.94,11,85
117,118,118,Harold Varner III,91,12.93,19,147
118,T119,T119,Blayne Barber,69,12.79,11,86
119,T119,T119,Ben Crane,65,12.79,11,86
120,121,121,Nick Taylor,94,12.75,19,149
121,122,122,Peter Uihlein,83,12.74,20,157
122,123,123,James Hahn,85,12.71,15,118
123,124,124,Jhonattan Vegas,92,12.67,19,150
124,125,125,Paul Casey,74,12.64,11,87
125,126,126,Kevin Na,91,12.61,15,119
126,T127,T127,Bill Haas,76,12.5,20,160
127,T127,T127,Sung Kang,89,12.5,19,152
128,T127,T127,Brooks Koepka,64,12.5,13,104
129,T127,T127,Shane Lowry,64,12.5,11,88
130,T127,T127,Justin Rose,70,12.5,11,88
131,132,132,Daniel Berger,81,12.4,15,121
132,133,133,Roberto Díaz,72,12.39,14,113
133,T134,T134,Jason Day,75,12.38,13,105
134,T134,T134,Hideki Matsuyama,75,12.38,13,105
135,T134,T134,Jonathan Randolph,71,12.38,13,105
136,137,137,Matt Atkins,56,12.36,11,89
137,138,138,Billy Hurley III,70,12.16,9,74
138,139,139,Kevin Kisner,89,12.12,12,99
139,140,140,John Huh,94,12.08,18,149
140,141,141,J.T. Poston,73,12.07,14,116
141,142,142,Andrew Putnam,97,11.93,21,176
142,143,143,Steve Wheatcroft,60,11.9,10,84
143,144,144,Zach Johnson,94,11.88,12,101
144,145,145,Billy Horschel,86,11.86,14,118
145,146,146,Cameron Tringale,67,11.82,13,110
146,147,147,Rory McIlroy,64,11.76,14,119
147,148,148,Ben Martin,64,11.54,12,104
148,149,149,Kevin Chappell,77,11.49,10,87
149,150,150,Anirban Lahiri,82,11.45,15,131
150,151,151,Sam Saunders,80,11.43,16,140
151,152,152,David Hearn,66,11.36,10,88
152,T153,T153,Francesco Molinari,73,11.34,11,97
153,T153,T153,Xinjun Zhang,81,11.34,11,97
154,155,155,Russell Knox,94,11.32,12,106
155,156,156,Martin Piller,79,11.29,14,124
156,157,157,Vaughn Taylor,83,11.21,12,107
157,158,158,Seamus Power,86,11.19,15,134
158,T159,T159,Tommy Fleetwood,73,11.11,10,90
159,T159,T159,Hunter Mahan,67,11.11,11,99
160,T159,T159,Louis Oosthuizen,62,11.11,9,81
161,T159,T159,J.J. Spaun,85,11.11,14,126
162,T163,T163,Fabián Gómez,88,11.02,13,118
163,T163,T163,Ben Silverman,90,11.02,14,127
