,Approach__275_yards_RTP_RANK THIS WEEK,Approach__275_yards_RTP_RANK LAST WEEK,Approach__275_yards_RTP_PLAYER NAME,Approach__275_yards_RTP_ROUNDS,Approach__275_yards_RTP_AVG RTP
0,1,1,Daniel Summerhays,51,-.889
1,T2,T2,Greg Chalmers,56,-.833
2,T2,T2,Michael Kim,74,-.833
3,4,4,Jamie Lovemark,92,-.826
4,T5,T5,Jason Day,75,-.769
5,T5,T5,Cody Gribble,71,-.769
6,T5,T5,Brooks Koepka,64,-.769
7,T8,T8,Paul Casey,74,-.750
8,T8,T8,Billy Horschel,86,-.750
9,T8,T8,Graeme McDowell,67,-.750
10,T8,T8,William McGirt,84,-.750
11,12,12,Kevin Na,91,-.733
12,13,13,Lanto Griffin,80,-.727
13,14,14,Chesson Hadley,103,-.720
14,15,15,Denny McCarthy,71,-.706
15,16,16,Austin Cook,107,-.704
16,17,17,Bronson Burgoon,69,-.700
17,18,18,Bud Cauley,55,-.692
18,19,19,Keith Mitchell,99,-.688
19,T20,T20,Jonathan Byrd,70,-.667
20,T20,T20,Rickie Fowler,74,-.667
21,T20,T20,Billy Hurley III,70,-.667
22,T20,T20,Martin Laird,73,-.667
23,T20,T20,Jordan Spieth,81,-.667
24,25,25,Grayson Murray,72,-.647
25,26,26,Gary Woodland,96,-.643
26,T27,T27,Sung Kang,89,-.625
27,T27,T27,Chris Kirk,108,-.625
28,T27,T27,Phil Mickelson,90,-.625
29,30,30,Kevin Kisner,89,-.619
30,T31,T31,Stephan Jaeger,81,-.615
31,T31,T31,Kyle Stanley,93,-.615
32,33,33,Martin Piller,79,-.611
33,T34,T34,Adam Hadwin,92,-.600
34,T34,T34,Andrew Landry,82,-.600
35,T34,T34,Luke List,98,-.600
36,T34,T34,Alex Noren,67,-.600
37,T34,T34,Ryan Palmer,69,-.600
38,T34,T34,Hudson Swafford,73,-.600
39,T40,T40,Zach Johnson,94,-.588
40,T40,T40,J.T. Poston,73,-.588
41,T40,T40,Rory Sabbatini,91,-.588
42,T40,T40,Jimmy Walker,81,-.588
43,T44,T44,Ryan Moore,78,-.579
44,T44,T44,Patrick Reed,94,-.579
45,T46,T46,Jonas Blixt,67,-.571
46,T46,T46,Patrick Cantlay,87,-.571
47,T46,T46,Stewart Cink,87,-.571
48,T46,T46,Nate Lashley,51,-.571
49,T46,T46,Chez Reavie,93,-.571
50,T46,T46,Ben Silverman,90,-.571
51,T46,T46,Nick Taylor,94,-.571
52,T53,T53,Bryson DeChambeau,93,-.563
53,T53,T53,Patton Kizzire,92,-.563
54,T53,T53,Kevin Tway,110,-.563
55,T56,T56,Aaron Baddeley,84,-.550
56,T56,T56,Brandon Harkins,101,-.550
57,T56,T56,Si Woo Kim,108,-.550
