,Approaches__200_yards-Rgh_RTP_RANK THIS WEEK,Approaches__200_yards-Rgh_RTP_RANK LAST WEEK,Approaches__200_yards-Rgh_RTP_PLAYER NAME,Approaches__200_yards-Rgh_RTP_ROUNDS,Approaches__200_yards-Rgh_RTP_AVG RTP
0,1,1,Jordan Spieth,81,-.450
1,2,2,Justin Thomas,91,-.444
2,3,3,Nick Watney,94,-.375
3,4,4,Nate Lashley,51,-.368
4,5,5,Dominic Bozzelli,65,-.364
5,6,6,Hudson Swafford,73,-.350
6,7,7,Lucas Glover,65,-.346
7,8,8,Ricky Barnes,65,-.321
8,9,9,Justin Rose,70,-.320
9,10,10,Bryson DeChambeau,93,-.310
10,11,11,Joel Dahmen,93,-.303
11,12,12,Ryan Palmer,69,-.297
12,13,13,Dustin Johnson,77,-.280
13,14,14,Charley Hoffman,87,-.279
14,15,15,Brooks Koepka,64,-.278
15,16,16,Jason Kokrak,99,-.268
16,T17,T17,Kevin Chappell,77,-.267
17,T17,T17,Stephan Jaeger,81,-.267
18,19,19,Trey Mullinax,75,-.258
19,T20,T20,Alex Cejka,77,-.250
20,T20,T20,Stewart Cink,87,-.250
21,T20,T20,Phil Mickelson,90,-.250
22,23,23,Luke List,98,-.238
23,T24,T24,Jamie Lovemark,92,-.229
24,T24,T24,Grayson Murray,72,-.229
25,26,26,Tony Finau,105,-.227
26,T27,T27,Tom Lovelady,87,-.226
27,T27,T27,Kevin Tway,110,-.226
28,29,29,Rory McIlroy,64,-.222
29,30,30,Cameron Smith,85,-.216
30,31,31,Troy Merritt,89,-.208
31,T32,T32,Matt Atkins,56,-.200
32,T32,T32,Jon Rahm,71,-.200
33,T32,T32,Michael Thompson,62,-.200
34,35,35,Harold Varner III,91,-.196
35,36,36,Marc Leishman,93,-.194
36,37,37,Charles Howell III,104,-.189
37,T38,T38,Paul Casey,74,-.185
38,T38,T38,Russell Knox,94,-.185
39,40,40,Daniel Berger,81,-.184
40,41,41,Patrick Cantlay,87,-.182
41,42,42,Peter Uihlein,83,-.179
42,43,43,Harris English,84,-.178
43,44,44,Bubba Watson,90,-.176
44,45,45,Denny McCarthy,71,-.172
45,T46,T46,Fabián Gómez,88,-.171
46,T46,T46,Bill Haas,76,-.171
47,T48,T48,Jonas Blixt,67,-.167
48,T48,T48,Beau Hossler,104,-.167
49,T48,T48,D.A. Points,63,-.167
50,T48,T48,Henrik Stenson,60,-.167
51,T48,T48,Kevin Streelman,94,-.167
52,53,53,Shawn Stefani,76,-.163
53,T54,T54,Patrick Reed,94,-.161
54,T54,T54,Gary Woodland,96,-.161
55,T54,T54,Tiger Woods,68,-.161
