,Average_Approach_Distance_-_Birdie_or_Better_RANK THIS WEEK,Average_Approach_Distance_-_Birdie_or_Better_RANK LAST WEEK,Average_Approach_Distance_-_Birdie_or_Better_PLAYER NAME,Average_Approach_Distance_-_Birdie_or_Better_ROUNDS,Average_Approach_Distance_-_Birdie_or_Better_AVG (YARDS),Average_Approach_Distance_-_Birdie_or_Better_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Birdie_or_Better_NUMBER OF APPROACH SHOTS
0,1,1,Wesley Bryan,69,159.5,99882200.0,174
1,2,2,Ryan Armour,109,161.3,208498800.0,359
2,3,3,Jim Furyk,50,162.2,84670100.0,145
3,4,4,Brian Stuard,103,162.6,173820900.0,297
4,5,5,Chad Campbell,87,162.7,125955600.0,215
5,6,6,Brandt Snedeker,84,163.0,165495200.0,282
6,7,7,Rob Oppenheim,74,164.6,105501300.0,178
7,8,8,Brian Gay,103,164.7,206368300.0,348
8,9,9,Nicholas Lindheim,77,164.8,125803900.0,212
9,10,10,David Hearn,66,165.7,109174900.0,183
10,11,11,Peter Malnati,87,166.2,170559200.0,285
11,T12,T12,Kelly Kraft,94,167.0,149085800.0,248
12,T12,T12,Ollie Schniederjans,91,167.0,181005600.0,301
13,14,14,Brett Stegmaier,67,167.2,109579900.0,182
14,15,15,Roberto Díaz,72,167.5,108513600.0,180
15,16,16,Vaughn Taylor,83,167.6,164764500.0,273
16,17,17,Whee Kim,93,167.9,163799800.0,271
17,18,18,Zach Johnson,94,168.1,169477900.0,280
18,19,19,Andrew Landry,82,168.2,156211600.0,258
19,20,20,Kyle Thompson,50,168.6,69192200.0,114
20,21,21,David Lingmerth,82,168.7,160332700.0,264
21,22,22,Martin Flores,92,169.1,150401700.0,247
22,T23,T23,J.J. Henry,81,169.3,129846600.0,213
23,T23,T23,Billy Hurley III,70,169.3,112722100.0,185
24,T25,T25,Ben Silverman,90,169.5,168979300.0,277
25,T25,T25,Tyrone Van Aswegen,101,169.5,171420000.0,281
26,27,27,Johnson Wagner,75,169.9,124805600.0,204
27,28,28,Zecheng Dou,53,170.2,69848500.0,114
28,T29,T29,Mackenzie Hughes,80,170.4,153951800.0,251
29,T29,T29,Dustin Johnson,77,170.4,186522500.0,304
30,T29,T29,"Ted Potter, Jr.",87,170.4,167496000.0,273
31,T29,T29,Shawn Stefani,76,170.4,136221900.0,222
32,33,33,Corey Conners,97,170.5,176121400.0,287
33,34,34,Jonathan Randolph,71,170.6,116707400.0,190
34,35,35,Trey Mullinax,75,170.8,136534200.0,222
35,T36,T36,Cameron Percy,56,171.0,97260300.0,158
36,T36,T36,Webb Simpson,95,171.0,189645900.0,308
37,T36,T36,Ethan Tracy,72,171.0,118209400.0,192
38,39,39,Chris Kirk,108,171.5,229038900.0,371
39,T40,T40,Ian Poulter,73,171.6,116738500.0,189
40,T40,T40,Steve Wheatcroft,60,171.6,101909700.0,165
41,42,42,Greg Chalmers,56,171.8,78565800.0,127
42,43,43,Russell Knox,94,171.9,154687600.0,250
43,44,44,Charles Howell III,104,172.0,170269000.0,275
44,45,45,Brooks Koepka,64,172.1,141869300.0,229
45,T46,T46,Brian Harman,94,172.4,170037200.0,274
