,Approaches_from__200_yards_Rgh_RANK THIS WEEK,Approaches_from__200_yards_Rgh_RANK LAST WEEK,Approaches_from__200_yards_Rgh_PLAYER NAME,Approaches_from__200_yards_Rgh_ROUNDS,Approaches_from__200_yards_Rgh_AVG,Approaches_from__200_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__200_yards_Rgh_# OF ATTEMPTS,Approaches_from__200_yards_Rgh_RELATIVE TO PAR
0,1,1,Dustin Johnson,77,"46' 11""",1173.917,25,-7
1,2,2,Francesco Molinari,73,"57' 6""",1264.833,22,-3
2,3,3,Jordan Spieth,81,"58' 7""",2341.667,40,-18
3,4,4,Ian Poulter,73,"59' 1""",1891.9170000000001,32,E
4,5,5,Kevin Chappell,77,"59' 2""",1775.0,30,-8
5,T6,T6,Hideki Matsuyama,75,"60' 1""",1682.4170000000001,28,-2
6,T6,T6,Adam Scott,78,"60' 1""",1682.25,28,-4
7,8,8,Charles Howell III,104,"60' 7""",2241.417,37,-7
8,9,9,Ryan Palmer,69,"60' 8""",2243.833,37,-11
9,T10,T10,C.T. Pan,104,"60' 9""",2064.417,34,+2
10,T10,T10,Xander Schauffele,96,"60' 9""",2188.083,36,-2
11,12,12,Chez Reavie,93,"61' 5""",1289.0,21,+1
12,13,13,Jason Dufner,71,"61' 6""",1414.0829999999999,23,-3
13,14,14,Justin Rose,70,"61' 7""",1540.1670000000001,25,-8
14,15,15,Blayne Barber,69,"61' 9""",2039.0829999999999,33,-2
15,16,16,Jimmy Walker,81,"62' 3""",2739.5,44,+5
16,17,17,Austin Cook,107,"62' 8""",2192.25,35,-1
17,18,18,Pat Perez,82,"62' 10""",1822.0,29,-3
18,19,19,Luke List,98,"63' 0""",3967.083,63,-15
19,T20,T20,Zecheng Dou,53,"63' 3""",1201.083,19,-1
20,T20,T20,Tyrrell Hatton,58,"63' 3""",1328.25,21,+4
21,22,22,Kevin Tway,110,"63' 4""",3928.417,62,-14
22,23,23,Bubba Watson,90,"63' 6""",2158.583,34,-6
23,24,24,Scott Piercy,84,"63' 8""",2546.0,40,-5
24,T25,T25,Keegan Bradley,98,"64' 5""",2446.333,38,-4
25,T25,T25,Kelly Kraft,94,"64' 5""",3155.5,49,+8
26,T25,T25,Trey Mullinax,75,"64' 5""",1996.8329999999999,31,-8
27,28,28,Brett Stegmaier,67,"64' 8""",1228.167,19,-2
28,29,29,"Ted Potter, Jr.",87,"64' 9""",2847.583,44,+3
29,30,30,Bryson DeChambeau,93,"64' 10""",2723.917,42,-13
