,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
0,1,1,Peter Uihlein,83,83.94,486,579
1,2,2,Jordan Spieth,81,83.74,551,658
2,3,3,Cameron Tringale,67,83.41,382,458
3,4,4,Tiger Woods,68,82.83,468,565
4,5,5,Jon Rahm,71,82.73,455,550
5,6,6,Keegan Bradley,98,82.58,730,884
6,7,7,Michael Thompson,62,82.48,433,525
7,8,8,Cameron Percy,56,82.02,365,445
8,9,9,Sam Ryder,82,81.9,611,746
9,10,10,Tommy Fleetwood,73,81.76,493,603
10,11,11,Aaron Wise,90,81.6,634,777
11,12,12,Dustin Johnson,77,81.58,505,619
12,13,13,Shane Lowry,64,81.38,389,478
13,14,14,Corey Conners,97,81.27,664,817
14,15,15,Charles Howell III,104,81.26,711,875
15,16,16,Justin Thomas,91,81.16,547,674
16,17,17,Rory McIlroy,64,81.13,387,477
17,18,18,Patrick Cantlay,87,81.12,563,694
18,19,19,C.T. Pan,104,80.95,765,945
19,20,20,Sean O'Hair,67,80.83,426,527
20,T21,T21,Jason Kokrak,99,80.82,649,803
21,T21,T21,Justin Rose,70,80.82,493,610
22,23,23,J.J. Henry,81,80.78,559,692
23,24,24,Brooks Koepka,64,80.72,402,498
24,25,25,Kyle Stanley,93,80.66,713,884
25,26,26,Kevin Tway,110,80.65,617,765
26,27,27,J.T. Poston,73,80.52,492,611
27,28,28,Tony Finau,105,80.45,609,757
28,29,29,Gary Woodland,96,80.3,652,812
29,30,30,Patton Kizzire,92,80.17,558,696
30,31,31,Robert Streb,78,80.14,448,559
31,32,32,Martin Flores,92,80.12,528,659
32,T33,T33,Andrew Putnam,97,80.03,601,751
33,T33,T33,Henrik Stenson,60,80.03,473,591
34,35,35,Bubba Watson,90,80.0,516,645
35,36,36,Billy Horschel,86,79.97,623,779
36,T37,T37,Zecheng Dou,53,79.95,299,374
37,T37,T37,Kevin Streelman,94,79.95,710,888
38,39,39,Brett Stegmaier,67,79.92,398,498
39,T40,T40,Rafa Cabrera Bello,75,79.91,533,667
40,T40,T40,Adam Scott,78,79.91,545,682
41,42,42,Nicholas Lindheim,77,79.9,465,582
42,43,43,Tyler Duncan,97,79.82,692,867
43,44,44,Matt Kuchar,88,79.8,565,708
44,45,45,Rickie Fowler,74,79.77,544,682
45,46,46,Keith Mitchell,99,79.75,634,795
46,47,47,Hudson Swafford,73,79.74,484,607
47,48,48,Trey Mullinax,75,79.73,421,528
48,49,49,Brendan Steele,74,79.72,456,572
49,T50,T50,Matt Jones,70,79.65,411,516
50,T50,T50,Pat Perez,82,79.65,548,688
51,52,52,Luke List,98,79.64,579,727
52,53,53,Nick Taylor,94,79.63,610,766
53,54,54,Hideki Matsuyama,75,79.59,507,637
54,55,55,Scott Stallings,96,79.58,565,710
55,56,56,Brandon Harkins,101,79.5,578,727
56,57,57,Scott Piercy,84,79.46,584,735
57,58,58,Tyrone Van Aswegen,101,79.43,587,739
58,59,59,Jonathan Byrd,70,79.33,403,508
59,60,60,Zach Johnson,94,79.31,617,778
60,61,61,Marc Leishman,93,79.29,605,763
61,62,62,Paul Casey,74,79.27,497,627
62,63,63,David Hearn,66,79.25,443,559
63,64,64,Beau Hossler,104,79.23,698,881
64,65,65,Russell Knox,94,79.2,674,851
65,66,66,Richy Werenski,98,79.19,662,836
66,67,67,Blayne Barber,69,79.14,478,604
67,68,68,Byeong Hun An,86,79.13,561,709
