,Approach_250-275_yards_RTP_RANK THIS WEEK,Approach_250-275_yards_RTP_RANK LAST WEEK,Approach_250-275_yards_RTP_PLAYER NAME,Approach_250-275_yards_RTP_ROUNDS,Approach_250-275_yards_RTP_AVG RTP
0,1,1,D.A. Points,63,-0.833
1,2,2,Francesco Molinari,73,-0.792
2,3,3,Tony Finau,105,-0.765
3,4,4,Emiliano Grillo,94,-0.743
4,5,5,Shawn Stefani,76,-0.722
5,6,6,Bronson Burgoon,69,-0.7140000000000001
6,7,7,Rory Sabbatini,91,-0.71
7,T8,T8,Matt Jones,70,-0.706
8,T8,T8,Brett Stegmaier,67,-0.706
9,10,10,Tom Hoge,101,-0.7040000000000001
10,T11,T11,Ryan Armour,109,-0.696
11,T11,T11,Justin Rose,70,-0.696
12,13,13,Johnson Wagner,75,-0.688
13,14,14,Michael Kim,74,-0.682
14,T15,T15,Scott Brown,102,-0.68
15,T15,T15,Matt Every,79,-0.68
16,T15,T15,Tom Lovelady,87,-0.68
17,T15,T15,Vaughn Taylor,83,-0.68
18,T15,T15,Xinjun Zhang,81,-0.68
19,20,20,Kevin Tway,110,-0.679
20,T21,T21,Zac Blair,64,-0.667
21,T21,T21,Jason Kokrak,99,-0.667
22,23,23,Tommy Fleetwood,73,-0.655
23,24,24,Charles Howell III,104,-0.654
24,T25,T25,Abraham Ancer,98,-0.65
25,T25,T25,Bill Haas,76,-0.65
26,T25,T25,Steve Wheatcroft,60,-0.65
27,T28,T28,Chad Campbell,87,-0.647
28,T28,T28,Austin Cook,107,-0.647
29,30,30,Webb Simpson,95,-0.645
30,31,31,Brian Harman,94,-0.643
31,32,32,Keegan Bradley,98,-0.6409999999999999
32,T33,T33,Sam Ryder,82,-0.64
33,T33,T33,Sam Saunders,80,-0.64
34,35,35,Ethan Tracy,72,-0.636
35,36,36,Troy Merritt,89,-0.633
36,T37,T37,Roberto Díaz,72,-0.632
37,T37,T37,Hudson Swafford,73,-0.632
38,T39,T39,Matt Atkins,56,-0.625
39,T39,T39,Brooks Koepka,64,-0.625
40,T39,T39,Hunter Mahan,67,-0.625
41,T39,T39,Rob Oppenheim,74,-0.625
42,T39,T39,"Ted Potter, Jr.",87,-0.625
43,T44,T44,Brice Garnett,99,-0.615
44,T44,T44,Fabián Gómez,88,-0.615
45,T44,T44,Anirban Lahiri,82,-0.615
46,T47,T47,Kyle Stanley,93,-0.611
47,T47,T47,Cameron Tringale,67,-0.611
48,T49,T49,James Hahn,85,-0.609
49,T49,T49,Peter Malnati,87,-0.609
50,51,51,Daniel Berger,81,-0.606
51,T52,T52,David Hearn,66,-0.6
52,T52,T52,Martin Piller,79,-0.6
53,T52,T52,Kevin Streelman,94,-0.6
54,T52,T52,Brian Stuard,103,-0.6
55,56,56,Nick Taylor,94,-0.594
56,57,57,Brandon Harkins,101,-0.593
57,T58,T58,Denny McCarthy,71,-0.591
58,T58,T58,Tiger Woods,68,-0.591
59,T60,T60,Patrick Cantlay,87,-0.583
60,T60,T60,Zecheng Dou,53,-0.583
61,T60,T60,Sean O'Hair,67,-0.583
62,T60,T60,Henrik Stenson,60,-0.583
63,T64,T64,Kiradech Aphibarnrat,51,-0.579
64,T64,T64,Stewart Cink,87,-0.579
65,T64,T64,Grayson Murray,72,-0.579
66,T64,T64,Michael Thompson,62,-0.579
67,68,68,John Huh,94,-0.5760000000000001
68,69,69,C.T. Pan,104,-0.568
69,70,70,Patrick Rodgers,97,-0.5670000000000001
70,71,71,Jonathan Randolph,71,-0.565
71,T72,T72,Si Woo Kim,108,-0.563
72,T72,T72,Gary Woodland,96,-0.563
73,T74,T74,Ryan Blaum,81,-0.56
74,T74,T74,Jason Dufner,71,-0.56
