,Left_Rough_Proximity_RANK THIS WEEK,Left_Rough_Proximity_RANK LAST WEEK,Left_Rough_Proximity_PLAYER NAME,Left_Rough_Proximity_ROUNDS,Left_Rough_Proximity_AVG,Left_Rough_Proximity_ATTEMPTS,Left_Rough_Proximity_TOTAL DISTANCE (FEET),Left_Rough_Proximity_RELATIVE TO PAR
0,1,1,Justin Rose,70,"34' 4""",75,2576.417,-7.00
1,2,2,Kevin Streelman,94,"36' 8""",80,2933.25,-1.00
2,3,3,Ian Poulter,73,"36' 9""",59,2169.833,-1.00
3,4,4,Dustin Johnson,77,"37' 4""",104,3886.417,-2.00
4,5,5,Andrew Landry,82,"37' 5""",92,3442.833,+19.00
5,6,6,Scott Piercy,84,"37' 7""",92,3454.917,+19.00
6,7,7,Bill Haas,76,"38' 6""",99,3815.25,-3.00
7,8,8,Charley Hoffman,87,"38' 7""",97,3745.917,+1.00
8,9,9,Jason Kokrak,99,"39' 2""",152,5953.0,+2.00
9,10,10,Zecheng Dou,53,"39' 4""",89,3499.0,+16.00
10,11,11,Tyler Duncan,97,"39' 7""",113,4475.167,+15.00
11,T12,T12,Rickie Fowler,74,"39' 11""",81,3230.417,+7.00
12,T12,T12,Trey Mullinax,75,"39' 11""",130,5189.25,-2.00
13,14,14,C.T. Pan,104,"40' 4""",118,4760.083,+17.00
14,15,15,Bubba Watson,90,"40' 5""",124,5016.75,+1.00
15,16,16,Rod Pampling,62,"40' 8""",66,2686.167,+9.00
16,17,17,Retief Goosen,60,"40' 9""",88,3589.083,+13.00
17,18,18,Bryson DeChambeau,93,"40' 10""",124,5059.833,-1.00
18,19,19,Chad Campbell,87,"41' 0""",110,4511.667,+4.00
19,20,20,Rob Oppenheim,74,"41' 1""",106,4357.667,+8.00
20,21,21,Martin Laird,73,"41' 2""",70,2882.333,+7.00
21,22,22,Alex Cejka,77,"41' 3""",115,4739.0,+10.00
22,T23,T23,Peter Uihlein,83,"41' 4""",129,5327.8330000000005,+6.00
23,T23,T23,Tiger Woods,68,"41' 4""",93,3844.917,+6.00
24,T25,T25,Aaron Baddeley,84,"41' 5""",161,6673.3330000000005,+10.00
25,T25,T25,Zac Blair,64,"41' 5""",74,3066.833,+13.00
26,T25,T25,Jon Rahm,71,"41' 5""",77,3189.167,+6.00
27,T28,T28,Paul Casey,74,"41' 7""",82,3408.083,-2.00
28,T28,T28,Kevin Chappell,77,"41' 7""",119,4951.417,+14.00
29,T28,T28,Joel Dahmen,93,"41' 7""",108,4487.25,-4.00
30,T28,T28,Matt Kuchar,88,"41' 7""",119,4947.25,-5.00
31,T28,T28,Chez Reavie,93,"41' 7""",73,3032.833,+12.00
32,T33,T33,Brooks Koepka,64,"41' 10""",122,5102.417,+9.00
33,T33,T33,Charl Schwartzel,65,"41' 10""",77,3222.75,+10.00
34,T35,T35,J.B. Holmes,77,"41' 11""",139,5825.9169999999995,-5.00
35,T35,T35,Nick Watney,94,"41' 11""",147,6156.0830000000005,+5.00
36,T37,T37,Brett Stegmaier,67,"42' 0""",107,4491.917,+22.00
37,T37,T37,Brian Stuard,103,"42' 0""",112,4699.75,+11.00
38,T39,T39,Byeong Hun An,86,"42' 2""",123,5190.583,+19.00
39,T39,T39,Si Woo Kim,108,"42' 2""",131,5520.4169999999995,+19.00
40,T39,T39,William McGirt,84,"42' 2""",142,5990.8330000000005,+3.00
41,T42,T42,Jonathan Byrd,70,"42' 3""",88,3714.417,+14.00
42,T42,T42,Cameron Percy,56,"42' 3""",84,3548.583,+2.00
43,T44,T44,Shawn Stefani,76,"42' 4""",113,4780.917,+8.00
