,Right_Rough_Proximity_RANK THIS WEEK,Right_Rough_Proximity_RANK LAST WEEK,Right_Rough_Proximity_PLAYER NAME,Right_Rough_Proximity_ROUNDS,Right_Rough_Proximity_AVG,Right_Rough_Proximity_ATTEMPTS,Right_Rough_Proximity_TOTAL DISTANCE (FEET),Right_Rough_Proximity_RELATIVE TO PAR
0,1,1,Nate Lashley,51,"36' 5""",60,2183.333,-2.00
1,2,2,Dustin Johnson,77,"37' 2""",115,4274.417,+4.00
2,3,3,Jordan Spieth,81,"37' 8""",128,4817.333,+3.00
3,T4,T4,Phil Mickelson,90,"38' 6""",126,4848.917,+2.00
4,T4,T4,Brett Stegmaier,67,"38' 6""",86,3307.5,+6.00
5,T4,T4,Bubba Watson,90,"38' 6""",138,5316.0830000000005,+10.00
6,7,7,Ethan Tracy,72,"38' 8""",123,4758.75,+15.00
7,8,8,Brian Harman,94,"39' 3""",96,3765.75,+11.00
8,T9,T9,Joel Dahmen,93,"39' 4""",123,4841.583,+8.00
9,T9,T9,Kevin Streelman,94,"39' 4""",155,6095.4169999999995,+7.00
10,11,11,J.B. Holmes,77,"39' 6""",123,4856.25,+9.00
11,12,12,Grayson Murray,72,"39' 10""",119,4736.667,+19.00
12,13,13,Tony Finau,105,"40' 3""",186,7488.3330000000005,+3.00
13,14,14,Corey Conners,97,"40' 6""",157,6356.4169999999995,+17.00
14,T15,T15,Bryson DeChambeau,93,"40' 10""",142,5803.4169999999995,+13.00
15,T15,T15,Pat Perez,82,"40' 10""",92,3752.917,+16.00
16,T17,T17,Chesson Hadley,103,"40' 11""",156,6378.6669999999995,+12.00
17,T17,T17,Beau Hossler,104,"40' 11""",150,6143.0830000000005,+11.00
18,T17,T17,Louis Oosthuizen,62,"40' 11""",81,3313.333,+7.00
19,T20,T20,Derek Fathauer,84,"41' 0""",180,7381.9169999999995,+26.00
20,T20,T20,Ian Poulter,73,"41' 0""",97,3976.833,+8.00
21,T20,T20,Brendan Steele,74,"41' 0""",88,3609.167,-3.00
22,T23,T23,Bud Cauley,55,"41' 1""",79,3245.167,+3.00
23,T23,T23,Ben Crane,65,"41' 1""",86,3536.5,+8.00
24,T23,T23,Tyrrell Hatton,58,"41' 1""",90,3700.417,E
25,T26,T26,Ryan Blaum,81,"41' 5""",111,4597.25,+16.00
26,T26,T26,Luke List,98,"41' 5""",174,7205.4169999999995,-2.00
27,T26,T26,Ben Martin,64,"41' 5""",104,4308.333,+23.00
28,T26,T26,Michael Thompson,62,"41' 5""",76,3146.667,E
29,T30,T30,Stephan Jaeger,81,"41' 6""",138,5728.8330000000005,+1.00
30,T30,T30,Rory Sabbatini,91,"41' 6""",143,5938.1669999999995,+2.00
31,T30,T30,Cameron Smith,85,"41' 6""",111,4602.667,+2.00
32,33,33,Stewart Cink,87,"41' 7""",135,5614.8330000000005,E
