,Going_for_the_Green_RANK THIS WEEK,Going_for_the_Green_RANK LAST WEEK,Going_for_the_Green_PLAYER NAME,Going_for_the_Green_ROUNDS,Going_for_the_Green_%,Going_for_the_Green_ATTEMPTS,Going_for_the_Green_NON-ATTEMPTS,Going_for_the_Green_RTP-GOING FOR THE GREEN,Going_for_the_Green_RTP-NOT GOING FOR THE GRN
0,1,1,Luke List,98,78.45,222,61,-125,-4
1,2,2,Gary Woodland,96,76.15,182,57,-118,-4
2,3,3,Brooks Koepka,64,75.0,135,45,-74,-3
3,4,4,Tom Lovelady,87,73.6,184,66,-107,+3
4,5,5,Patrick Cantlay,87,73.28,181,66,-106,-2
5,6,6,Tony Finau,105,73.1,212,78,-138,-3
6,7,7,Tommy Fleetwood,73,72.43,134,51,-94,-10
7,8,8,Jon Rahm,71,72.19,135,52,-74,+3
8,9,9,Keith Mitchell,99,71.91,215,84,-127,-8
9,10,10,Henrik Stenson,60,71.63,101,40,-61,E
10,11,11,Bubba Watson,90,71.55,171,68,-104,-8
11,12,12,Rory McIlroy,64,71.08,118,48,-78,-2
12,13,13,Xander Schauffele,96,69.7,184,80,-104,-1
13,14,14,Hideki Matsuyama,75,69.15,139,62,-81,-7
14,15,15,Justin Thomas,91,69.11,170,76,-116,-11
15,16,16,Ryan Palmer,69,68.87,146,66,-79,-4
16,17,17,Jason Kokrak,99,68.83,223,101,-130,+10
17,18,18,Brendan Steele,74,68.37,147,68,-73,+4
18,19,19,Robert Garrigus,80,67.98,172,81,-68,+1
19,20,20,Grayson Murray,72,67.76,166,79,-86,+27
20,21,21,Sam Saunders,80,67.67,157,75,-97,-1
21,22,22,Alex Noren,67,67.61,119,57,-71,-2
22,23,23,Kevin Tway,110,67.56,227,109,-128,-8
23,24,24,Francesco Molinari,73,67.34,134,65,-70,-7
24,25,25,Bryson DeChambeau,93,67.01,193,95,-129,-3
25,26,26,Jhonattan Vegas,92,66.94,164,81,-79,-1
26,27,27,Dustin Johnson,77,66.81,151,75,-104,-9
27,28,28,Keegan Bradley,98,66.55,191,96,-106,-7
28,29,29,Bronson Burgoon,69,66.01,134,69,-81,-2
29,30,30,Patrick Reed,94,65.79,150,78,-88,-1
30,31,31,Xinjun Zhang,81,65.48,129,68,-61,E
31,T32,T32,Kevin Chappell,77,65.02,158,85,-86,-10
32,T32,T32,Trey Mullinax,75,65.02,132,71,-62,-6
33,34,34,Kiradech Aphibarnrat,51,64.6,73,40,-40,E
34,35,35,Jordan Spieth,81,64.52,160,88,-94,-8
35,36,36,Harris English,84,64.44,154,85,-80,+5
36,37,37,Byeong Hun An,86,64.2,165,92,-93,+3
37,38,38,Matt Jones,70,63.47,106,61,-67,+7
38,39,39,Cody Gribble,71,63.27,124,72,-64,+12
39,40,40,J.B. Holmes,77,62.89,161,95,-86,-15
40,41,41,Matt Every,79,62.83,142,84,-74,+6
41,42,42,Charley Hoffman,87,62.79,162,96,-77,-4
42,43,43,Jamie Lovemark,92,62.76,182,108,-101,-5
43,44,44,Harold Varner III,91,62.5,165,99,-96,-8
44,45,45,Justin Rose,70,62.43,118,71,-83,-9
45,46,46,Adam Schenk,86,62.4,151,91,-81,+4
