,Average_Distance_after_Going_for_it_Shot_RANK THIS WEEK,Average_Distance_after_Going_for_it_Shot_RANK LAST WEEK,Average_Distance_after_Going_for_it_Shot_PLAYER NAME,Average_Distance_after_Going_for_it_Shot_ROUNDS,Average_Distance_after_Going_for_it_Shot_AVG,Average_Distance_after_Going_for_it_Shot_TOTAL DIST AFTER GFG SHOT,Average_Distance_after_Going_for_it_Shot_TOTAL GFG SHOTS
0,1,1,Dustin Johnson,77,19.2,105855.0,153
1,2,2,Bryson DeChambeau,93,20.2,141764.0,195
2,3,3,Paul Casey,74,20.5,73665.0,100
3,4,4,Gary Woodland,96,20.7,138340.0,186
4,5,5,Steve Wheatcroft,60,20.8,74097.0,99
5,6,6,Conrad Shindler,60,20.9,60820.0,81
6,7,7,Satoshi Kodaira,51,21.2,48810.0,64
7,T8,T8,Blayne Barber,69,21.3,84193.0,110
8,T8,T8,Tyler Duncan,97,21.3,130865.0,171
9,T10,T10,Kevin Chappell,77,21.4,126443.0,164
10,T10,T10,Tommy Fleetwood,73,21.4,104890.0,136
11,T10,T10,Tiger Woods,68,21.4,89423.0,116
12,13,13,Keegan Bradley,98,21.6,148254.0,191
13,T14,T14,Justin Rose,70,21.9,94823.0,120
14,T14,T14,Xander Schauffele,96,21.9,145928.0,185
15,T16,T16,Jason Day,75,22.0,74552.0,94
16,T16,T16,Chesson Hadley,103,22.0,141014.0,178
17,T16,T16,Troy Merritt,89,22.0,121740.0,154
18,T16,T16,J.J. Spaun,85,22.0,111688.0,141
19,T16,T16,Bubba Watson,90,22.0,143510.0,181
20,T21,T21,Rafa Cabrera Bello,75,22.2,71906.0,90
21,T21,T21,Tony Finau,105,22.2,172054.0,215
22,23,23,James Hahn,85,22.3,117853.0,147
23,T24,T24,Nate Lashley,51,22.4,54827.0,68
24,T24,T24,Cameron Percy,56,22.4,62929.0,78
25,T24,T24,Seamus Power,86,22.4,113045.0,140
26,T24,T24,Patrick Rodgers,97,22.4,120116.0,149
27,T24,T24,Shawn Stefani,76,22.4,98587.0,122
28,T24,T24,Robert Streb,78,22.4,84741.0,105
29,T30,T30,Jason Kokrak,99,22.5,181568.0,224
30,T30,T30,Pat Perez,82,22.5,73794.0,91
31,T30,T30,Sam Ryder,82,22.5,128748.0,159
32,T30,T30,Justin Thomas,91,22.5,139427.0,172
33,T30,T30,Harold Varner III,91,22.5,133460.0,165
34,T35,T35,Chez Reavie,93,22.6,81483.0,100
35,T35,T35,Sam Saunders,80,22.6,128016.0,157
36,T35,T35,Jhonattan Vegas,92,22.6,134838.0,166
37,T38,T38,Luke List,98,22.7,190072.0,233
38,T38,T38,Ollie Schniederjans,91,22.7,110980.0,136
39,T38,T38,Kevin Streelman,94,22.7,145648.0,178
40,T41,T41,Tom Lovelady,87,22.8,157071.0,191
41,T41,T41,Rory McIlroy,64,22.8,103374.0,126
42,T41,T41,Sean O'Hair,67,22.8,107729.0,131
43,T41,T41,Peter Uihlein,83,22.8,116479.0,142
44,T45,T45,Abraham Ancer,98,22.9,153399.0,186
45,T45,T45,Emiliano Grillo,94,22.9,121238.0,147
46,T45,T45,Kyle Stanley,93,22.9,117154.0,142
47,T48,T48,Patrick Cantlay,87,23.0,151797.0,183
48,T48,T48,Joel Dahmen,93,23.0,127306.0,154
49,T48,T48,Brice Garnett,99,23.0,121731.0,147
50,T48,T48,Fabián Gómez,88,23.0,109174.0,132
51,T48,T48,Chris Kirk,108,23.0,140795.0,170
52,T48,T48,Keith Mitchell,99,23.0,182135.0,220
53,T48,T48,Scott Stallings,96,23.0,136579.0,165
54,55,55,Henrik Stenson,60,23.1,83985.0,101
55,T56,T56,Hideki Matsuyama,75,23.2,116195.0,139
56,T56,T56,Nick Watney,94,23.2,141430.0,169
57,T58,T58,Byeong Hun An,86,23.3,141833.0,169
58,T58,T58,Shane Lowry,64,23.3,94890.0,113
59,T60,T60,Ben Crane,65,23.4,56399.0,67
60,T60,T60,Marc Leishman,93,23.4,137543.0,163
61,T62,T62,Kevin Kisner,89,23.5,88789.0,105
62,T62,T62,Ryan Moore,78,23.5,116803.0,138
63,T62,T62,Brett Stegmaier,67,23.5,76151.0,90
64,T62,T62,Kevin Tway,110,23.5,206490.0,244
65,T66,T66,Jonathan Byrd,70,23.6,83959.0,99
66,T66,T66,Lucas Glover,65,23.6,89114.0,105
67,T66,T66,J.J. Henry,81,23.6,85633.0,101
68,T66,T66,Hunter Mahan,67,23.6,98690.0,116
69,T66,T66,Phil Mickelson,90,23.6,129741.0,153
70,T66,T66,Brendan Steele,74,23.6,125013.0,147
71,T66,T66,Kyle Thompson,50,23.6,47638.0,56
72,T73,T73,Jordan Spieth,81,23.7,136246.0,160
73,T73,T73,Xinjun Zhang,81,23.7,111134.0,130
74,T75,T75,Kiradech Aphibarnrat,51,23.8,62501.0,73
75,T75,T75,David Hearn,66,23.8,59003.0,69
76,T75,T75,William McGirt,84,23.8,108060.0,126
77,T75,T75,J.T. Poston,73,23.8,100186.0,117
78,T75,T75,Ethan Tracy,72,23.8,92361.0,108
79,T80,T80,Bronson Burgoon,69,23.9,115522.0,134
80,T80,T80,Talor Gooch,78,23.9,111696.0,130
81,T80,T80,Stephan Jaeger,81,23.9,115080.0,134
82,T80,T80,Ryan Palmer,69,23.9,127398.0,148
83,T84,T84,Jim Furyk,50,24.0,34564.0,40
84,T84,T84,Branden Grace,67,24.0,88005.0,102
85,T84,T84,J.B. Holmes,77,24.0,140598.0,163
86,T84,T84,Graeme McDowell,67,24.0,85543.0,99
87,T84,T84,Jon Rahm,71,24.0,117619.0,136
88,T89,T89,Ryan Armour,109,24.1,109197.0,126
89,T89,T89,Matt Atkins,56,24.1,79847.0,92
90,T89,T89,Ricky Barnes,65,24.1,73611.0,85
91,T89,T89,Chad Campbell,87,24.1,85045.0,98
92,T89,T89,Corey Conners,97,24.1,136033.0,157
93,T89,T89,Brian Gay,103,24.1,102201.0,118
94,T89,T89,Russell Knox,94,24.1,101301.0,117
95,T89,T89,Francesco Molinari,73,24.1,118059.0,136
96,T89,T89,Patrick Reed,94,24.1,131186.0,151
97,T89,T89,Jimmy Walker,81,24.1,107734.0,124
98,T99,T99,Tom Hoge,101,24.2,143067.0,164
99,T99,T99,Martin Laird,73,24.2,111518.0,128
100,T99,T99,Kevin Na,91,24.2,101037.0,116
101,T99,T99,Cameron Smith,85,24.2,112327.0,129
102,T99,T99,Nick Taylor,94,24.2,134972.0,155
103,T99,T99,Aaron Wise,90,24.2,151670.0,174
104,T105,T105,Tyrrell Hatton,58,24.3,65709.0,75
105,T105,T105,Russell Henley,77,24.3,105158.0,120
106,T105,T105,Charley Hoffman,87,24.3,143317.0,164
107,T105,T105,John Huh,94,24.3,133231.0,152
108,T105,T105,Patton Kizzire,92,24.3,136717.0,156
109,T105,T105,Johnson Wagner,75,24.3,75387.0,86
110,111,111,Andrew Landry,82,24.4,107918.0,123
111,112,112,Michael Thompson,62,24.5,80229.0,91
112,T113,T113,Robert Garrigus,80,24.6,155055.0,175
113,T113,T113,Brian Harman,94,24.6,117976.0,133
114,T113,T113,Webb Simpson,95,24.6,125790.0,142
115,T116,T116,Billy Horschel,86,24.7,153134.0,172
116,T116,T116,Sung Kang,89,24.7,113973.0,128
117,T116,T116,Brooks Koepka,64,24.7,125354.0,141
118,T119,T119,Aaron Baddeley,84,24.8,127645.0,143
119,T119,T119,Austin Cook,107,24.8,164142.0,184
120,T119,T119,Retief Goosen,60,24.8,68749.0,77
121,T122,T122,Mackenzie Hughes,80,24.9,116557.0,130
122,T122,T122,Grayson Murray,72,24.9,149578.0,167
123,T122,T122,Adam Scott,78,24.9,114043.0,127
124,T125,T125,Dominic Bozzelli,65,25.0,114384.0,127
125,T125,T125,Matt Jones,70,25.0,95400.0,106
126,T125,T125,Rob Oppenheim,74,25.0,73809.0,82
127,T128,T128,Charles Howell III,104,25.1,135671.0,150
128,T128,T128,Alex Noren,67,25.1,107666.0,119
129,T130,T130,Alex Cejka,77,25.2,96326.0,106
130,T130,T130,Jason Dufner,71,25.2,99693.0,110
131,T130,T130,Martin Flores,92,25.2,126161.0,139
132,T130,T130,Bill Haas,76,25.2,110601.0,122
133,134,134,Richy Werenski,98,25.3,127478.0,140
134,135,135,Rory Sabbatini,91,25.4,142444.0,156
135,T136,T136,Nicholas Lindheim,77,25.5,80834.0,88
136,T136,T136,Jamie Lovemark,92,25.5,168931.0,184
137,T136,T136,Scott Piercy,84,25.5,112867.0,123
