,Birdie_or_Better_Percentage_-_125-150_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_125-150_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_125-150_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_125-150_ya_ROUNDS,Birdie_or_Better_Percentage_-_125-150_ya_%,Birdie_or_Better_Percentage_-_125-150_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_125-150_ya_TOTAL HOLES
0,1,1,Sam Saunders,80,26.24,58,221
1,2,2,Tiger Woods,68,26.15,51,195
2,3,3,Gary Woodland,96,25.22,58,230
3,4,4,Emiliano Grillo,94,25.11,59,235
4,5,5,Zach Johnson,94,24.66,55,223
5,6,6,Roberto Díaz,72,24.56,42,171
6,7,7,Wesley Bryan,69,24.48,35,143
7,8,8,Tommy Fleetwood,73,24.29,43,177
8,9,9,Jordan Spieth,81,24.27,50,206
9,10,10,Pat Perez,82,24.14,35,145
10,11,11,Justin Rose,70,23.91,44,184
11,12,12,Richy Werenski,98,23.58,58,246
12,13,13,J.J. Spaun,85,23.48,54,230
13,14,14,Kevin Na,91,23.47,46,196
14,15,15,Whee Kim,93,23.12,46,199
15,T16,T16,Kiradech Aphibarnrat,51,23.08,24,104
16,T16,T16,David Lingmerth,82,23.08,48,208
17,18,18,Martin Laird,73,22.99,40,174
18,19,19,Chez Reavie,93,22.96,45,196
19,20,20,Dustin Johnson,77,22.94,53,231
20,21,21,Ricky Barnes,65,22.82,34,149
21,22,22,John Huh,94,22.62,57,252
22,23,23,Jimmy Walker,81,22.48,49,218
23,24,24,Adam Scott,78,22.45,44,196
24,25,25,Daniel Berger,81,22.41,39,174
25,26,26,Ben Silverman,90,22.34,61,273
26,27,27,Phil Mickelson,90,22.27,49,220
27,28,28,Rafa Cabrera Bello,75,22.14,31,140
28,29,29,Jhonattan Vegas,92,21.84,45,206
29,30,30,Aaron Wise,90,21.79,56,257
30,31,31,Blayne Barber,69,21.78,44,202
31,32,32,Alex Cejka,77,21.76,37,170
32,33,33,Tom Hoge,101,21.69,59,272
33,34,34,Jason Day,75,21.67,39,180
34,35,35,Robert Streb,78,21.59,38,176
35,36,36,Ryan Palmer,69,21.4,46,215
36,37,37,Keegan Bradley,98,21.35,57,267
37,38,38,Satoshi Kodaira,51,21.31,26,122
38,39,39,Chris Kirk,108,21.27,67,315
39,40,40,Sam Ryder,82,21.23,45,212
40,41,41,Austin Cook,107,21.16,62,293
41,42,42,Marc Leishman,93,21.15,44,208
42,43,43,J.T. Poston,73,21.11,42,199
43,44,44,Joel Dahmen,93,21.1,50,237
44,45,45,Paul Casey,74,20.99,34,162
45,46,46,Tyrrell Hatton,58,20.97,26,124
46,47,47,Ryan Moore,78,20.91,46,220
47,48,48,Brooks Koepka,64,20.88,38,182
48,49,49,Tyler Duncan,97,20.76,60,289
49,50,50,James Hahn,85,20.66,44,213
50,51,51,Rod Pampling,62,20.59,28,136
51,52,52,Hideki Matsuyama,75,20.51,40,195
52,53,53,Russell Knox,94,20.46,53,259
53,T54,T54,David Hearn,66,20.45,36,176
54,T54,T54,Seamus Power,86,20.45,45,220
55,56,56,Adam Hadwin,92,20.4,41,201
56,57,57,J.B. Holmes,77,20.36,45,221
57,58,58,Lanto Griffin,80,20.3,40,197
58,59,59,Nick Watney,94,20.15,53,263
59,60,60,Brandon Harkins,101,20.14,57,283
60,61,61,Scott Piercy,84,20.1,41,204
61,62,62,Webb Simpson,95,20.08,52,259
62,T63,T63,Ryan Blaum,81,20.0,43,215
63,T63,T63,Charley Hoffman,87,20.0,46,230
64,T63,T63,Michael Kim,74,20.0,31,155
65,T63,T63,Ollie Schniederjans,91,20.0,49,245
66,67,67,Justin Thomas,91,19.92,51,256
67,68,68,Harris English,84,19.91,44,221
68,69,69,Kelly Kraft,94,19.82,44,222
69,70,70,Dominic Bozzelli,65,19.8,39,197
70,71,71,Brian Stuard,103,19.78,53,268
71,72,72,Beau Hossler,104,19.75,62,314
72,73,73,Tony Finau,105,19.68,61,310
73,T74,T74,Bryson DeChambeau,93,19.63,53,270
74,T74,T74,Ian Poulter,73,19.63,32,163
75,76,76,Kevin Tway,110,19.56,53,271
76,77,77,Brian Harman,94,19.46,43,221
77,78,78,Rory McIlroy,64,19.44,35,180
78,79,79,Henrik Stenson,60,19.38,25,129
79,80,80,J.J. Henry,81,19.3,44,228
80,81,81,Bronson Burgoon,69,19.23,35,182
81,82,82,Nick Taylor,94,19.21,44,229
82,83,83,Matt Kuchar,88,19.17,37,193
83,84,84,Russell Henley,77,19.08,33,173
84,85,85,Nate Lashley,51,19.0,19,100
85,86,86,Anirban Lahiri,82,18.99,34,179
86,87,87,Cody Gribble,71,18.92,35,185
87,88,88,Ben Martin,64,18.86,33,175
88,89,89,Chesson Hadley,103,18.82,54,287
89,90,90,Danny Lee,88,18.81,41,218
90,91,91,Patton Kizzire,92,18.8,47,250
91,T92,T92,Matt Jones,70,18.79,31,165
92,T92,T92,Keith Mitchell,99,18.79,53,282
93,T92,T92,Steve Wheatcroft,60,18.79,31,165
94,95,95,Kevin Chappell,77,18.75,39,208
