,Approaches_from__100_yards_RANK THIS WEEK,Approaches_from__100_yards_RANK LAST WEEK,Approaches_from__100_yards_PLAYER NAME,Approaches_from__100_yards_ROUNDS,Approaches_from__100_yards_AVG,Approaches_from__100_yards_TOTAL DISTANCE (FEET),Approaches_from__100_yards_# OF ATTEMPTS,Approaches_from__100_yards_RELATIVE TO PAR
0,1,1,David Hearn,66,"29' 3""",18898.917,647,-0.09
1,T2,T2,Brooks Koepka,64,"29' 8""",17546.083,592,-0.17
2,T2,T2,Conrad Shindler,60,"29' 8""",16543.5,558,-0.11
3,4,4,Rory McIlroy,64,"29' 10""",17206.0,576,-0.15
4,5,5,Dustin Johnson,77,"30' 1""",21285.333,708,-0.22
5,6,6,Kevin Na,91,"30' 2""",25087.417,832,-0.17
6,7,7,Shawn Stefani,76,"30' 4""",20634.833,681,-0.1
7,8,8,Gary Woodland,96,"30' 5""",26487.5,871,-0.11
8,T9,T9,Tom Hoge,101,"30' 7""",30733.0,1005,-0.08
9,T9,T9,Justin Thomas,91,"30' 7""",23202.5,759,-0.14
10,T11,T11,Wesley Bryan,69,"30' 9""",17821.5,579,-0.1
11,T11,T11,Zach Johnson,94,"30' 9""",27517.583,895,-0.13
12,T11,T11,Sam Ryder,82,"30' 9""",26972.333,878,-0.12
13,T11,T11,Nick Watney,94,"30' 9""",28304.0,921,-0.09
14,T11,T11,Tiger Woods,68,"30' 9""",22551.167,733,-0.15
15,T16,T16,Blayne Barber,69,"30' 10""",23181.083,752,-0.08
16,T16,T16,Chesson Hadley,103,"30' 10""",33129.917,1075,-0.12
17,T16,T16,Sung Kang,89,"30' 10""",23824.417,772,-0.04
18,T16,T16,Kyle Thompson,50,"30' 10""",13159.083,427,-0.01
19,T20,T20,Keegan Bradley,98,"30' 11""",32503.75,1052,-0.12
20,T20,T20,Paul Casey,74,"30' 11""",18438.5,596,-0.09
21,T20,T20,Robert Garrigus,80,"30' 11""",24193.25,782,-0.07
22,T20,T20,Chris Kirk,108,"30' 11""",36649.917,1187,-0.12
23,T24,T24,Whee Kim,93,"31' 0""",27704.333,894,-0.08
24,T24,T24,Nate Lashley,51,"31' 0""",12725.417,410,-0.08
25,T24,T24,Vaughn Taylor,83,"31' 0""",26715.667,861,-0.08
26,T27,T27,Chez Reavie,93,"31' 1""",24624.417,792,-0.11
27,T27,T27,Kyle Stanley,93,"31' 1""",28072.417,904,-0.11
28,T29,T29,Jim Furyk,50,"31' 2""",19460.167,624,-0.04
29,T29,T29,Patton Kizzire,92,"31' 2""",27009.833,867,-0.08
30,T29,T29,Ryan Palmer,69,"31' 2""",21168.667,680,-0.09
31,T29,T29,J.J. Spaun,85,"31' 2""",27510.333,882,-0.09
32,33,33,Byeong Hun An,86,"31' 3""",26583.25,850,-0.11
33,T34,T34,Rickie Fowler,74,"31' 4""",24488.083,781,-0.13
34,T34,T34,Emiliano Grillo,94,"31' 4""",29375.083,938,-0.13
35,T34,T34,Cameron Percy,56,"31' 4""",15148.167,484,-0.14
36,T37,T37,Patrick Cantlay,87,"31' 5""",25451.75,811,-0.12
37,T37,T37,Corey Conners,97,"31' 5""",30336.083,966,-0.08
38,T37,T37,Andrew Landry,82,"31' 5""",27480.417,874,-0.07
39,T37,T37,Hideki Matsuyama,75,"31' 5""",21795.167,693,-0.17
40,T37,T37,Phil Mickelson,90,"31' 5""",23319.667,743,-0.13
41,T42,T42,Chad Campbell,87,"31' 6""",26057.583,827,-0.02
42,T42,T42,Tony Finau,105,"31' 6""",28474.583,905,-0.16
43,T42,T42,J.J. Henry,81,"31' 6""",25554.333,812,-0.05
44,T45,T45,Lanto Griffin,80,"31' 7""",21148.333,669,-0.05
45,T45,T45,Charley Hoffman,87,"31' 7""",24848.25,786,-0.06
46,T45,T45,Satoshi Kodaira,51,"31' 7""",16103.583,510,0.02
47,T48,T48,Kevin Chappell,77,"31' 8""",23060.167,728,-0.08
48,T48,T48,Keith Mitchell,99,"31' 8""",29230.083,922,-0.07
49,T50,T50,Ricky Barnes,65,"31' 9""",15425.417,486,-0.09
