,SG_Approach-the-Green_RANK THIS WEEK,SG_Approach-the-Green_RANK LAST WEEK,SG_Approach-the-Green_PLAYER NAME,SG_Approach-the-Green_ROUNDS,SG_Approach-the-Green_AVERAGE,SG_Approach-the-Green_TOTAL SG:APP,SG_Approach-the-Green_MEASURED ROUNDS
0,1,1,Henrik Stenson,60,0.96,42.239,44
1,2,2,Keegan Bradley,98,0.888,71.055,80
2,3,3,Tiger Woods,68,0.883,52.11,59
3,4,4,Justin Thomas,91,0.8440000000000001,57.412,68
4,5,5,Dustin Johnson,77,0.8290000000000001,51.411,62
5,6,6,Hideki Matsuyama,75,0.727,41.42100000000001,57
6,7,7,Stewart Cink,87,0.698,46.79600000000001,67
7,8,8,Adam Scott,78,0.639,38.323,60
8,9,9,Chesson Hadley,103,0.606,53.931999999999995,89
9,10,10,Francesco Molinari,73,0.593,33.825,57
10,11,11,Paul Casey,74,0.586,28.728,49
11,12,12,Bryson DeChambeau,93,0.556,43.373999999999995,78
12,13,13,Phil Mickelson,90,0.555,38.816,70
13,14,14,Scott Piercy,84,0.5529999999999999,37.586,68
14,15,15,Daniel Berger,81,0.5429999999999999,33.635,62
15,16,16,Ryan Moore,78,0.532,35.095,66
16,17,17,Justin Rose,70,0.526,27.86,53
17,18,18,Chris Kirk,108,0.518,49.693999999999996,96
18,19,19,Patrick Cantlay,87,0.509,34.121,67
19,20,20,Tony Finau,105,0.5,40.54,81
20,21,21,Rickie Fowler,74,0.494,30.13,61
21,22,22,Rafa Cabrera Bello,75,0.48700000000000004,23.38,48
22,23,23,Webb Simpson,95,0.486,39.357,81
23,24,24,Gary Woodland,96,0.484,33.881,70
24,25,25,Tyler Duncan,97,0.47600000000000003,38.545,81
25,26,26,Russell Henley,77,0.467,27.061999999999998,58
26,27,27,Zach Johnson,94,0.46299999999999997,33.315,72
27,28,28,Byeong Hun An,86,0.44799999999999995,32.713,73
28,29,29,Chez Reavie,93,0.43700000000000006,26.241,60
29,30,30,Ian Poulter,73,0.435,21.769000000000002,50
30,31,31,Kevin Streelman,94,0.415,34.035,82
31,32,32,J.J. Spaun,85,0.41,29.138,71
32,33,33,Jordan Spieth,81,0.409,26.983,66
33,34,34,Tommy Fleetwood,73,0.405,21.886,54
34,35,35,Sam Ryder,82,0.39899999999999997,27.956,70
35,36,36,Retief Goosen,60,0.389,15.573,40
36,T37,T37,Joel Dahmen,93,0.381,27.083000000000002,71
37,T37,T37,Patton Kizzire,92,0.381,29.741,78
38,39,39,Andrew Putnam,97,0.38,29.24,77
39,40,40,David Hearn,66,0.379,18.930999999999997,50
40,41,41,Scott Stallings,96,0.373,29.854,80
41,42,42,Bronson Burgoon,69,0.371,21.160999999999998,57
42,43,43,Mackenzie Hughes,80,0.353,24.002,68
43,44,44,Billy Horschel,86,0.35200000000000004,27.078000000000003,77
44,45,45,Cameron Tringale,67,0.348,17.730999999999998,51
45,46,46,Emiliano Grillo,94,0.345,25.178,73
46,47,47,J.J. Henry,81,0.34,21.444000000000003,63
47,48,48,Robert Garrigus,80,0.331,22.499000000000002,68
48,49,49,Vaughn Taylor,83,0.305,21.361,70
49,50,50,Jimmy Walker,81,0.304,20.095,66
50,51,51,Kyle Stanley,93,0.298,19.936,67
51,52,52,Tom Hoge,101,0.297,24.616999999999997,83
52,53,53,Kevin Chappell,77,0.29600000000000004,18.377,62
53,54,54,Corey Conners,97,0.275,21.734,79
54,55,55,Kevin Na,91,0.273,19.118,70
55,56,56,Rory McIlroy,64,0.26899999999999996,13.698,51
56,57,57,C.T. Pan,104,0.267,21.896,82
57,58,58,Russell Knox,94,0.263,19.462,74
58,59,59,Jason Kokrak,99,0.257,22.629,88
59,60,60,Shane Lowry,64,0.245,12.488,51
60,61,61,Brendan Steele,74,0.243,13.102,54
61,62,62,John Huh,94,0.24,19.684,82
62,63,63,Ryan Palmer,69,0.23600000000000002,14.144,60
63,64,64,Xander Schauffele,96,0.235,16.937,72
64,65,65,Brooks Koepka,64,0.23199999999999998,12.527000000000001,54
65,66,66,Wesley Bryan,69,0.222,11.304,51
66,67,67,Shawn Stefani,76,0.22,13.225999999999999,60
67,T68,T68,Charley Hoffman,87,0.21600000000000003,14.694,68
68,T68,T68,Matt Kuchar,88,0.21600000000000003,14.072000000000001,65
69,70,70,Ryan Armour,109,0.213,20.406,96
70,71,71,Marc Leishman,93,0.21100000000000002,15.435,73
71,72,72,Tyrrell Hatton,58,0.20199999999999999,8.503,42
72,73,73,Luke List,98,0.19399999999999998,15.147,78
73,74,74,Patrick Reed,94,0.187,11.758,63
74,75,75,Jim Furyk,50,0.179,8.246,46
75,76,76,Branden Grace,67,0.174,7.6739999999999995,44
76,77,77,Adam Hadwin,92,0.166,10.929,66
77,78,78,Charles Howell III,104,0.163,12.698,78
78,79,79,J.B. Holmes,77,0.159,10.835999999999999,68
79,80,80,Nick Watney,94,0.141,11.280999999999999,80
80,81,81,Ben Martin,64,0.11900000000000001,6.763,57
81,82,82,Aaron Baddeley,84,0.11699999999999999,8.158,70
82,83,83,Alex Noren,67,0.107,5.261,49
83,84,84,Brian Stuard,103,0.099,8.748,88
84,85,85,Robert Streb,78,0.096,5.737,60
85,86,86,William McGirt,84,0.091,6.796,75
86,87,87,Ollie Schniederjans,91,0.09,6.894,77
87,88,88,Troy Merritt,89,0.086,6.257999999999999,73
88,89,89,James Hahn,85,0.081,5.56,69
89,T90,T90,Brett Stegmaier,67,0.078,3.677,47
90,T90,T90,Johnson Wagner,75,0.078,4.303,55
91,92,92,Talor Gooch,78,0.075,4.657,62
92,93,93,Abraham Ancer,98,0.07400000000000001,6.117999999999999,83
93,94,94,Zac Blair,64,0.07200000000000001,3.2939999999999996,46
94,95,95,Ricky Barnes,65,0.059000000000000004,2.6710000000000003,45
95,96,96,Jon Rahm,71,0.047,2.378,51
96,97,97,Graeme McDowell,67,0.046,2.133,46
97,98,98,Jonathan Byrd,70,0.043,2.0869999999999997,48
98,99,99,Cameron Percy,56,0.039,1.6059999999999999,41
99,T100,T100,Brian Gay,103,0.036000000000000004,3.338,92
100,T100,T100,Nate Lashley,51,0.036000000000000004,1.276,35
101,T100,T100,Kyle Thompson,50,0.036000000000000004,1.3030000000000002,36
102,103,103,Cameron Smith,85,0.034,2.061,61
103,104,104,Kevin Tway,110,0.032,2.855,90
104,105,105,Whee Kim,93,0.03,2.2119999999999997,73
105,106,106,Rob Oppenheim,74,0.026000000000000002,1.3780000000000001,54
106,107,107,Martin Laird,73,0.024,1.486,61
107,108,108,Kelly Kraft,94,0.017,1.26,74
108,109,109,Aaron Wise,90,0.012,0.98,80
109,110,110,Nick Taylor,94,0.011000000000000001,0.8170000000000001,74
110,111,111,Bubba Watson,90,0.005,0.342,68
111,112,112,Brandon Harkins,101,-0.006,-0.517,85
112,T113,T113,Conrad Shindler,60,-0.008,-0.368,44
113,T113,T113,Tyrone Van Aswegen,101,-0.008,-0.652,83
114,115,115,Jason Dufner,71,-0.009000000000000001,-0.478,52
115,116,116,Chad Campbell,87,-0.01,-0.6920000000000001,67
116,117,117,Fabián Gómez,88,-0.015,-1.079,71
117,T118,T118,Matt Every,79,-0.024,-1.433,61
118,T118,T118,Brian Harman,94,-0.024,-1.734,72
119,120,120,Brandt Snedeker,84,-0.026000000000000002,-1.905,74
120,121,121,Bud Cauley,55,-0.032,-1.315,41
121,122,122,Ben Crane,65,-0.038,-1.764,46
122,T123,T123,Jamie Lovemark,92,-0.04,-3.1510000000000002,78
123,T123,T123,Peter Uihlein,83,-0.04,-2.611,65
124,T125,T125,Lucas Glover,65,-0.043,-1.993,46
125,T125,T125,Lanto Griffin,80,-0.043,-2.57,60
126,127,127,Austin Cook,107,-0.045,-4.159,92
127,128,128,Blayne Barber,69,-0.047,-2.801,60
128,129,129,Bill Haas,76,-0.052000000000000005,-3.429,66
129,130,130,Chris Stroud,81,-0.055999999999999994,-3.241,58
130,131,131,Steve Wheatcroft,60,-0.065,-2.975,46
131,132,132,Sean O'Hair,67,-0.073,-4.178999999999999,57
132,133,133,Ryan Blaum,81,-0.07400000000000001,-5.32,72
133,134,134,Harold Varner III,91,-0.076,-5.627999999999999,74
134,T135,T135,Sam Saunders,80,-0.081,-5.406000000000001,67
135,T135,T135,Jhonattan Vegas,92,-0.081,-5.157,64
136,T137,T137,Martin Flores,92,-0.083,-5.99,72
137,T137,T137,Andrew Landry,82,-0.083,-6.065,73
138,139,139,Sung Kang,89,-0.094,-6.278,67
139,140,140,Keith Mitchell,99,-0.128,-10.604000000000001,83
140,141,141,Pat Perez,82,-0.138,-7.013,51
141,142,142,Jason Day,75,-0.14,-6.88,49
142,143,143,Brice Garnett,99,-0.14400000000000002,-11.63,81
143,144,144,Hunter Mahan,67,-0.149,-7.617999999999999,51
144,145,145,Rory Sabbatini,91,-0.152,-11.37,75
145,146,146,Danny Lee,88,-0.155,-10.832,70
146,147,147,David Lingmerth,82,-0.16,-11.056,69
147,148,148,Stephan Jaeger,81,-0.166,-10.462,63
148,149,149,Charl Schwartzel,65,-0.168,-7.065,42
149,T150,T150,Alex Cejka,77,-0.16899999999999998,-10.133,60
150,T150,T150,Richy Werenski,98,-0.16899999999999998,-12.492,74
151,152,152,Billy Hurley III,70,-0.17,-9.702,57
152,T153,T153,Si Woo Kim,108,-0.2,-15.614,78
153,T153,T153,"Ted Potter, Jr.",87,-0.2,-15.397,77
154,155,155,Michael Kim,74,-0.213,-11.478,54
155,156,156,Hudson Swafford,73,-0.237,-12.304,52
156,157,157,Tom Lovelady,87,-0.24,-16.551,69
157,158,158,Kiradech Aphibarnrat,51,-0.247,-8.414,34
158,159,159,Dominic Bozzelli,65,-0.252,-15.367,61
159,160,160,Xinjun Zhang,81,-0.254,-14.481,57
160,161,161,Peter Malnati,87,-0.257,-19.307000000000002,75
161,162,162,Louis Oosthuizen,62,-0.261,-12.015999999999998,46
162,163,163,Adam Schenk,86,-0.262,-17.28,66
163,164,164,Zecheng Dou,53,-0.265,-9.543,36
164,165,165,Scott Brown,102,-0.27,-21.855999999999998,81
165,166,166,Satoshi Kodaira,51,-0.284,-11.355,40
166,167,167,Anirban Lahiri,82,-0.285,-19.078,67
167,168,168,Harris English,84,-0.297,-20.203,68
168,169,169,Kevin Kisner,89,-0.316,-20.524,65
169,170,170,Patrick Rodgers,97,-0.32299999999999995,-23.589000000000002,73
170,T171,T171,Denny McCarthy,71,-0.34700000000000003,-17.0,49
171,T171,T171,Grayson Murray,72,-0.34700000000000003,-20.449,59
172,173,173,Derek Fathauer,84,-0.365,-24.809,68
173,174,174,Nicholas Lindheim,77,-0.368,-21.726,59
174,175,175,J.T. Poston,73,-0.373,-21.250999999999998,57
175,176,176,Ben Silverman,90,-0.385,-29.25,76
176,177,177,Matt Jones,70,-0.386,-18.132,47
177,178,178,Seamus Power,86,-0.392,-25.849,66
178,179,179,Beau Hossler,104,-0.395,-35.519,90
179,180,180,Rod Pampling,62,-0.415,-18.675,45
180,181,181,Michael Thompson,62,-0.423,-23.682,56
181,182,182,Ethan Tracy,72,-0.424,-22.874000000000002,54
182,183,183,Trey Mullinax,75,-0.442,-26.105999999999998,59
183,184,184,Andrew Yun,51,-0.447,-15.194,34
184,185,185,Jonathan Randolph,71,-0.5379999999999999,-32.308,60
185,186,186,D.A. Points,63,-0.541,-25.97,48
186,187,187,Jonas Blixt,67,-0.563,-27.03,48
187,188,188,Roberto Díaz,72,-0.6,-33.574,56
188,189,189,Cody Gribble,71,-0.696,-37.606,54
189,190,190,Martin Piller,79,-0.8109999999999999,-54.361999999999995,67
190,191,191,Matt Atkins,56,-1.0390000000000001,-41.549,40
191,192,192,Greg Chalmers,56,-1.192,-48.881,41
192,193,193,Daniel Summerhays,51,-1.5859999999999999,-60.268,38
