,GIR_Percentage_-_175-200_yards_RANK THIS WEEK,GIR_Percentage_-_175-200_yards_RANK LAST WEEK,GIR_Percentage_-_175-200_yards_PLAYER NAME,GIR_Percentage_-_175-200_yards_ROUNDS,GIR_Percentage_-_175-200_yards_%,GIR_Percentage_-_175-200_yards_GREENS HIT,GIR_Percentage_-_175-200_yards_TOTAL HOLES,GIR_Percentage_-_175-200_yards_RELATIVE TO PAR
0,1,1,Adam Scott,78,67.54,129,191,-0.12
1,2,2,Henrik Stenson,60,66.05,107,162,-0.17
2,3,3,Hideki Matsuyama,75,65.09,110,169,-0.19
3,4,4,Andrew Putnam,97,64.8,162,250,-0.15
4,5,5,Tommy Fleetwood,73,64.33,101,157,-0.05
5,6,6,Rickie Fowler,74,64.25,124,193,-0.19
6,7,7,Brett Stegmaier,67,63.91,85,133,-0.14
7,8,8,Jon Rahm,71,63.79,74,116,-0.05
8,9,9,Rafa Cabrera Bello,75,63.64,105,165,-0.19
9,10,10,Jason Kokrak,99,63.6,159,250,-0.11
10,11,11,J.J. Henry,81,63.3,138,218,-0.02
11,12,12,Michael Thompson,62,63.21,122,193,-0.23
12,13,13,Johnson Wagner,75,63.19,115,182,-0.19
13,14,14,William McGirt,84,62.46,178,285,-0.1
14,15,15,Tony Finau,105,62.39,136,218,-0.17
15,16,16,Luke List,98,61.97,132,213,-0.12
16,17,17,Stewart Cink,87,61.83,149,241,-0.1
17,18,18,Xinjun Zhang,81,61.82,102,165,-0.02
18,19,19,Tyler Duncan,97,61.69,161,261,-0.14
19,20,20,Patton Kizzire,92,61.36,135,220,-0.08
20,21,21,Russell Henley,77,61.22,120,196,-0.17
21,22,22,Jordan Spieth,81,61.05,116,190,-0.12
22,23,23,Kevin Kisner,89,61.01,133,218,-0.1
23,24,24,Mackenzie Hughes,80,60.76,144,237,-0.18
24,25,25,David Hearn,66,60.71,102,168,-0.14
25,26,26,Bryson DeChambeau,93,60.68,142,234,-0.19
26,27,27,Tiger Woods,68,60.65,131,216,-0.16
27,28,28,Hunter Mahan,67,60.45,81,134,-0.14
28,T29,T29,Nicholas Lindheim,77,60.4,122,202,-0.13
29,T29,T29,Denny McCarthy,71,60.4,90,149,-0.12
30,31,31,Kevin Streelman,94,60.37,163,270,-0.17
31,32,32,C.T. Pan,104,60.07,164,273,-0.17
32,T33,T33,Blayne Barber,69,60.0,123,205,-0.09
33,T33,T33,Vaughn Taylor,83,60.0,147,245,-0.06
