,Approaches_from__275_yards_RANK THIS WEEK,Approaches_from__275_yards_RANK LAST WEEK,Approaches_from__275_yards_PLAYER NAME,Approaches_from__275_yards_ROUNDS,Approaches_from__275_yards_AVG,Approaches_from__275_yards_TOTAL DISTANCE (FEET),Approaches_from__275_yards_# OF ATTEMPTS,Approaches_from__275_yards_RELATIVE TO PAR
0,1,1,Rory McIlroy,64,"45' 10""",45.833,1,E
1,2,2,Shawn Stefani,76,"54' 9""",218.917,4,-2
2,3,3,Sung Kang,89,"61' 8""",493.583,8,-5
3,4,4,Conrad Shindler,60,"61' 11""",247.667,4,-2
4,5,5,Kevin Tway,110,"65' 1""",1041.75,16,-9
5,6,6,Retief Goosen,60,"65' 3""",521.6669999999999,8,-2
6,7,7,Tom Lovelady,87,"66' 1""",793.0,12,-6
7,8,8,Hudson Swafford,73,"66' 4""",663.3330000000001,10,-6
8,9,9,Graeme McDowell,67,"67' 2""",806.4169999999999,12,-9
9,10,10,Luke List,98,"67' 10""",1356.3329999999999,20,-12
10,11,11,Nate Lashley,51,"68' 3""",477.667,7,-4
11,T12,T12,Ethan Tracy,72,"69' 1""",622.0,9,E
12,T12,T12,Gary Woodland,96,"69' 1""",966.8330000000001,14,-9
13,14,14,Brandon Harkins,101,"69' 3""",1384.4170000000001,20,-11
14,15,15,Chesson Hadley,103,"69' 10""",1745.25,25,-18
15,T16,T16,Jason Day,75,"70' 1""",911.0830000000001,13,-10
16,T16,T16,Talor Gooch,78,"70' 1""",1612.1670000000001,23,-9
17,18,18,Charley Hoffman,87,"70' 3""",1264.333,18,-8
18,19,19,Scott Stallings,96,"70' 9""",1485.1670000000001,21,-10
19,20,20,Bud Cauley,55,"70' 10""",920.5,13,-9
20,21,21,Paul Casey,74,"72' 11""",874.6669999999999,12,-9
21,T22,T22,Satoshi Kodaira,51,"73' 2""",658.5,9,-1
22,T22,T22,Jimmy Walker,81,"73' 2""",1243.583,17,-10
23,24,24,Emiliano Grillo,94,"74' 2""",1260.417,17,-7
24,25,25,Aaron Baddeley,84,"74' 4""",1486.75,20,-11
25,26,26,Henrik Stenson,60,"74' 8""",1717.8329999999999,23,-12
26,27,27,Ricky Barnes,65,"76' 0""",456.167,6,-2
27,28,28,Jonathan Byrd,70,"76' 1""",913.1669999999999,12,-8
28,T29,T29,Whee Kim,93,"76' 9""",767.8330000000001,10,-5
29,T29,T29,Nick Watney,94,"76' 9""",1151.167,15,-7
30,31,31,Charl Schwartzel,65,"77' 0""",1232.5,16,-7
31,32,32,Cameron Percy,56,"77' 1""",539.8330000000001,7,-2
32,33,33,Brooks Koepka,64,"77' 2""",1003.0,13,-10
33,34,34,Andrew Yun,51,"77' 8""",233.083,3,-1
34,T35,T35,Jamie Lovemark,92,"77' 9""",1788.6670000000001,23,-19
35,T35,T35,Troy Merritt,89,"77' 9""",1944.1670000000001,25,-11
36,T35,T35,Ryan Palmer,69,"77' 9""",1165.667,15,-9
37,38,38,Corey Conners,97,"78' 5""",1019.9169999999999,13,-3
38,39,39,Billy Hurley III,70,"78' 10""",472.833,6,-4
39,40,40,Tiger Woods,68,"79' 0""",1263.75,16,-8
40,T41,T41,Keegan Bradley,98,"79' 3""",2773.167,35,-13
41,T41,T41,Tyler Duncan,97,"79' 3""",2217.917,28,-6
42,43,43,Jason Kokrak,99,"79' 6""",2146.583,27,-11
43,T44,T44,Alex Cejka,77,"79' 7""",477.667,6,-2
44,T44,T44,Fabián Gómez,88,"79' 7""",1511.3329999999999,19,-9
45,46,46,Rory Sabbatini,91,"79' 9""",1355.5,17,-10
46,47,47,Kevin Chappell,77,"80' 4""",1526.5829999999999,19,-9
47,48,48,Denny McCarthy,71,"80' 8""",1371.5,17,-12
48,49,49,Tyrrell Hatton,58,"80' 9""",969.0830000000001,12,-4
49,T50,T50,Rickie Fowler,74,"80' 11""",1213.583,15,-10
50,T50,T50,Grayson Murray,72,"80' 11""",1376.25,17,-11
