,Approaches_Left_Rough_RTP_Score_RANK THIS WEEK,Approaches_Left_Rough_RTP_Score_RANK LAST WEEK,Approaches_Left_Rough_RTP_Score_PLAYER NAME,Approaches_Left_Rough_RTP_Score_ROUNDS,Approaches_Left_Rough_RTP_Score_AVG RTP
0,1,1,Justin Rose,70,-.093
1,2,2,Hudson Swafford,73,-.079
2,3,3,Henrik Stenson,60,-.047
3,T4,T4,Matt Kuchar,88,-.042
4,T4,T4,Justin Thomas,91,-.042
5,6,6,Joel Dahmen,93,-.037
6,7,7,J.B. Holmes,77,-.036
7,8,8,Bill Haas,76,-.030
8,9,9,Paul Casey,74,-.024
9,10,10,Dustin Johnson,77,-.019
10,11,11,Ian Poulter,73,-.017
11,12,12,Trey Mullinax,75,-.015
12,13,13,Kevin Streelman,94,-.013
13,14,14,Bryson DeChambeau,93,-.008
14,15,15,Rory Sabbatini,91,E
15,16,16,Bubba Watson,90,+.008
16,T17,T17,Dominic Bozzelli,65,+.009
17,T17,T17,Billy Horschel,86,+.009
18,19,19,Charley Hoffman,87,+.010
19,20,20,Jason Dufner,71,+.011
20,21,21,Jason Kokrak,99,+.013
21,22,22,Brandt Snedeker,84,+.015
22,23,23,Tom Lovelady,87,+.016
23,24,24,Patrick Cantlay,87,+.019
24,T25,T25,Emiliano Grillo,94,+.021
25,T25,T25,William McGirt,84,+.021
26,27,27,Phil Mickelson,90,+.022
27,T28,T28,Abraham Ancer,98,+.024
28,T28,T28,Cameron Percy,56,+.024
29,30,30,Jhonattan Vegas,92,+.025
30,31,31,Graeme McDowell,67,+.027
31,32,32,David Lingmerth,82,+.031
32,33,33,John Huh,94,+.032
33,34,34,Nick Watney,94,+.034
34,35,35,Chad Campbell,87,+.036
35,36,36,Webb Simpson,95,+.041
36,T37,T37,Jonas Blixt,67,+.045
37,T37,T37,Gary Woodland,96,+.045
38,39,39,Jamie Lovemark,92,+.046
39,T40,T40,Stephan Jaeger,81,+.047
40,T40,T40,Cameron Smith,85,+.047
41,T40,T40,Peter Uihlein,83,+.047
42,43,43,Chris Kirk,108,+.048
43,T44,T44,Seamus Power,86,+.053
44,T44,T44,Andrew Putnam,97,+.053
45,46,46,Keith Mitchell,99,+.056
46,47,47,Jordan Spieth,81,+.058
47,48,48,Russell Knox,94,+.059
48,49,49,Patrick Reed,94,+.061
49,T50,T50,Aaron Baddeley,84,+.062
50,T50,T50,Patton Kizzire,92,+.062
51,T52,T52,Ryan Armour,109,+.065
