,Fairway_Proximity_RANK THIS WEEK,Fairway_Proximity_RANK LAST WEEK,Fairway_Proximity_PLAYER NAME,Fairway_Proximity_ROUNDS,Fairway_Proximity_AVG,Fairway_Proximity_ATTEMPTS,Fairway_Proximity_TOTAL DISTANCE (FEET),Fairway_Proximity_RELATIVE TO PAR
0,1,1,David Hearn,66,"28' 4""",689,19547.667,-67.0
1,2,2,Dustin Johnson,77,"28' 6""",788,22487.583,-168.0
2,T3,T3,Brooks Koepka,64,"28' 8""",648,18552.083,-113.0
3,T3,T3,Rory McIlroy,64,"28' 8""",624,17909.417,-95.0
4,T3,T3,Conrad Shindler,60,"28' 8""",597,17127.25,-62.0
5,6,6,Kevin Na,91,"29' 0""",911,26414.667,-151.0
6,7,7,Wesley Bryan,69,"29' 1""",641,18634.083,-78.0
7,T8,T8,Shawn Stefani,76,"29' 3""",746,21806.583,-80.0
8,T8,T8,Justin Thomas,91,"29' 3""",824,24090.583,-129.0
9,T10,T10,Tom Hoge,101,"29' 5""",1087,31984.5,-96.0
10,T10,T10,Zach Johnson,94,"29' 5""",979,28779.0,-123.0
11,T10,T10,Tiger Woods,68,"29' 5""",791,23290.833,-126.0
12,13,13,Nick Watney,94,"29' 6""",1009,29744.75,-101.0
13,14,14,Chris Kirk,108,"29' 7""",1303,38571.333,-154.0
14,T15,T15,Sung Kang,89,"29' 8""",837,24825.167,-51.0
15,T15,T15,Vaughn Taylor,83,"29' 8""",939,27835.417,-89.0
16,T17,T17,Blayne Barber,69,"29' 9""",810,24068.417,-74.0
17,T17,T17,Sam Ryder,82,"29' 9""",947,28179.75,-106.0
18,T17,T17,Kyle Thompson,50,"29' 9""",472,14024.75,-7.0
19,T20,T20,Ryan Palmer,69,"29' 10""",747,22286.833,-69.0
20,T20,T20,Gary Woodland,96,"29' 10""",912,27207.833,-95.0
21,T22,T22,Chesson Hadley,103,"29' 11""",1181,35319.0,-136.0
22,T22,T22,Andrew Landry,82,"29' 11""",970,29053.417,-80.0
23,T22,T22,Nate Lashley,51,"29' 11""",445,13318.5,-39.0
24,T25,T25,Byeong Hun An,86,"30' 0""",921,27660.583,-102.0
25,T25,T25,Paul Casey,74,"30' 0""",636,19064.25,-62.0
26,T25,T25,Patton Kizzire,92,"30' 0""",951,28549.75,-85.0
27,T25,T25,Cameron Percy,56,"30' 0""",534,16038.333,-74.0
28,T29,T29,Corey Conners,97,"30' 1""",1049,31532.083,-96.0
29,T29,T29,Robert Garrigus,80,"30' 1""",834,25098.75,-52.0
30,T29,T29,Whee Kim,93,"30' 1""",973,29273.917,-82.0
31,T29,T29,J.J. Spaun,85,"30' 1""",960,28884.833,-97.0
32,T33,T33,Chad Campbell,87,"30' 2""",898,27118.5,-32.0
33,T33,T33,Stewart Cink,87,"30' 2""",868,26214.083,-63.0
34,T33,T33,Chez Reavie,93,"30' 2""",860,25941.333,-91.0
35,T36,T36,Emiliano Grillo,94,"30' 3""",1017,30723.75,-133.0
36,T36,T36,Phil Mickelson,90,"30' 3""",805,24368.417,-109.0
37,T38,T38,Keegan Bradley,98,"30' 4""",1119,33913.083,-119.0
38,T38,T38,J.J. Henry,81,"30' 4""",874,26477.333,-49.0
39,T40,T40,Ricky Barnes,65,"30' 5""",527,16022.583,-49.0
40,T40,T40,Charley Hoffman,87,"30' 5""",855,26029.917,-58.0
41,T40,T40,Keith Mitchell,99,"30' 5""",1016,30868.917,-80.0
42,T40,T40,Webb Simpson,95,"30' 5""",1068,32521.583,-155.0
43,T40,T40,Jordan Spieth,81,"30' 5""",847,25786.083,-107.0
44,T45,T45,Patrick Cantlay,87,"30' 6""",878,26783.333,-97.0
45,T45,T45,Jim Furyk,50,"30' 6""",655,19987.583,-28.0
46,T45,T45,Kyle Stanley,93,"30' 6""",961,29329.833,-106.0
47,T45,T45,Brian Stuard,103,"30' 6""",1272,38794.583,-91.0
48,T49,T49,Kevin Chappell,77,"30' 7""",797,24368.083,-62.0
49,T49,T49,Rickie Fowler,74,"30' 7""",827,25278.083,-112.0
50,T49,T49,Lanto Griffin,80,"30' 7""",729,22309.417,-38.0
51,T49,T49,Tyrone Van Aswegen,101,"30' 7""",1059,32365.333,-77.0
52,T53,T53,Brandon Harkins,101,"30' 8""",1016,31118.5,-108.0
53,T53,T53,Hideki Matsuyama,75,"30' 8""",735,22552.083,-119.0
54,T53,T53,Rob Oppenheim,74,"30' 8""",675,20721.25,-54.0
55,T56,T56,Ryan Armour,109,"30' 9""",1421,43643.583,-108.0
56,T56,T56,Tony Finau,105,"30' 9""",969,29761.417,-155.0
57,T56,T56,Satoshi Kodaira,51,"30' 9""",552,16958.0,20.0
58,T56,T56,Nicholas Lindheim,77,"30' 9""",764,23505.167,-68.0
59,T56,T56,Jon Rahm,71,"30' 9""",636,19571.333,-98.0
60,T61,T61,Rafa Cabrera Bello,75,"30' 11""",664,20541.083,-75.0
61,T61,T61,Matt Every,79,"30' 11""",719,22216.5,-37.0
62,T61,T61,Billy Hurley III,70,"30' 11""",735,22719.417,-49.0
63,T61,T61,Russell Knox,94,"30' 11""",1040,32170.583,-59.0
64,T61,T61,Matt Kuchar,88,"30' 11""",875,27029.667,-64.0
65,T61,T61,Danny Lee,88,"30' 11""",915,28287.667,-79.0
66,T61,T61,Ben Silverman,90,"30' 11""",1024,31668.083,-108.0
67,T68,T68,Bryson DeChambeau,93,"31' 0""",1028,31899.75,-148.0
68,T68,T68,Fabián Gómez,88,"31' 0""",931,28898.167,-80.0
69,T68,T68,Talor Gooch,78,"31' 0""",752,23326.75,-55.0
