,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
0,1,1,Satoshi Kodaira,51,234,Fort Worth Invitational,1,1
1,2,2,Matt Wallace,8,232,PGA Championship,3,16
2,3,3,J.T. Poston,73,225,THE NORTHERN TRUST,2,6
3,4,4,Marc Leishman,93,212,RBC Heritage,2,2
4,5,5,Brooks Koepka,64,208,THE PLAYERS Championship,4,16
5,T6,6,Geoff Ogilvy,45,194,Wells Fargo Championship,1,1
6,T6,7,David Lingmerth,82,194,Genesis Open,3,15
7,8,8,Sean O'Hair,67,193,Valspar Championship,2,6
8,T9,9,Keegan Bradley,98,190,Farmers Insurance Open,4,15
9,T9,10,HaoTong Li,42,190,Genesis Open,3,6
10,11,11,Peter Malnati,87,189,Waste Management Phoenix Open,2,8
11,12,12,Patrick Cantlay,87,185,the Memorial Tournament presented by Nationwide,3,8
12,13,13,Paul Goydos,4,183,Arnold Palmer Invitational presented by Mastercard,1,11
13,14,14,"Ted Potter, Jr.",87,180,The RSM Classic,4,6
14,T15,15,Tony Finau,105,176,Sony Open in Hawaii,3,17
15,T15,16,Brandt Snedeker,84,176,Wyndham Championship,1,6
16,T15,17,Vijay Singh,31,176,the Memorial Tournament presented by Nationwide,2,17
17,T18,18,Justin Thomas,91,175,Sony Open in Hawaii,3,2
18,T18,19,Kelly Kraft,94,175,Shriners Hospitals for Children Open,2,5
19,20,20,Steven Bowditch,16,172,John Deere Classic,1,5
20,21,21,Jimmy Walker,81,170,U.S. Open,2,4
21,T22,22,Wesley Bryan,69,169,FedEx St. Jude Classic,1,13
22,T22,23,Dustin Johnson,77,169,FedEx St. Jude Classic,4,18
23,T22,24,Webb Simpson,95,169,World Golf Championships-Bridgestone Invitational,1,13
24,25,25,Martin Piller,79,166,The Honda Classic,1,10
25,26,26,Brice Garnett,99,164,Shriners Hospitals for Children Open,2,14
26,T27,27,Jason Schmuhl,4,163,Safeway Open,2,15
27,T27,28,Brian Gay,103,163,FedEx St. Jude Classic,4,13
28,29,28,Brian Gay,103,161,The RSM Classic,4,18
29,30,26,Brice Garnett,99,160,A Military Tribute at The Greenbrier,1,6
30,31,31,Corey Conners,97,159,Sony Open in Hawaii,1,9
31,32,32,Ross Fisher,43,157,World Golf Championships-Mexico Championship,3,3
32,T33,33,Nick Watney,94,155,A Military Tribute at The Greenbrier,1,7
33,T33,34,Chesson Hadley,103,155,the Memorial Tournament presented by Nationwide,1,3
34,T35,35,Doug Ghim,21,154,Wyndham Championship,4,2
35,T35,36,Grayson Murray,72,154,Houston Open,4,5
36,T35,37,James Hahn,85,154,Travelers Championship,3,11
37,38,38,Johnson Wagner,75,153,Wyndham Championship,2,18
38,39,39,D.A. Points,63,152,Wyndham Championship,4,2
39,T40,9,Keegan Bradley,98,151,RBC Canadian Open,4,9
40,T40,41,Sam Burns,37,151,The Honda Classic,3,12
41,T42,42,Luke List,98,148,RBC Heritage,1,1
42,T42,43,Martin Flores,92,148,Quicken Loans National,1,1
43,T44,44,Richy Werenski,98,147,Shriners Hospitals for Children Open,2,6
44,T44,45,Joel Dahmen,93,147,AT&T Pebble Beach Pro-Am,1,1
45,46,16,Brandt Snedeker,84,145,RBC Canadian Open,1,14
46,T47,47,John Oda,24,144,Wyndham Championship,4,4
47,T47,48,Stewart Cink,87,144,FedEx St. Jude Classic,3,8
48,T47,49,John Huh,94,144,Houston Open,2,1
49,T47,50,Xinjun Zhang,81,144,The RSM Classic,1,4
50,T51,51,J.B. Holmes,77,143,Travelers Championship,3,14
51,T51,52,Mackenzie Hughes,80,143,the Memorial Tournament presented by Nationwide,2,11
52,53,53,WC Liang,6,141,U.S. Open,2,1
53,T54,54,Danny Lee,88,140,RBC Heritage,3,12
54,T54,55,Bronson Burgoon,69,140,Dell Technologies Championship,2,17
55,T54,56,Tommy Fleetwood,73,140,The Honda Classic,3,4
56,T54,57,Doc Redman,18,140,Quicken Loans National,4,1
57,58,58,Brian Harman,94,139,U.S. Open,3,12
58,59,59,Brendon de Jonge,38,138,The RSM Classic,2,13
59,T60,14,"Ted Potter, Jr.",87,137,PGA Championship,2,14
60,T60,61,Hideki Matsuyama,75,137,the Memorial Tournament presented by Nationwide,1,17
61,62,62,Matthew Southgate,10,136,U.S. Open,2,15
62,63,63,Rory Sabbatini,91,134,Fort Worth Invitational,3,18
63,T64,33,Nick Watney,94,133,RBC Canadian Open,4,5
