,Fairway_Approach_RTP_Score_RANK THIS WEEK,Fairway_Approach_RTP_Score_RANK LAST WEEK,Fairway_Approach_RTP_Score_PLAYER NAME,Fairway_Approach_RTP_Score_ROUNDS,Fairway_Approach_RTP_Score_AVG RTP
0,1,1,Dustin Johnson,77,-0.213
1,2,2,Tommy Fleetwood,73,-0.17800000000000002
2,3,3,Brooks Koepka,64,-0.174
3,4,4,Justin Rose,70,-0.16699999999999998
4,5,5,Kevin Na,91,-0.166
5,6,6,Jason Day,75,-0.16399999999999998
6,7,7,Hideki Matsuyama,75,-0.162
7,8,8,Tony Finau,105,-0.16
8,9,9,Tiger Woods,68,-0.159
9,10,10,Justin Thomas,91,-0.157
10,11,11,Jon Rahm,71,-0.154
11,12,12,Rory McIlroy,64,-0.152
12,13,13,Webb Simpson,95,-0.145
13,T14,T14,Bryson DeChambeau,93,-0.14400000000000002
14,T14,T14,Johnson Wagner,75,-0.14400000000000002
15,16,16,Billy Horschel,86,-0.14300000000000002
16,17,17,Cameron Percy,56,-0.139
17,18,18,Bronson Burgoon,69,-0.138
18,T19,T19,Rickie Fowler,74,-0.135
19,T19,T19,Phil Mickelson,90,-0.135
20,21,21,Francesco Molinari,73,-0.132
21,22,22,Emiliano Grillo,94,-0.131
22,23,23,Zac Blair,64,-0.13
23,T24,T24,Zach Johnson,94,-0.126
24,T24,T24,Jordan Spieth,81,-0.126
25,T24,T24,Brett Stegmaier,67,-0.126
26,27,27,Wesley Bryan,69,-0.122
27,28,28,Branden Grace,67,-0.121
28,29,29,Marc Leishman,93,-0.11900000000000001
29,T30,T30,Chris Kirk,108,-0.11800000000000001
30,T30,T30,Xander Schauffele,96,-0.11800000000000001
31,32,32,Aaron Wise,90,-0.11699999999999999
32,T33,T33,Chesson Hadley,103,-0.115
33,T33,T33,Beau Hossler,104,-0.115
34,35,35,Hunter Mahan,67,-0.114
35,T36,T36,Rafa Cabrera Bello,75,-0.113
36,T36,T36,Matt Jones,70,-0.113
37,T38,T38,J.T. Poston,73,-0.11199999999999999
38,T38,T38,Sam Ryder,82,-0.11199999999999999
39,T40,T40,Byeong Hun An,86,-0.111
40,T40,T40,Grayson Murray,72,-0.111
41,T42,T42,Patrick Cantlay,87,-0.11
42,T42,T42,Brian Gay,103,-0.11
43,T42,T42,Kyle Stanley,93,-0.11
44,T45,T45,Martin Laird,73,-0.109
45,T45,T45,Kevin Tway,110,-0.109
46,T45,T45,Bubba Watson,90,-0.109
47,T48,T48,Austin Cook,107,-0.10800000000000001
48,T48,T48,C.T. Pan,104,-0.10800000000000001
49,T50,T50,Daniel Berger,81,-0.107
50,T50,T50,Shawn Stefani,76,-0.107
51,T52,T52,Keegan Bradley,98,-0.106
52,T52,T52,Brandon Harkins,101,-0.106
53,T52,T52,Jason Kokrak,99,-0.106
54,T52,T52,Chez Reavie,93,-0.106
55,T52,T52,Brandt Snedeker,84,-0.106
56,T57,T57,Abraham Ancer,98,-0.105
57,T57,T57,Ben Silverman,90,-0.105
