,GIR_Percentage_-_200_yards_RANK THIS WEEK,GIR_Percentage_-_200_yards_RANK LAST WEEK,GIR_Percentage_-_200_yards_PLAYER NAME,GIR_Percentage_-_200_yards_ROUNDS,GIR_Percentage_-_200_yards_%,GIR_Percentage_-_200_yards_GREENS HIT,GIR_Percentage_-_200_yards_TOTAL HOLES,GIR_Percentage_-_200_yards_RELATIVE TO PAR
0,1,1,Henrik Stenson,60,63.08,82,130,-0.02
1,2,2,Jason Kokrak,99,60.84,101,166,-0.10
2,3,3,Billy Horschel,86,59.28,99,167,-0.13
3,4,4,Adam Scott,78,58.5,86,147,-0.12
4,5,5,Tom Lovelady,87,57.98,69,119,-0.09
5,6,6,C.T. Pan,104,57.64,117,203,-0.08
6,7,7,Jon Rahm,71,57.5,69,120,-0.22
7,T8,T8,Bronson Burgoon,69,57.26,71,124,-0.13
8,T8,T8,Sam Ryder,82,57.26,71,124,-0.13
9,10,10,Cameron Percy,56,55.88,38,68,E
10,11,11,Francesco Molinari,73,55.63,79,142,-0.10
11,12,12,Denny McCarthy,71,55.08,65,118,-0.08
12,13,13,Rickie Fowler,74,55.06,87,158,-0.07
13,T14,T14,Patton Kizzire,92,55.0,110,200,-0.09
14,T14,T14,Keith Mitchell,99,55.0,77,140,-0.05
15,16,16,Blayne Barber,69,54.92,67,122,-0.12
16,17,17,Emiliano Grillo,94,54.02,94,174,-0.11
17,18,18,Martin Flores,92,54.01,74,137,-0.12
18,19,19,Adam Schenk,86,53.91,62,115,E
19,20,20,J.J. Spaun,85,53.75,86,160,-0.08
20,21,21,Tony Finau,105,53.18,92,173,-0.09
21,22,22,Byeong Hun An,86,53.02,79,149,-0.06
22,23,23,Brooks Koepka,64,52.8,66,125,-0.09
23,24,24,Hudson Swafford,73,52.53,52,99,+0.06
24,25,25,Justin Thomas,91,52.41,76,145,-0.17
25,26,26,Brett Stegmaier,67,52.22,47,90,-0.09
26,27,27,Joel Dahmen,93,52.21,71,136,E
27,28,28,Jason Day,75,52.1,62,119,-0.08
28,29,29,Xander Schauffele,96,51.9,82,158,-0.07
29,30,30,Martin Laird,73,51.67,62,120,-0.02
30,31,31,Brandon Harkins,101,51.55,83,161,-0.10
31,32,32,Nate Lashley,51,51.52,34,66,-0.26
32,33,33,Lucas Glover,65,51.22,42,82,+0.02
33,34,34,Luke List,98,51.08,71,139,-0.01
34,35,35,Kevin Tway,110,50.89,86,169,-0.12
35,36,36,Adam Hadwin,92,50.86,89,175,-0.06
36,37,37,Paul Casey,74,50.72,70,138,-0.11
37,38,38,Webb Simpson,95,50.67,114,225,-0.11
38,39,39,Chez Reavie,93,50.65,78,154,-0.17
39,40,40,Bryson DeChambeau,93,50.62,82,162,-0.06
40,41,41,Patrick Rodgers,97,50.59,86,170,-0.07
41,T42,T42,Patrick Cantlay,87,50.34,74,147,-0.11
42,T42,T42,Scott Piercy,84,50.34,75,149,-0.09
43,44,44,Corey Conners,97,50.33,77,153,-0.09
44,T45,T45,Matt Atkins,56,50.0,39,78,-0.08
45,T45,T45,Ryan Palmer,69,50.0,55,110,-0.07
46,T45,T45,Andrew Putnam,97,50.0,102,204,-0.10
47,T45,T45,Harold Varner III,91,50.0,69,138,-0.07
48,T45,T45,Aaron Wise,90,50.0,94,188,-0.12
49,T45,T45,Gary Woodland,96,50.0,72,144,-0.11
50,51,51,David Lingmerth,82,49.64,69,139,-0.09
51,52,52,Xinjun Zhang,81,49.61,63,127,-0.08
52,53,53,Michael Thompson,62,49.54,54,109,-0.09
53,54,54,Zach Johnson,94,49.4,82,166,-0.09
54,55,55,Ian Poulter,73,49.25,66,134,-0.05
55,T56,T56,Tyler Duncan,97,49.15,87,177,-0.03
56,T56,T56,Charles Howell III,104,49.15,87,177,-0.14
57,58,58,David Hearn,66,49.09,54,110,-0.06
58,59,59,Brian Stuard,103,49.07,106,216,-0.11
59,60,60,Peter Uihlein,83,48.97,71,145,E
60,61,61,Chesson Hadley,103,48.91,90,184,-0.18
61,62,62,Kyle Stanley,93,48.89,88,180,-0.17
62,T63,T63,Tommy Fleetwood,73,48.85,64,131,-0.19
63,T63,T63,Seamus Power,86,48.85,64,131,-0.05
64,65,65,Brian Harman,94,48.72,95,195,-0.01
65,66,66,Hideki Matsuyama,75,48.61,70,144,-0.19
66,T67,T67,Abraham Ancer,98,48.57,85,175,-0.12
67,T67,T67,J.T. Poston,73,48.57,51,105,-0.20
68,69,69,Justin Rose,70,48.55,67,138,-0.09
69,T70,T70,Keegan Bradley,98,48.31,86,178,-0.03
70,T70,T70,Kevin Kisner,89,48.31,86,178,-0.13
71,72,72,Charley Hoffman,87,48.15,65,135,E
72,73,73,Nick Watney,94,47.97,71,148,-0.10
73,74,74,Ryan Blaum,81,47.9,80,167,-0.15
74,75,75,Kevin Streelman,94,47.83,77,161,E
75,76,76,Kevin Na,91,47.8,98,205,-0.15
76,77,77,Matt Jones,70,47.78,43,90,+0.09
77,78,78,Sam Saunders,80,47.76,64,134,-0.17
78,79,79,Tom Hoge,101,47.73,84,176,-0.01
79,80,80,Marc Leishman,93,47.64,91,191,-0.15
80,81,81,Brendan Steele,74,47.5,57,120,+0.02
81,82,82,Ryan Moore,78,47.4,73,154,-0.10
82,83,83,Dustin Johnson,77,47.37,54,114,-0.15
83,84,84,Tyrrell Hatton,58,47.29,61,129,-0.03
84,85,85,Kiradech Aphibarnrat,51,47.25,43,91,-0.14
85,86,86,Tiger Woods,68,47.24,77,163,-0.13
86,T87,T87,Stephan Jaeger,81,47.2,59,125,-0.02
87,T87,T87,Andrew Landry,82,47.2,76,161,-0.12
88,T87,T87,Jhonattan Vegas,92,47.2,59,125,-0.19
89,90,90,Robert Garrigus,80,46.73,50,107,+0.08
90,91,91,Trey Mullinax,75,46.67,49,105,-0.06
91,92,92,Fabián Gómez,88,46.62,62,133,-0.06
92,93,93,Brice Garnett,99,46.59,82,176,-0.04
93,94,94,Chris Kirk,108,46.57,95,204,-0.09
94,95,95,Louis Oosthuizen,62,46.55,54,116,-0.17
95,96,96,Alex Cejka,77,46.48,66,142,-0.11
96,97,97,Kevin Chappell,77,46.46,59,127,+0.05
97,98,98,Zecheng Dou,53,46.38,32,69,-0.06
98,99,99,Ben Crane,65,46.34,57,123,-0.11
99,100,100,Austin Cook,107,46.23,98,212,-0.13
100,101,101,Jordan Spieth,81,46.05,70,152,-0.13
101,102,102,Rory McIlroy,64,46.02,52,113,-0.17
102,103,103,Rafa Cabrera Bello,75,45.93,62,135,-0.11
103,104,104,Johnson Wagner,75,45.86,61,133,-0.10
104,T105,T105,J.J. Henry,81,45.8,60,131,-0.03
105,T105,T105,J.B. Holmes,77,45.8,60,131,-0.08
106,107,107,Scott Stallings,96,45.78,76,166,-0.16
107,108,108,Sean O'Hair,67,45.3,53,117,-0.21
108,109,109,Sung Kang,89,45.22,71,157,-0.17
109,110,110,Mackenzie Hughes,80,45.19,61,135,-0.20
110,111,111,Nick Taylor,94,45.14,65,144,-0.02
111,112,112,Stewart Cink,87,45.07,64,142,-0.13
112,T113,T113,Daniel Berger,81,45.03,68,151,-0.09
113,T113,T113,Bubba Watson,90,45.03,68,151,-0.09
114,115,115,Phil Mickelson,90,44.86,83,185,-0.14
115,116,116,Danny Lee,88,44.85,61,136,-0.18
116,117,117,Lanto Griffin,80,44.72,55,123,+0.02
117,118,118,Dominic Bozzelli,65,44.64,50,112,-0.08
118,119,119,Richy Werenski,98,44.52,65,146,-0.03
119,120,120,James Hahn,85,44.44,64,144,-0.05
120,121,121,Russell Knox,94,44.26,81,183,-0.05
121,122,122,Brandt Snedeker,84,44.12,75,170,-0.15
122,123,123,Roberto Díaz,72,44.0,55,125,E
123,124,124,Vaughn Taylor,83,43.75,63,144,-0.16
124,125,125,Shawn Stefani,76,43.65,55,126,-0.02
125,126,126,Grayson Murray,72,43.52,47,108,-0.04
126,127,127,Scott Brown,102,43.46,83,191,-0.06
127,128,128,Jonas Blixt,67,43.43,43,99,-0.09
128,129,129,Si Woo Kim,108,43.41,79,182,-0.22
129,130,130,Hunter Mahan,67,43.01,40,93,-0.10
130,131,131,Troy Merritt,89,42.95,67,156,-0.15
131,132,132,Brian Gay,103,42.91,106,247,-0.16
132,T133,T133,Ricky Barnes,65,42.86,39,91,-0.08
133,T133,T133,Jonathan Byrd,70,42.86,42,98,-0.05
134,135,135,Talor Gooch,78,42.76,62,145,-0.11
135,T136,T136,Jamie Lovemark,92,42.68,70,164,-0.09
136,T136,T136,Conrad Shindler,60,42.68,35,82,+0.03
137,138,138,Ben Silverman,90,42.67,64,150,-0.09
138,139,139,Graeme McDowell,67,42.57,43,101,-0.02
139,140,140,D.A. Points,63,42.54,57,134,-0.02
140,141,141,Beau Hossler,104,42.46,76,179,-0.16
141,142,142,Russell Henley,77,42.38,64,151,-0.13
142,143,143,William McGirt,84,42.21,65,154,-0.09
143,144,144,Ryan Armour,109,42.15,102,242,-0.06
144,145,145,Retief Goosen,60,42.11,32,76,-0.03
145,146,146,Bud Cauley,55,42.05,37,88,-0.22
146,147,147,Whee Kim,93,41.71,73,175,-0.19
147,148,148,Jason Dufner,71,41.53,49,118,-0.04
148,149,149,Shane Lowry,64,41.35,43,104,-0.12
149,150,150,Kyle Thompson,50,41.33,31,75,E
150,151,151,Cameron Tringale,67,41.32,50,121,+0.02
151,152,152,Steve Wheatcroft,60,41.3,38,92,-0.08
152,153,153,Ollie Schniederjans,91,41.04,71,173,-0.03
153,154,154,Andrew Yun,51,41.03,32,78,-0.22
154,155,155,Nicholas Lindheim,77,40.87,47,115,+0.04
155,156,156,Harris English,84,40.85,58,142,-0.19
156,157,157,Ben Martin,64,40.54,45,111,-0.02
157,158,158,Kelly Kraft,94,40.46,70,173,-0.04
158,159,159,Ethan Tracy,72,40.38,42,104,-0.05
159,160,160,Branden Grace,67,40.18,45,112,-0.16
160,161,161,Pat Perez,82,40.16,51,127,-0.12
161,162,162,Derek Fathauer,84,40.12,65,162,-0.12
162,163,163,Matt Kuchar,88,39.87,61,153,E
163,164,164,Patrick Reed,94,39.76,66,166,-0.05
164,165,165,Billy Hurley III,70,39.73,58,146,-0.12
165,166,166,Jonathan Randolph,71,39.72,56,141,-0.07
166,167,167,Rory Sabbatini,91,39.35,61,155,-0.05
167,168,168,Bill Haas,76,39.31,57,145,-0.07
168,169,169,Charl Schwartzel,65,38.89,42,108,-0.02
169,170,170,Anirban Lahiri,82,38.85,61,157,-0.11
170,171,171,Rob Oppenheim,74,38.76,50,129,-0.16
171,172,172,Tyrone Van Aswegen,101,38.64,68,176,-0.10
172,173,173,Matt Every,79,38.39,43,112,-0.09
173,174,174,Jimmy Walker,81,37.95,63,166,-0.13
174,175,175,John Huh,94,37.84,70,185,-0.11
175,176,176,Chris Stroud,81,37.69,49,130,-0.02
176,177,177,Zac Blair,64,37.61,41,109,-0.10
177,178,178,Martin Piller,79,37.59,53,141,E
178,T179,T179,Chad Campbell,87,37.5,51,136,-0.08
179,T179,T179,Cameron Smith,85,37.5,57,152,-0.14
180,181,181,Jim Furyk,50,37.3,47,126,-0.13
181,182,182,Robert Streb,78,37.16,55,148,-0.16
182,183,183,Aaron Baddeley,84,37.04,50,135,+0.04
183,184,184,Satoshi Kodaira,51,36.94,41,111,-0.07
184,185,185,"Ted Potter, Jr.",87,36.87,80,217,-0.14
185,186,186,Michael Kim,74,36.8,46,125,-0.04
186,187,187,Cody Gribble,71,36.75,43,117,+0.02
187,T188,T188,Wesley Bryan,69,36.36,48,132,-0.10
188,T188,T188,Rod Pampling,62,36.36,28,77,-0.11
189,190,190,Alex Noren,67,35.97,50,139,-0.08
190,191,191,Peter Malnati,87,35.25,49,139,E
191,192,192,Greg Chalmers,56,33.64,36,107,-0.08
192,193,193,Daniel Summerhays,51,31.71,26,82,E
