,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
0,1,1,Dustin Johnson,77,152.5,74098400.0,135
1,2,2,Brandon Harkins,101,153.7,143829200.0,260
2,3,3,Chesson Hadley,103,154.5,139092500.0,250
3,4,4,Jon Rahm,71,154.6,77362100.0,139
4,T5,T5,Martin Flores,92,154.7,129231500.0,232
5,T5,T5,Grayson Murray,72,154.7,109132200.0,196
6,T5,T5,Sam Saunders,80,154.7,109126000.0,196
7,T8,T8,Zecheng Dou,53,155.1,73151700.0,131
8,T8,T8,Patrick Rodgers,97,155.1,118912400.0,213
9,10,10,Kevin Chappell,77,156.0,107825100.0,192
10,11,11,Harold Varner III,91,156.1,122486500.0,218
11,12,12,Beau Hossler,104,156.4,128343700.0,228
12,T13,T13,Sam Ryder,82,156.5,103117200.0,183
13,T13,T13,Jordan Spieth,81,156.5,90732400.0,161
14,15,15,Patton Kizzire,92,156.6,117286600.0,208
15,16,16,Brett Stegmaier,67,156.7,68260600.0,121
16,17,17,Brooks Koepka,64,156.8,70560900.0,125
17,18,18,D.A. Points,63,157.6,91371000.0,161
18,19,19,Pat Perez,82,157.7,87416800.0,154
19,20,20,Matt Atkins,56,157.8,72149800.0,127
20,21,21,J.T. Poston,73,158.0,88721500.0,156
21,T22,T22,Ricky Barnes,65,158.1,77969500.0,137
22,T22,T22,Luke List,98,158.1,121831700.0,214
23,T24,T24,Zach Johnson,94,158.3,98043700.0,172
24,T24,T24,Nicholas Lindheim,77,158.3,96895400.0,170
25,T26,T26,Paul Casey,74,158.4,73576300.0,129
26,T26,T26,Nate Lashley,51,158.4,46747400.0,82
27,T28,T28,Byeong Hun An,86,158.6,102774900.0,180
28,T28,T28,Rory McIlroy,64,158.6,70811400.0,124
29,T30,T30,Tom Lovelady,87,159.0,129914500.0,227
30,T30,T30,Trey Mullinax,75,159.0,107584100.0,188
31,T32,T32,Rafa Cabrera Bello,75,159.1,71585000.0,125
32,T32,T32,Branden Grace,67,159.1,69861300.0,122
33,34,34,Shane Lowry,64,159.5,86152300.0,150
34,T35,T35,Aaron Baddeley,84,159.6,112595400.0,196
35,T35,T35,Patrick Cantlay,87,159.6,96544600.0,168
36,T35,T35,Peter Uihlein,83,159.6,110882400.0,193
37,T38,T38,Matt Every,79,159.7,123631000.0,215
38,T38,T38,Michael Thompson,62,159.7,83369800.0,145
39,T40,T40,Bronson Burgoon,69,160.0,87576400.0,152
40,T40,T40,Stewart Cink,87,160.0,112319200.0,195
41,T40,T40,David Hearn,66,160.0,80641000.0,140
42,T40,T40,Francesco Molinari,73,160.0,83512600.0,145
