,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
0,1,1,Dustin Johnson,77,21.0,46,219
1,2,2,Tom Lovelady,87,20.63,65,315
2,3,3,Ryan Armour,109,19.82,44,222
3,4,4,Robert Garrigus,80,19.7,53,269
4,5,5,Dominic Bozzelli,65,19.34,47,243
5,6,6,Hudson Swafford,73,19.29,27,140
6,7,7,Charley Hoffman,87,19.28,48,249
7,8,8,Phil Mickelson,90,19.16,59,308
8,9,9,Luke List,98,19.13,66,345
9,10,10,Ricky Barnes,65,19.05,44,231
10,11,11,Brandt Snedeker,84,18.95,47,248
11,12,12,Jonathan Byrd,70,18.92,35,185
12,13,13,Justin Thomas,91,18.75,48,256
13,14,14,J.B. Holmes,77,18.7,49,262
14,15,15,Tony Finau,105,18.68,65,348
15,16,16,Joel Dahmen,93,18.61,43,231
16,17,17,Keith Mitchell,99,18.55,59,318
17,18,18,Jordan Spieth,81,18.53,43,232
18,19,19,Jonas Blixt,67,18.37,36,196
19,20,20,Stephan Jaeger,81,18.35,49,267
20,21,21,Jamie Lovemark,92,18.3,58,317
21,22,22,Rory Sabbatini,91,18.22,47,258
22,23,23,Jason Kokrak,99,18.21,65,357
23,24,24,Martin Laird,73,18.14,37,204
24,25,25,Lanto Griffin,80,18.12,50,276
25,26,26,Bryson DeChambeau,93,18.05,48,266
26,27,27,David Lingmerth,82,17.89,34,190
27,T28,T28,Harris English,84,17.27,43,249
28,T28,T28,Trey Mullinax,75,17.27,43,249
29,T28,T28,Sam Ryder,82,17.27,38,220
30,31,31,Paul Casey,74,17.16,29,169
31,32,32,Cameron Smith,85,17.15,41,239
32,33,33,Kyle Thompson,50,17.05,22,129
33,34,34,Beau Hossler,104,16.95,50,295
34,35,35,Stewart Cink,87,16.87,42,249
35,36,36,D.A. Points,63,16.76,29,173
36,37,37,Matt Atkins,56,16.67,28,168
37,T38,T38,Derek Fathauer,84,16.56,50,302
38,T38,T38,Justin Rose,70,16.56,27,163
39,40,40,Nick Watney,94,16.55,48,290
40,41,41,Jim Furyk,50,16.43,23,140
41,42,42,Bubba Watson,90,16.41,43,262
42,43,43,Cameron Percy,56,16.35,26,159
43,44,44,Charl Schwartzel,65,16.23,25,154
44,T45,T45,Abraham Ancer,98,16.12,49,304
45,T45,T45,Gary Woodland,96,16.12,39,242
46,47,47,Bud Cauley,55,16.11,24,149
47,48,48,Emiliano Grillo,94,16.1,33,205
48,49,49,Kevin Tway,110,16.06,62,386
49,50,50,Nate Lashley,51,15.91,21,132
