,GIR_Percentage_-_75-100_yards_RANK THIS WEEK,GIR_Percentage_-_75-100_yards_RANK LAST WEEK,GIR_Percentage_-_75-100_yards_PLAYER NAME,GIR_Percentage_-_75-100_yards_ROUNDS,GIR_Percentage_-_75-100_yards_%,GIR_Percentage_-_75-100_yards_GREENS HIT,GIR_Percentage_-_75-100_yards_TOTAL HOLES,GIR_Percentage_-_75-100_yards_RELATIVE TO PAR
0,1,1,Francesco Molinari,73,93.1,54,58,-0.37
1,2,2,Rob Oppenheim,74,91.8,56,61,-0.29
2,3,3,J.J. Henry,81,91.23,52,57,-0.27
3,4,4,Corey Conners,97,90.28,65,72,-0.29
4,5,5,Justin Thomas,91,90.0,54,60,-0.35
5,6,6,David Hearn,66,89.47,34,38,-0.41
6,7,7,Tiger Woods,68,89.13,41,46,-0.44
7,8,8,Brandt Snedeker,84,88.57,62,70,-0.37
8,9,9,Anirban Lahiri,82,88.52,54,61,-0.2
9,T10,T10,Denny McCarthy,71,88.1,37,42,-0.27
10,T10,T10,Sean O'Hair,67,88.1,37,42,-0.35
11,12,12,Jim Furyk,50,88.0,22,25,-0.32
12,13,13,Kiradech Aphibarnrat,51,87.5,14,16,-0.36
13,14,14,Tyler Duncan,97,87.27,48,55,-0.23
14,15,15,Nate Lashley,51,87.23,41,47,-0.29
15,16,16,Matt Kuchar,88,87.14,61,70,-0.34
16,17,17,Chris Stroud,81,86.67,52,60,-0.37
17,18,18,Louis Oosthuizen,62,86.49,32,37,-0.34
18,19,19,James Hahn,85,86.36,57,66,-0.21
19,20,20,Fabián Gómez,88,86.21,50,58,-0.26
20,21,21,Brian Stuard,103,86.09,99,115,-0.32
21,22,22,Nick Watney,94,86.08,68,79,-0.32
22,23,23,Brett Stegmaier,67,86.0,43,50,-0.44
23,T24,T24,Blayne Barber,69,85.96,49,57,-0.39
24,T24,T24,Richy Werenski,98,85.96,49,57,-0.33
25,T26,T26,Webb Simpson,95,85.92,61,71,-0.41
26,T26,T26,J.J. Spaun,85,85.92,61,71,-0.36
27,28,28,Bud Cauley,55,85.71,42,49,-0.29
28,29,29,Ben Crane,65,85.37,35,41,-0.43
29,T30,T30,Alex Cejka,77,85.25,52,61,-0.25
30,T30,T30,Emiliano Grillo,94,85.25,52,61,-0.27
31,T30,T30,Scott Piercy,84,85.25,52,61,-0.25
32,33,33,Chad Campbell,87,85.19,46,54,-0.48
33,T34,T34,Sung Kang,89,85.0,51,60,-0.39
34,T34,T34,Kevin Tway,110,85.0,68,80,-0.26
35,36,36,Hudson Swafford,73,84.91,45,53,-0.38
36,37,37,Daniel Summerhays,51,84.85,28,33,-0.25
37,38,38,Kevin Streelman,94,84.81,67,79,-0.25
38,39,39,Cameron Percy,56,84.44,38,45,-0.26
39,40,40,Rod Pampling,62,84.38,27,32,-0.3
40,41,41,Abraham Ancer,98,84.34,70,83,-0.37
41,T42,T42,Keegan Bradley,98,84.31,43,51,-0.28
42,T42,T42,Bronson Burgoon,69,84.31,43,51,-0.3
43,44,44,Russell Knox,94,84.21,64,76,-0.33
44,45,45,Tyrone Van Aswegen,101,84.13,53,63,-0.36
45,46,46,Ethan Tracy,72,84.09,37,44,-0.32
46,47,47,Hunter Mahan,67,84.0,42,50,-0.43
47,48,48,Martin Laird,73,83.87,52,62,-0.33
48,49,49,Robert Streb,78,83.78,31,37,-0.45
49,50,50,Zach Johnson,94,83.75,67,80,-0.39
50,T51,T51,Zac Blair,64,83.67,41,49,-0.24
51,T51,T51,Gary Woodland,96,83.67,41,49,-0.2
52,53,53,Stewart Cink,87,83.64,46,55,-0.41
53,54,54,Brice Garnett,99,83.53,71,85,-0.32
54,T55,T55,Retief Goosen,60,83.33,35,42,-0.4
55,T55,T55,C.T. Pan,104,83.33,50,60,-0.38
56,T55,T55,Cameron Smith,85,83.33,35,42,-0.43
57,T55,T55,Vaughn Taylor,83,83.33,65,78,-0.38
58,59,59,Chesson Hadley,103,83.16,79,95,-0.37
59,60,60,Adam Schenk,86,83.05,49,59,-0.29
60,61,61,Patrick Reed,94,83.02,44,53,-0.41
61,62,62,Matt Atkins,56,82.93,34,41,-0.15
62,63,63,Rafa Cabrera Bello,75,82.86,29,35,-0.28
63,64,64,Billy Horschel,86,82.61,57,69,-0.47
64,T65,T65,Ryan Moore,78,82.35,42,51,-0.26
65,T65,T65,Xander Schauffele,96,82.35,28,34,-0.39
66,67,67,Nicholas Lindheim,77,81.97,50,61,-0.56
67,68,68,Keith Mitchell,99,81.82,81,99,-0.33
68,69,69,Wesley Bryan,69,81.63,40,49,-0.45
69,70,70,Peter Malnati,87,81.48,66,81,-0.39
70,71,71,Charles Howell III,104,81.4,70,86,-0.29
71,72,72,Ryan Blaum,81,81.16,56,69,-0.29
72,73,73,Ryan Armour,109,81.15,99,122,-0.35
73,74,74,Rory McIlroy,64,81.13,43,53,-0.23
74,T75,T75,Brian Gay,103,80.95,102,126,-0.39
75,T75,T75,Brian Harman,94,80.95,51,63,-0.43
76,T75,T75,Shawn Stefani,76,80.95,51,63,-0.33
77,T78,T78,Tony Finau,105,80.88,55,68,-0.24
78,T78,T78,Andrew Putnam,97,80.88,55,68,-0.36
79,T78,T78,Chez Reavie,93,80.88,55,68,-0.29
80,81,81,Russell Henley,77,80.85,38,47,-0.39
