,Rough_Proximity_RANK THIS WEEK,Rough_Proximity_RANK LAST WEEK,Rough_Proximity_PLAYER NAME,Rough_Proximity_ROUNDS,Rough_Proximity_AVG,Rough_Proximity_TOTAL DISTANCE (INCHES),Rough_Proximity_ATTEMPTS,Rough_Proximity_TOTAL DISTANCE (FEET),Rough_Proximity_RELATIVE TO PAR
0,1,1,Dustin Johnson,77,"37' 3""",97930,219,8160.8330000000005,+2.00
1,2,2,Kevin Streelman,94,"38' 5""",108344,235,9028.667,+6.00
2,T3,T3,Ian Poulter,73,"39' 5""",73760,156,6146.6669999999995,+7.00
3,T3,T3,Bubba Watson,90,"39' 5""",123994,262,10332.833,+11.00
4,5,5,Andrew Landry,82,"40' 1""",117375,244,9781.25,+34.00
5,6,6,Ethan Tracy,72,"40' 3""",105847,219,8820.583,+27.00
6,T7,T7,Joel Dahmen,93,"40' 5""",111946,231,9328.833,+4.00
7,T7,T7,Brett Stegmaier,67,"40' 5""",93593,193,7799.4169999999995,+28.00
8,9,9,Nate Lashley,51,"40' 8""",64434,132,5369.5,+6.00
9,10,10,J.B. Holmes,77,"40' 9""",128186,262,10682.167,+4.00
10,T11,T11,Bryson DeChambeau,93,"40' 10""",130359,266,10863.25,+12.00
11,T11,T11,Justin Rose,70,"40' 10""",79908,163,6659.0,+1.00
12,13,13,Scott Piercy,84,"40' 11""",120772,246,10064.333,+31.00
13,14,14,Phil Mickelson,90,"41' 2""",152187,308,12682.25,+6.00
14,15,15,Jordan Spieth,81,"41' 3""",114739,232,9561.583,+9.00
15,16,16,Jason Kokrak,99,"41' 7""",178083,357,14840.25,E
16,17,17,Chad Campbell,87,"41' 8""",111494,223,9291.167,+14.00
17,T18,T18,Stewart Cink,87,"42' 0""",125526,249,10460.5,+8.00
18,T18,T18,Corey Conners,97,"42' 0""",135443,269,11286.917,+35.00
19,T18,T18,Brian Harman,94,"42' 0""",105308,209,8775.667,+25.00
20,T18,T18,Rory Sabbatini,91,"42' 0""",130138,258,10844.833,+2.00
21,22,22,Beau Hossler,104,"42' 1""",149054,295,12421.167,+27.00
22,23,23,Cameron Smith,85,"42' 2""",120862,239,10071.833,+8.00
23,T24,T24,Chesson Hadley,103,"42' 3""",154566,305,12880.5,+33.00
24,T24,T24,Chez Reavie,93,"42' 3""",74586,147,6215.5,+21.00
25,T24,T24,Scott Stallings,96,"42' 3""",160822,317,13401.833,+20.00
26,27,27,C.T. Pan,104,"42' 4""",123459,243,10288.25,+34.00
27,T28,T28,Kevin Chappell,77,"42' 6""",105038,206,8753.167,+26.00
28,T28,T28,Charl Schwartzel,65,"42' 6""",78565,154,6547.0830000000005,+19.00
29,T30,T30,Abraham Ancer,98,"42' 7""",155465,304,12955.417,+20.00
30,T30,T30,Trey Mullinax,75,"42' 7""",127153,249,10596.083,+15.00
31,T32,T32,Tyrrell Hatton,58,"42' 8""",75742,148,6311.8330000000005,+8.00
32,T32,T32,Martin Laird,73,"42' 8""",104426,204,8702.167,+15.00
33,T34,T34,Ben Crane,65,"42' 9""",77972,152,6497.6669999999995,+22.00
34,T34,T34,Retief Goosen,60,"42' 9""",85182,166,7098.5,+23.00
35,T34,T34,Patton Kizzire,92,"42' 9""",166834,325,13902.833,+23.00
36,37,37,Cameron Percy,56,"42' 10""",81776,159,6814.6669999999995,+11.00
37,38,38,Louis Oosthuizen,62,"42' 11""",75142,146,6261.8330000000005,+18.00
38,T39,T39,Zecheng Dou,53,"43' 0""",87124,169,7260.3330000000005,+34.00
39,T39,T39,David Hearn,66,"43' 0""",86653,168,7221.0830000000005,+25.00
40,T39,T39,Luke List,98,"43' 0""",178131,345,14844.25,+16.00
41,T39,T39,Tom Lovelady,87,"43' 0""",162576,315,13548.0,+26.00
42,T43,T43,Austin Cook,107,"43' 1""",139051,269,11587.583,+36.00
43,T43,T43,Derek Fathauer,84,"43' 1""",156027,302,13002.25,+46.00
44,T45,T45,Aaron Baddeley,84,"43' 2""",158098,305,13174.833,+25.00
45,T45,T45,Paul Casey,74,"43' 2""",87573,169,7297.75,+14.00
46,T45,T45,Tony Finau,105,"43' 2""",180146,348,15012.167,+20.00
47,T45,T45,Chris Kirk,108,"43' 2""",164875,318,13739.583,+18.00
48,T49,T49,Keegan Bradley,98,"43' 3""",112714,217,9392.833,+20.00
49,T49,T49,Matt Kuchar,88,"43' 3""",108381,209,9031.75,+12.00
50,T49,T49,Peter Uihlein,83,"43' 3""",148491,286,12374.25,+24.00
51,52,52,Nick Watney,94,"43' 4""",150688,290,12557.333,+19.00
52,T53,T53,Jonathan Byrd,70,"43' 5""",96453,185,8037.75,+17.00
53,T53,T53,Steve Wheatcroft,60,"43' 5""",74961,144,6246.75,+26.00
54,55,55,Charles Howell III,104,"43' 6""",133661,256,11138.417,+18.00
55,T56,T56,Jamie Lovemark,92,"43' 8""",166064,317,13838.667,+9.00
56,T56,T56,Jimmy Walker,81,"43' 8""",143963,275,11996.917,+35.00
57,58,58,Ryan Palmer,69,"43' 9""",112930,215,9410.833,+30.00
58,T59,T59,Bud Cauley,55,"43' 10""",78335,149,6527.9169999999995,+8.00
59,T59,T59,Conrad Shindler,60,"43' 10""",77912,148,6492.6669999999995,+25.00
60,T61,T61,Brooks Koepka,64,"43' 11""",119088,226,9924.0,+21.00
61,T61,T61,Shawn Stefani,76,"43' 11""",129009,245,10750.75,+21.00
62,T63,T63,Bill Haas,76,"44' 0""",136758,259,11396.5,+9.00
63,T63,T63,Brandt Snedeker,84,"44' 0""",130860,248,10905.0,+9.00
64,T65,T65,Roberto Díaz,72,"44' 1""",112744,213,9395.333,+40.00
65,T65,T65,Charley Hoffman,87,"44' 1""",131805,249,10983.75,+21.00
66,T65,T65,Stephan Jaeger,81,"44' 1""",141342,267,11778.5,+7.00
67,T65,T65,Hideki Matsuyama,75,"44' 1""",107452,203,8954.333,+30.00
68,T65,T65,Rod Pampling,62,"44' 1""",79908,151,6659.0,+20.00
69,70,70,Lanto Griffin,80,"44' 2""",146165,276,12180.417,+12.00
70,T71,T71,Alex Cejka,77,"44' 3""",107764,203,8980.333,+22.00
71,T71,T71,Tyler Duncan,97,"44' 3""",135385,255,11282.083,+32.00
72,T71,T71,Grayson Murray,72,"44' 3""",123160,232,10263.333,+35.00
73,T71,T71,Aaron Wise,90,"44' 3""",129667,244,10805.583,+35.00
74,T75,T75,Ryan Armour,109,"44' 4""",118065,222,9838.75,+11.00
75,T75,T75,Bronson Burgoon,69,"44' 4""",104299,196,8691.583,+34.00
76,T75,T75,Si Woo Kim,108,"44' 4""",151028,284,12585.667,+29.00
77,T75,T75,Rory McIlroy,64,"44' 4""",105817,199,8818.083,+22.00
78,T75,T75,Sean O'Hair,67,"44' 4""",119221,224,9935.083,+30.00
79,T75,T75,Seamus Power,86,"44' 4""",151623,285,12635.25,+20.00
80,T81,T81,Keith Mitchell,99,"44' 5""",169543,318,14128.583,+16.00
81,T81,T81,Ryan Moore,78,"44' 5""",92718,174,7726.5,+12.00
82,T81,T81,Pat Perez,82,"44' 5""",92220,173,7685.0,+27.00
83,T84,T84,"Ted Potter, Jr.",87,"44' 6""",132404,248,11033.667,+37.00
84,T84,T84,J.J. Spaun,85,"44' 6""",120660,226,10055.0,+31.00
85,T84,T84,Hudson Swafford,73,"44' 6""",74722,140,6226.8330000000005,-2.00
86,T87,T87,Ryan Blaum,81,"44' 7""",140834,263,11736.167,+35.00
87,T87,T87,Brian Stuard,103,"44' 7""",121015,226,10084.583,+35.00
88,T89,T89,Matt Every,79,"44' 8""",138191,258,11515.917,+53.00
89,T89,T89,Billy Horschel,86,"44' 8""",124826,233,10402.167,+20.00
90,T91,T91,Kevin Kisner,89,"44' 9""",111094,207,9257.833,+26.00
91,T91,T91,Russell Knox,94,"44' 9""",102559,191,8546.583,+18.00
92,T93,T93,Jonas Blixt,67,"44' 10""",105498,196,8791.5,+4.00
93,T93,T93,Fabián Gómez,88,"44' 10""",136540,254,11378.333,+34.00
94,T93,T93,Sam Saunders,80,"44' 10""",143707,267,11975.583,+28.00
95,T93,T93,Kevin Tway,110,"44' 10""",207704,386,17308.667,+31.00
96,T97,T97,Marc Leishman,93,"44' 11""",142869,265,11905.75,+40.00
97,T97,T97,Andrew Yun,51,"44' 11""",80364,149,6697.0,+33.00
98,T99,T99,David Lingmerth,82,"45' 0""",102506,190,8542.167,+11.00
99,T99,T99,Rob Oppenheim,74,"45' 0""",121601,225,10133.417,+42.00
100,T99,T99,Brendan Steele,74,"45' 0""",102617,190,8551.417,+18.00
101,T99,T99,Kyle Thompson,50,"45' 0""",69605,129,5800.4169999999995,+17.00
102,T103,T103,Blayne Barber,69,"45' 1""",109182,202,9098.5,+26.00
103,T103,T103,Martin Flores,92,"45' 1""",161632,299,13469.333,+45.00
104,T103,T103,Talor Gooch,78,"45' 1""",152662,282,12721.833,+37.00
105,T103,T103,Peter Malnati,87,"45' 1""",154648,286,12887.333,+33.00
106,T103,T103,Jon Rahm,71,"45' 1""",96368,178,8030.6669999999995,+27.00
107,T103,T103,Sam Ryder,82,"45' 1""",119097,220,9924.75,+28.00
108,T103,T103,Ollie Schniederjans,91,"45' 1""",188374,348,15697.833,+52.00
109,T103,T103,Justin Thomas,91,"45' 1""",138573,256,11547.75,+3.00
110,T111,T111,J.J. Henry,81,"45' 2""",107879,199,8989.917,+20.00
111,T111,T111,Francesco Molinari,73,"45' 2""",89471,165,7455.9169999999995,+30.00
112,T113,T113,Lucas Glover,65,"45' 3""",81972,151,6831.0,+16.00
113,T113,T113,Tom Hoge,101,"45' 3""",149831,276,12485.917,+34.00
114,T113,T113,Matt Jones,70,"45' 3""",99853,184,8321.083,+37.00
115,T116,T116,Kelly Kraft,94,"45' 4""",132826,244,11068.833,+46.00
116,T116,T116,Denny McCarthy,71,"45' 4""",88670,163,7389.1669999999995,+20.00
117,T116,T116,Adam Scott,78,"45' 4""",94175,173,7847.9169999999995,+18.00
118,T116,T116,Vaughn Taylor,83,"45' 4""",114680,211,9556.667,+27.00
119,T116,T116,Gary Woodland,96,"45' 4""",131726,242,10977.167,+15.00
120,T121,T121,Robert Garrigus,80,"45' 5""",146725,269,12227.083,+13.00
121,T121,T121,Brandon Harkins,101,"45' 5""",202163,371,16846.917,+43.00
122,123,123,Adam Hadwin,92,"45' 6""",104321,191,8693.417,+28.00
123,T124,T124,Anirban Lahiri,82,"45' 7""",137361,251,11446.75,+42.00
124,T124,T124,J.T. Poston,73,"45' 7""",123117,225,10259.75,+40.00
125,T126,T126,Tommy Fleetwood,73,"45' 8""",99689,182,8307.417,+32.00
126,T126,T126,Johnson Wagner,75,"45' 8""",103505,189,8625.417,+18.00
127,128,128,Zac Blair,64,"45' 9""",103817,189,8651.417,+33.00
128,T129,T129,Billy Hurley III,70,"45' 10""",125465,228,10455.417,+46.00
129,T129,T129,Shane Lowry,64,"45' 10""",99030,180,8252.5,+38.00
130,T131,T131,Zach Johnson,94,"46' 0""",124857,226,10404.75,+21.00
131,T131,T131,Chris Stroud,81,"46' 0""",120274,218,10022.833,+27.00
132,T133,T133,Russell Henley,77,"46' 2""",84801,153,7066.75,+30.00
133,T133,T133,Henrik Stenson,60,"46' 2""",44914,81,3742.833,-2.00
134,T135,T135,Byeong Hun An,86,"46' 3""",148664,268,12388.667,+35.00
135,T135,T135,Patrick Cantlay,87,"46' 3""",125914,227,10492.833,+9.00
136,T135,T135,Danny Lee,88,"46' 3""",125915,227,10492.917,+27.00
137,T135,T135,Nicholas Lindheim,77,"46' 3""",131432,237,10952.667,+37.00
138,T139,T139,Wesley Bryan,69,"46' 4""",111765,201,9313.75,+51.00
139,T139,T139,Robert Streb,78,"46' 4""",137248,247,11437.333,+37.00
140,T139,T139,Tyrone Van Aswegen,101,"46' 4""",176886,318,14740.5,+48.00
141,T142,T142,Dominic Bozzelli,65,"46' 5""",135425,243,11285.417,+12.00
142,T142,T142,John Huh,94,"46' 5""",152101,273,12675.083,+39.00
143,T144,T144,Jason Dufner,71,"46' 6""",92699,166,7724.9169999999995,+21.00
144,T144,T144,James Hahn,85,"46' 6""",119459,214,9954.917,+30.00
145,T144,T144,Troy Merritt,89,"46' 6""",135684,243,11307.0,+26.00
146,T144,T144,D.A. Points,63,"46' 6""",96548,173,8045.6669999999995,+9.00
147,148,148,Michael Thompson,62,"46' 7""",92298,165,7691.5,+22.00
148,T149,T149,Kiradech Aphibarnrat,51,"46' 9""",57173,102,4764.417,+16.00
149,T149,T149,Patrick Reed,94,"46' 9""",152000,271,12666.667,+17.00
150,T151,T151,Rickie Fowler,74,"46' 10""",106804,190,8900.333,+30.00
151,T151,T151,Tiger Woods,68,"46' 10""",111180,198,9265.0,+26.00
152,153,153,Martin Piller,79,"47' 0""",147725,262,12310.417,+56.00
153,T154,T154,William McGirt,84,"47' 1""",166818,295,13901.5,+28.00
154,T154,T154,Kevin Na,91,"47' 1""",136816,242,11401.333,+39.00
155,T154,T154,Jonathan Randolph,71,"47' 1""",122579,217,10214.917,+33.00
156,T154,T154,Adam Schenk,86,"47' 1""",152477,270,12706.417,+35.00
157,T154,T154,Harold Varner III,91,"47' 1""",166710,295,13892.5,+58.00
158,159,159,Ben Martin,64,"47' 2""",105837,187,8819.75,+37.00
159,T160,T160,Brice Garnett,99,"47' 3""",160396,283,13366.333,+47.00
160,T160,T160,Brian Gay,103,"47' 3""",145757,257,12146.417,+55.00
161,T160,T160,Mackenzie Hughes,80,"47' 3""",133742,236,11145.167,+34.00
162,T160,T160,Hunter Mahan,67,"47' 3""",102569,181,8547.417,+18.00
163,T160,T160,Xander Schauffele,96,"47' 3""",146881,259,12240.083,+44.00
164,T165,T165,Matt Atkins,56,"47' 4""",95350,168,7945.8330000000005,+12.00
165,T165,T165,Rafa Cabrera Bello,75,"47' 4""",79581,140,6631.75,+19.00
166,T167,T167,Daniel Berger,81,"47' 5""",112122,197,9343.5,+19.00
167,T167,T167,Whee Kim,93,"47' 5""",146840,258,12236.667,+54.00
168,169,169,Graeme McDowell,67,"47' 6""",93508,164,7792.3330000000005,+16.00
169,T170,T170,Andrew Putnam,97,"47' 7""",176436,309,14703.0,+22.00
170,T170,T170,Webb Simpson,95,"47' 7""",164567,288,13713.917,+12.00
171,T170,T170,Richy Werenski,98,"47' 7""",135960,238,11330.0,+49.00
172,173,173,Michael Kim,74,"47' 8""",120682,211,10056.833,+39.00
173,174,174,Jason Day,75,"47' 9""",109396,191,9116.333,+25.00
174,T175,T175,Ricky Barnes,65,"47' 11""",132921,231,11076.75,+19.00
175,T175,T175,Kyle Stanley,93,"47' 11""",99457,173,8288.083,+35.00
176,T175,T175,Jhonattan Vegas,92,"47' 11""",156489,272,13040.75,+28.00
