,Average_Approach_Shot_Distance_RANK THIS WEEK,Average_Approach_Shot_Distance_RANK LAST WEEK,Average_Approach_Shot_Distance_PLAYER NAME,Average_Approach_Shot_Distance_ROUNDS,Average_Approach_Shot_Distance_AVG,Average_Approach_Shot_Distance_TOTAL DIST OF APPR SHOT,Average_Approach_Shot_Distance_TOTAL HOLES
0,1,1,Cameron Percy,56,159.4,4194295.0,731
1,2,2,Zecheng Dou,53,159.5,3693246.0,643
2,3,3,Brett Stegmaier,67,160.7,4837574.0,836
3,4,4,Nicholas Lindheim,77,160.9,6099818.0,1053
4,T5,T5,Trey Mullinax,75,161.4,6061610.0,1043
5,T5,T5,Brian Stuard,103,161.4,9134240.0,1572
6,7,7,Kyle Thompson,50,161.6,3735824.0,642
7,8,8,Dustin Johnson,77,161.8,6478267.0,1112
8,T9,T9,Chad Campbell,87,162.1,6973855.0,1195
9,T9,T9,Peter Malnati,87,162.1,7832911.0,1342
10,11,11,Martin Flores,92,162.3,7506441.0,1285
11,12,12,Ethan Tracy,72,162.4,5602342.0,958
12,13,13,David Hearn,66,162.5,5235011.0,895
13,14,14,Corey Conners,97,162.6,8267296.0,1412
14,15,15,Andrew Landry,82,162.9,7624309.0,1300
15,T16,T16,Brian Gay,103,163.0,9660983.0,1646
16,T16,T16,Lanto Griffin,80,163.0,6278606.0,1070
17,T16,T16,Stephan Jaeger,81,163.0,6595192.0,1124
18,T19,T19,Ryan Armour,109,163.1,10092846.0,1719
19,T19,T19,Beau Hossler,104,163.1,9426935.0,1606
20,T19,T19,Michael Thompson,62,163.1,5871182.0,1000
21,T19,T19,Tyrone Van Aswegen,101,163.1,8699930.0,1482
22,23,23,J.J. Henry,81,163.2,6638788.0,1130
23,T24,T24,Matt Atkins,56,163.3,4155410.0,707
24,T24,T24,Brandon Harkins,101,163.3,8882565.0,1511
25,T26,T26,Conrad Shindler,60,163.4,4623461.0,786
26,T26,T26,Steve Wheatcroft,60,163.4,4834648.0,822
27,28,28,Zach Johnson,94,163.5,7579822.0,1288
28,T29,T29,Nate Lashley,51,163.6,3663055.0,622
29,T29,T29,Rory Sabbatini,91,163.6,7869053.0,1336
30,31,31,Matt Jones,70,163.7,4925430.0,836
31,T32,T32,Brice Garnett,99,163.8,8534104.0,1447
32,T32,T32,Keith Mitchell,99,163.8,8729150.0,1480
33,34,34,Rob Oppenheim,74,163.9,5676372.0,962
34,T35,T35,Stewart Cink,87,164.0,7069073.0,1197
35,T35,T35,Billy Hurley III,70,164.0,6004267.0,1017
36,T35,T35,Patton Kizzire,92,164.0,8195405.0,1388
37,T35,T35,Tom Lovelady,87,164.0,7258102.0,1229
38,T35,T35,Andrew Yun,51,164.0,3576877.0,606
39,T40,T40,Roberto Díaz,72,164.1,5895360.0,998
40,T40,T40,Hunter Mahan,67,164.1,5381445.0,911
41,T40,T40,Brandt Snedeker,84,164.1,7773737.0,1316
42,T40,T40,Peter Uihlein,83,164.1,6834726.0,1157
43,T40,T40,Bubba Watson,90,164.1,7171827.0,1214
44,45,45,Chesson Hadley,103,164.2,9415006.0,1593
45,T46,T46,Jason Day,75,164.3,5185839.0,877
46,T46,T46,D.A. Points,63,164.3,5027109.0,850
47,T46,T46,Jon Rahm,71,164.3,5345553.0,904
48,49,49,J.T. Poston,73,164.4,6024138.0,1018
49,T50,T50,David Lingmerth,82,164.5,7222690.0,1220
50,T50,T50,Shawn Stefani,76,164.5,6320048.0,1067
51,T50,T50,Nick Watney,94,164.5,8421946.0,1422
52,T53,T53,Zac Blair,64,164.6,4893946.0,826
53,T53,T53,Mackenzie Hughes,80,164.6,7221212.0,1219
54,T55,T55,Retief Goosen,60,164.7,4238630.0,715
55,T55,T55,Chris Kirk,108,164.7,10178008.0,1717
56,T55,T55,Cameron Tringale,67,164.7,5383784.0,908
57,T58,T58,Blayne Barber,69,164.8,6332053.0,1067
58,T58,T58,Wesley Bryan,69,164.8,5368466.0,905
59,T58,T58,Jason Dufner,71,164.8,5488545.0,925
60,61,61,Kevin Kisner,89,164.9,6870020.0,1157
61,T62,T62,Jim Furyk,50,165.0,4900376.0,825
62,T62,T62,Fabián Gómez,88,165.0,7507216.0,1264
63,T62,T62,Russell Knox,94,165.0,7847450.0,1321
64,T62,T62,Martin Piller,79,165.0,7103727.0,1196
65,T62,T62,Patrick Rodgers,97,165.0,7746389.0,1304
66,T62,T62,Vaughn Taylor,83,165.0,7402893.0,1246
67,T62,T62,Johnson Wagner,75,165.0,5855897.0,986
68,T69,T69,Aaron Baddeley,84,165.2,7441969.0,1251
