,Approaches_from_inside_100_yards_RANK THIS WEEK,Approaches_from_inside_100_yards_RANK LAST WEEK,Approaches_from_inside_100_yards_PLAYER NAME,Approaches_from_inside_100_yards_ROUNDS,Approaches_from_inside_100_yards_AVG,Approaches_from_inside_100_yards_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_# OF ATTEMPTS,Approaches_from_inside_100_yards_RELATIVE TO PAR
0,1,1,Robert Streb,78,"11' 6""",619.8330000000001,54,-0.06
1,2,2,Tiger Woods,68,"12' 9""",739.6669999999999,58,-0.22
2,3,3,Wesley Bryan,69,"13' 1""",812.5830000000001,62,-0.31
3,4,4,Stewart Cink,87,"13' 3""",983.0,74,-0.05
4,5,5,J.B. Holmes,77,"13' 5""",896.5,67,-0.21
5,6,6,Jon Rahm,71,"13' 6""",1106.833,82,-0.32
6,7,7,Retief Goosen,60,"13' 7""",762.9169999999999,56,-0.07
7,T8,T8,Mackenzie Hughes,80,"13' 8""",831.1669999999999,61,-0.16
8,T8,T8,Ben Martin,64,"13' 8""",684.5,50,-0.20
9,T8,T8,Justin Thomas,91,"13' 8""",888.0830000000001,65,-0.37
10,11,11,Webb Simpson,95,"13' 9""",1126.0,82,-0.18
11,12,12,Peter Uihlein,83,"14' 1""",1053.75,75,-0.24
12,T13,T13,Andrew Putnam,97,"14' 2""",991.0,70,-0.29
13,T13,T13,Brandt Snedeker,84,"14' 2""",1102.167,78,-0.14
14,T15,T15,Brian Gay,103,"14' 4""",2064.333,144,-0.26
15,T15,T15,Vaughn Taylor,83,"14' 4""",1119.75,78,-0.22
16,17,17,Corey Conners,97,"14' 5""",1196.0,83,-0.25
17,18,18,Ryan Armour,109,"14' 6""",1824.5829999999999,126,-0.20
18,19,19,Ricky Barnes,65,"14' 7""",597.1669999999999,41,-0.07
19,20,20,Rory McIlroy,64,"14' 8""",703.4169999999999,48,-0.23
20,21,21,C.T. Pan,104,"14' 10""",1067.333,72,-0.07
21,T22,T22,Chad Campbell,87,"14' 11""",1060.917,71,-0.20
22,T22,T22,J.J. Henry,81,"14' 11""",923.0,62,-0.10
23,T24,T24,Zach Johnson,94,"15' 0""",1261.417,84,-0.12
24,T24,T24,Dustin Johnson,77,"15' 0""",1202.25,80,-0.18
25,T24,T24,Danny Lee,88,"15' 0""",1019.8330000000001,68,-0.10
26,T24,T24,Conrad Shindler,60,"15' 0""",583.75,39,-0.08
27,28,28,Troy Merritt,89,"15' 1""",1083.25,72,-0.26
28,T29,T29,Byeong Hun An,86,"15' 2""",1077.333,71,-0.13
29,T29,T29,Ollie Schniederjans,91,"15' 2""",1155.417,76,-0.33
30,T31,T31,Jonathan Byrd,70,"15' 3""",777.75,51,-0.10
31,T31,T31,Tom Hoge,101,"15' 3""",1251.5,82,-0.18
32,T31,T31,Chris Stroud,81,"15' 3""",962.8330000000001,63,-0.17
33,34,34,Blayne Barber,69,"15' 4""",887.3330000000001,58,-0.24
34,T35,T35,David Hearn,66,"15' 5""",648.75,42,-0.24
35,T35,T35,Sung Kang,89,"15' 5""",1000.75,65,-0.26
36,T37,T37,Ryan Blaum,81,"15' 6""",962.0,62,-0.23
37,T37,T37,Brandon Harkins,101,"15' 6""",1674.3329999999999,108,-0.18
38,T39,T39,Nicholas Lindheim,77,"15' 7""",1120.0,72,-0.25
39,T39,T39,Nick Taylor,94,"15' 7""",1246.917,80,-0.18
40,T39,T39,Michael Thompson,62,"15' 7""",669.4169999999999,43,-0.19
41,T42,T42,Paul Casey,74,"15' 8""",625.75,40,-0.20
42,T42,T42,Xander Schauffele,96,"15' 8""",704.75,45,-0.20
43,T42,T42,Henrik Stenson,60,"15' 8""",627.8330000000001,40,-0.10
44,T45,T45,Brice Garnett,99,"15' 10""",1359.9170000000001,86,-0.15
45,T45,T45,Jamie Lovemark,92,"15' 10""",1187.25,75,-0.11
46,T45,T45,Adam Scott,78,"15' 10""",873.0,55,-0.18
47,T48,T48,Jason Day,75,"15' 11""",653.25,41,-0.24
48,T48,T48,Bryson DeChambeau,93,"15' 11""",984.75,62,-0.15
49,T48,T48,Tyrone Van Aswegen,101,"15' 11""",1256.333,79,-0.14
50,T51,T51,Abraham Ancer,98,"16' 0""",1424.0,89,-0.13
51,T51,T51,Dominic Bozzelli,65,"16' 0""",766.75,48,+0.04
52,T53,T53,Billy Hurley III,70,"16' 1""",1124.75,70,-0.24
53,T53,T53,Rod Pampling,62,"16' 1""",531.75,33,-0.18
54,55,55,Grayson Murray,72,"16' 2""",907.5,56,-0.13
55,56,56,Cameron Tringale,67,"16' 3""",828.5830000000001,51,-0.12
56,T57,T57,Billy Horschel,86,"16' 4""",1258.333,77,-0.32
57,T57,T57,Rob Oppenheim,74,"16' 4""",1112.0,68,-0.10
58,T57,T57,Nick Watney,94,"16' 4""",1440.75,88,-0.18
59,T60,T60,Daniel Berger,81,"16' 5""",998.9169999999999,61,-0.13
60,T60,T60,Ben Crane,65,"16' 5""",851.5,52,-0.29
61,T60,T60,Andrew Landry,82,"16' 5""",1573.0,96,-0.21
62,T63,T63,Martin Flores,92,"16' 6""",1320.4170000000001,80,-0.08
63,T63,T63,Charles Howell III,104,"16' 6""",1563.8329999999999,95,-0.08
64,T63,T63,Martin Laird,73,"16' 6""",1218.333,74,-0.19
65,T63,T63,Kevin Tway,110,"16' 6""",1614.5829999999999,98,-0.16
66,T67,T67,Chris Kirk,108,"16' 7""",1921.4170000000001,116,-0.15
67,T67,T67,Pat Perez,82,"16' 7""",995.0,60,-0.12
68,T67,T67,Brett Stegmaier,67,"16' 7""",1179.417,71,-0.21
69,T70,T70,Ryan Palmer,69,"16' 8""",1118.167,67,-0.15
70,T70,T70,Jimmy Walker,81,"16' 8""",1048.417,63,+0.02
71,T72,T72,Jason Dufner,71,"16' 9""",956.8330000000001,57,-0.16
72,T72,T72,Scott Piercy,84,"16' 9""",1189.083,71,-0.13
73,T72,T72,Hudson Swafford,73,"16' 9""",1204.0,72,-0.14
74,T75,T75,Kevin Na,91,"16' 10""",1327.25,79,-0.11
75,T75,T75,Ben Silverman,90,"16' 10""",1180.417,70,-0.10
76,T77,T77,Jason Kokrak,99,"16' 11""",1270.0,75,-0.08
77,T77,T77,Nate Lashley,51,"16' 11""",593.0830000000001,35,-0.20
78,T77,T77,Phil Mickelson,90,"16' 11""",1048.75,62,-0.18
79,T77,T77,Bubba Watson,90,"16' 11""",1435.75,85,-0.13
80,T81,T81,Jim Furyk,50,"17' 0""",527.4169999999999,31,-0.16
81,T81,T81,Bill Haas,76,"17' 0""",884.3330000000001,52,+0.02
82,T81,T81,Patrick Reed,94,"17' 0""",901.0830000000001,53,-0.25
83,T84,T84,Emiliano Grillo,94,"17' 1""",1348.6670000000001,79,-0.10
84,T84,T84,James Hahn,85,"17' 1""",1213.917,71,-0.18
85,T86,T86,Tyler Duncan,97,"17' 2""",1083.333,63,-0.08
86,T86,T86,Tommy Fleetwood,73,"17' 2""",790.4169999999999,46,-0.11
87,T86,T86,Rickie Fowler,74,"17' 2""",790.0,46,-0.22
88,T86,T86,Charley Hoffman,87,"17' 2""",1181.667,69,-0.14
89,T86,T86,David Lingmerth,82,"17' 2""",1440.75,84,-0.12
90,T91,T91,Michael Kim,74,"17' 3""",912.0830000000001,53,-0.04
91,T91,T91,Kevin Kisner,89,"17' 3""",1241.667,72,-0.24
92,T91,T91,Cameron Smith,85,"17' 3""",881.75,51,-0.29
93,T91,T91,Richy Werenski,98,"17' 3""",1258.167,73,-0.08
