,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
0,1,1,Dustin Johnson,77,29.19,230,788
1,2,2,Tommy Fleetwood,73,28.61,206,720
2,3,3,Jon Rahm,71,27.83,177,636
3,4,4,Justin Rose,70,27.68,199,719
4,5,5,Jason Day,75,27.17,166,611
5,6,6,Brooks Koepka,64,27.16,176,648
6,7,7,Kevin Na,91,27.11,247,911
7,8,8,Hideki Matsuyama,75,26.67,196,735
8,9,9,Phil Mickelson,90,26.58,214,805
9,10,10,Bryson DeChambeau,93,26.56,273,1028
10,11,11,Justin Thomas,91,26.46,218,824
11,12,12,Tiger Woods,68,26.42,209,791
12,13,13,Grayson Murray,72,25.82,181,701
13,14,14,Tony Finau,105,25.7,249,969
14,15,15,Jordan Spieth,81,25.38,215,847
15,16,16,Brett Stegmaier,67,25.37,153,603
16,17,17,Rory McIlroy,64,25.32,158,624
17,18,18,Aaron Wise,90,25.19,269,1068
18,19,19,Brandon Harkins,101,25.1,255,1016
19,20,20,Chesson Hadley,103,24.89,294,1181
20,21,21,Marc Leishman,93,24.79,232,936
21,T22,T22,Ricky Barnes,65,24.67,130,527
22,T22,T22,Ollie Schniederjans,91,24.67,222,900
23,24,24,Ryan Palmer,69,24.5,183,747
24,25,25,Sam Saunders,80,24.49,204,833
25,26,26,Xander Schauffele,96,24.42,220,901
26,27,27,Bronson Burgoon,69,24.4,182,746
27,28,28,Emiliano Grillo,94,24.29,247,1017
28,29,29,Gary Woodland,96,24.23,221,912
29,30,30,Bubba Watson,90,24.15,199,824
30,31,31,Zac Blair,64,24.13,145,601
31,32,32,Vaughn Taylor,83,24.07,226,939
32,T33,T33,Ryan Blaum,81,23.96,225,939
33,T33,T33,J.J. Spaun,85,23.96,230,960
34,35,35,Rafa Cabrera Bello,75,23.95,159,664
35,36,36,Billy Horschel,86,23.9,251,1050
36,37,37,Adam Scott,78,23.84,196,822
37,38,38,Rickie Fowler,74,23.82,197,827
38,39,39,Hunter Mahan,67,23.78,161,677
39,40,40,Zach Johnson,94,23.7,232,979
40,T41,T41,Peter Malnati,87,23.65,219,926
41,T41,T41,Kevin Tway,110,23.65,250,1057
42,43,43,Tom Hoge,101,23.64,257,1087
43,44,44,Martin Laird,73,23.62,193,817
44,T45,T45,Tom Lovelady,87,23.6,190,805
45,T45,T45,Cameron Percy,56,23.6,126,534
46,T45,T45,Webb Simpson,95,23.6,252,1068
47,T48,T48,Jason Kokrak,99,23.52,258,1097
48,T48,T48,Kyle Stanley,93,23.52,226,961
49,50,50,J.T. Poston,73,23.51,170,723
50,51,51,Branden Grace,67,23.49,132,562
51,52,52,Austin Cook,107,23.47,296,1261
52,T53,T53,Jamie Lovemark,92,23.44,221,943
53,T53,T53,Sam Ryder,82,23.44,222,947
54,55,55,Keegan Bradley,98,23.41,262,1119
55,56,56,Francesco Molinari,73,23.37,179,766
56,57,57,Troy Merritt,89,23.27,222,954
57,58,58,Patrick Cantlay,87,23.23,204,878
58,59,59,Kevin Chappell,77,23.21,185,797
59,60,60,Shawn Stefani,76,23.19,173,746
60,61,61,Russell Henley,77,23.14,190,821
61,62,62,Brian Gay,103,23.12,301,1302
62,63,63,Chris Kirk,108,23.1,301,1303
63,64,64,David Hearn,66,23.08,159,689
64,65,65,Harold Varner III,91,23.07,215,932
65,66,66,Jimmy Walker,81,23.05,186,807
66,67,67,John Huh,94,23.04,253,1098
67,68,68,Whee Kim,93,23.02,224,973
68,69,69,Mackenzie Hughes,80,22.98,205,892
69,T70,T70,Matt Jones,70,22.95,134,584
70,T70,T70,Ben Silverman,90,22.95,235,1024
71,72,72,Wesley Bryan,69,22.93,147,641
72,73,73,Beau Hossler,104,22.91,269,1174
73,74,74,Trey Mullinax,75,22.89,160,699
74,75,75,Brian Harman,94,22.81,221,969
75,T76,T76,Scott Piercy,84,22.75,205,901
76,T76,T76,Brandt Snedeker,84,22.75,222,976
77,78,78,David Lingmerth,82,22.72,219,964
78,79,79,Nick Watney,94,22.7,229,1009
79,80,80,Michael Thompson,62,22.63,177,782
80,81,81,Cody Gribble,71,22.61,144,637
81,82,82,Chris Stroud,81,22.6,165,730
82,T83,T83,Rory Sabbatini,91,22.58,217,961
