,Approaches_Right_Rough_RTP_Score_RANK THIS WEEK,Approaches_Right_Rough_RTP_Score_RANK LAST WEEK,Approaches_Right_Rough_RTP_Score_PLAYER NAME,Approaches_Right_Rough_RTP_Score_ROUNDS,Approaches_Right_Rough_RTP_Score_AVG RTP
0,1,1,D.A. Points,63,-.048
1,2,2,Brendan Steele,74,-.034
2,3,3,Nate Lashley,51,-.033
3,4,4,Harris English,84,-.026
4,5,5,Luke List,98,-.011
5,6,6,Jason Kokrak,99,-.010
6,7,7,Lanto Griffin,80,-.007
7,T8,T8,Jonas Blixt,67,E
8,T8,T8,Stewart Cink,87,E
9,T8,T8,Tyrrell Hatton,58,E
10,T8,T8,Henrik Stenson,60,E
11,T8,T8,Michael Thompson,62,E
12,13,13,Stephan Jaeger,81,+.007
13,14,14,Jamie Lovemark,92,+.012
14,15,15,Rory Sabbatini,91,+.014
15,T16,T16,Ricky Barnes,65,+.016
16,T16,T16,Tony Finau,105,+.016
17,T16,T16,Phil Mickelson,90,+.016
18,19,19,Cameron Smith,85,+.018
19,20,20,Keegan Bradley,98,+.019
20,21,21,Robert Garrigus,80,+.021
21,T22,T22,Adam Scott,78,+.022
22,T22,T22,Scott Stallings,96,+.022
23,24,24,Jordan Spieth,81,+.023
24,25,25,Ryan Palmer,69,+.027
25,T26,T26,Jonathan Byrd,70,+.031
26,T26,T26,J.J. Henry,81,+.031
27,T26,T26,Kevin Tway,110,+.031
28,T29,T29,Ryan Armour,109,+.035
29,T29,T29,Dustin Johnson,77,+.035
30,T31,T31,Adam Hadwin,92,+.036
31,T31,T31,Ryan Moore,78,+.036
32,33,33,Bud Cauley,55,+.038
33,34,34,Hudson Swafford,73,+.039
34,35,35,Webb Simpson,95,+.042
35,36,36,Keith Mitchell,99,+.043
36,37,37,Kevin Streelman,94,+.045
37,38,38,Jimmy Walker,81,+.054
38,39,39,Patrick Cantlay,87,+.056
39,40,40,Peter Malnati,87,+.057
40,T41,T41,Kiradech Aphibarnrat,51,+.058
41,T41,T41,Justin Thomas,91,+.058
42,43,43,Charles Howell III,104,+.059
43,T44,T44,Martin Laird,73,+.060
44,T44,T44,Brandt Snedeker,84,+.060
45,46,46,Aaron Wise,90,+.063
46,47,47,Patrick Reed,94,+.064
47,T48,T48,Joel Dahmen,93,+.065
48,T48,T48,Si Woo Kim,108,+.065
49,50,50,Chris Kirk,108,+.066
50,51,51,Matt Atkins,56,+.067
51,52,52,Zach Johnson,94,+.069
52,T53,T53,Jim Furyk,50,+.070
53,T53,T53,Brett Stegmaier,67,+.070
54,55,55,Bubba Watson,90,+.072
55,T56,T56,J.B. Holmes,77,+.073
56,T56,T56,Beau Hossler,104,+.073
57,T58,T58,Bill Haas,76,+.075
58,T58,T58,Johnson Wagner,75,+.075
59,60,60,Gary Woodland,96,+.076
60,61,61,Chesson Hadley,103,+.077
61,62,62,Scott Piercy,84,+.078
62,T63,T63,Patton Kizzire,92,+.080
63,T63,T63,Kelly Kraft,94,+.080
