,GIR_Percentage_-_100-125_yards_RANK THIS WEEK,GIR_Percentage_-_100-125_yards_RANK LAST WEEK,GIR_Percentage_-_100-125_yards_PLAYER NAME,GIR_Percentage_-_100-125_yards_ROUNDS,GIR_Percentage_-_100-125_yards_%,GIR_Percentage_-_100-125_yards_GREENS HIT,GIR_Percentage_-_100-125_yards_TOTAL HOLES,GIR_Percentage_-_100-125_yards_RELATIVE TO PAR
0,1,1,Charles Howell III,104,87.02,114,131,-0.42
1,T2,T2,Pat Perez,82,85.71,72,84,-0.17
2,T2,T2,Kyle Thompson,50,85.71,72,84,-0.33
3,4,4,Dustin Johnson,77,85.52,124,145,-0.35
4,5,5,Jim Furyk,50,85.39,76,89,-0.3
5,6,6,Cameron Percy,56,85.19,92,108,-0.28
6,7,7,C.T. Pan,104,84.89,118,139,-0.28
7,8,8,Johnson Wagner,75,84.68,105,124,-0.36
8,9,9,Ian Poulter,73,84.44,76,90,-0.3
9,10,10,Billy Horschel,86,84.4,119,141,-0.31
10,11,11,Brandt Snedeker,84,83.95,136,162,-0.35
11,12,12,Justin Thomas,91,83.33,95,114,-0.28
12,13,13,Andrew Putnam,97,83.21,114,137,-0.25
13,14,14,Robert Streb,78,83.16,79,95,-0.24
14,15,15,Richy Werenski,98,83.09,113,136,-0.23
15,16,16,J.J. Henry,81,83.08,108,130,-0.24
16,17,17,Steve Wheatcroft,60,83.0,83,100,-0.2
17,18,18,Adam Scott,78,82.47,80,97,-0.18
18,19,19,Ryan Armour,109,82.26,153,186,-0.38
19,20,20,Fabián Gómez,88,82.07,119,145,-0.23
20,21,21,Brian Stuard,103,81.82,135,165,-0.28
21,22,22,Scott Piercy,84,81.76,121,148,-0.15
22,23,23,Cameron Tringale,67,81.73,85,104,-0.33
23,24,24,Nick Watney,94,81.5,141,173,-0.24
24,25,25,Rafa Cabrera Bello,75,81.44,79,97,-0.25
25,26,26,Beau Hossler,104,81.33,183,225,-0.25
26,27,27,Russell Henley,77,81.2,95,117,-0.23
27,28,28,Bill Haas,76,81.16,112,138,-0.13
28,29,29,David Hearn,66,81.1,103,127,-0.28
29,30,30,John Huh,94,80.95,85,105,-0.31
30,31,31,Ben Silverman,90,80.81,139,172,-0.27
31,32,32,Kyle Stanley,93,80.8,101,125,-0.3
32,33,33,Martin Flores,92,80.5,128,159,-0.3
33,34,34,Kevin Streelman,94,80.43,148,184,-0.22
34,T35,T35,Brian Harman,94,80.23,138,172,-0.26
35,T35,T35,Chris Kirk,108,80.23,138,172,-0.33
36,T35,T35,Hideki Matsuyama,75,80.23,69,86,-0.36
37,T35,T35,Webb Simpson,95,80.23,138,172,-0.33
38,T39,T39,Blayne Barber,69,80.17,93,116,-0.15
39,T39,T39,Matt Jones,70,80.17,93,116,-0.31
40,41,41,Whee Kim,93,80.16,101,126,-0.3
41,T42,T42,Lucas Glover,65,80.0,76,95,-0.26
42,T42,T42,Ryan Moore,78,80.0,88,110,-0.27
43,44,44,Danny Lee,88,79.63,86,108,-0.28
44,45,45,Rory Sabbatini,91,79.62,125,157,-0.3
45,46,46,Billy Hurley III,70,79.61,82,103,-0.27
46,47,47,Ben Martin,64,79.59,78,98,-0.28
47,48,48,Aaron Wise,90,79.46,147,185,-0.24
48,49,49,Corey Conners,97,79.43,166,209,-0.24
49,50,50,Henrik Stenson,60,79.25,42,53,-0.29
50,51,51,Rob Oppenheim,74,79.21,80,101,-0.39
51,52,52,Aaron Baddeley,84,79.2,99,125,-0.33
52,53,53,D.A. Points,63,79.17,57,72,-0.3
53,54,54,Vaughn Taylor,83,79.14,110,139,-0.39
54,55,55,Dominic Bozzelli,65,79.09,87,110,-0.32
55,56,56,Peter Malnati,87,79.07,136,172,-0.32
56,57,57,Keegan Bradley,98,78.86,97,123,-0.24
57,58,58,Russell Knox,94,78.72,111,141,-0.28
58,59,59,Francesco Molinari,73,78.64,81,103,-0.3
59,60,60,Ethan Tracy,72,78.57,88,112,-0.31
60,T61,T61,Ryan Blaum,81,78.42,109,139,-0.32
61,T61,T61,Mackenzie Hughes,80,78.42,109,139,-0.31
62,63,63,Andrew Landry,82,78.31,130,166,-0.32
63,64,64,Shane Lowry,64,78.3,83,106,-0.33
64,65,65,Brendan Steele,74,78.26,90,115,-0.2
65,66,66,Kevin Na,91,78.15,93,119,-0.43
66,67,67,Stewart Cink,87,78.03,103,132,-0.25
67,68,68,Zac Blair,64,78.02,71,91,-0.42
68,69,69,Chesson Hadley,103,77.83,158,203,-0.34
69,T70,T70,Kiradech Aphibarnrat,51,77.78,42,54,-0.24
70,T70,T70,Kevin Chappell,77,77.78,105,135,-0.26
71,T70,T70,Jason Day,75,77.78,77,99,-0.34
72,T70,T70,Justin Rose,70,77.78,63,81,-0.33
73,74,74,Rickie Fowler,74,77.66,73,94,-0.29
74,75,75,Stephan Jaeger,81,77.56,121,156,-0.26
75,76,76,Sam Ryder,82,77.55,114,147,-0.32
76,77,77,Kevin Kisner,89,77.37,106,137,-0.3
77,78,78,Seamus Power,86,77.3,109,141,-0.2
78,79,79,Michael Kim,74,77.14,81,105,-0.31
79,80,80,Brice Garnett,99,77.13,145,188,-0.26
80,T81,T81,Denny McCarthy,71,76.92,60,78,-0.2
81,T81,T81,Hudson Swafford,73,76.92,80,104,-0.3
82,T81,T81,Gary Woodland,96,76.92,110,143,-0.29
83,84,84,Jimmy Walker,81,76.84,73,95,-0.29
84,85,85,Nicholas Lindheim,77,76.8,96,125,-0.28
85,86,86,Patrick Cantlay,87,76.77,119,155,-0.2
86,T87,T87,Byeong Hun An,86,76.64,105,137,-0.23
87,T87,T87,Hunter Mahan,67,76.64,105,137,-0.31
88,89,89,Bronson Burgoon,69,76.47,91,119,-0.23
89,90,90,Xander Schauffele,96,76.39,110,144,-0.3
90,91,91,William McGirt,84,76.35,113,148,-0.24
91,92,92,Abraham Ancer,98,76.32,145,190,-0.28
92,93,93,Brian Gay,103,76.28,119,156,-0.35
93,94,94,Tyrone Van Aswegen,101,76.25,122,160,-0.22
94,95,95,Chad Campbell,87,76.22,109,143,-0.29
95,96,96,Daniel Berger,81,76.14,67,88,-0.25
96,97,97,Shawn Stefani,76,76.11,86,113,-0.26
97,98,98,Tyler Duncan,97,76.07,124,163,-0.27
98,99,99,Harold Varner III,91,76.03,111,146,-0.17
99,T100,T100,Matt Kuchar,88,76.0,95,125,-0.22
100,T100,T100,Andrew Yun,51,76.0,57,75,-0.12
101,102,102,Nick Taylor,94,75.93,123,162,-0.2
102,103,103,Robert Garrigus,80,75.9,126,166,-0.29
103,104,104,Luke List,98,75.86,110,145,-0.19
104,T105,T105,Tony Finau,105,75.76,125,165,-0.28
105,T105,T105,Jordan Spieth,81,75.76,100,132,-0.28
106,107,107,Alex Cejka,77,75.44,86,114,-0.24
107,108,108,Anirban Lahiri,82,75.38,98,130,-0.33
108,109,109,Wesley Bryan,69,75.36,52,69,-0.25
109,110,110,Graeme McDowell,67,75.34,55,73,-0.29
110,111,111,Branden Grace,67,75.32,58,77,-0.26
111,112,112,Patton Kizzire,92,75.31,122,162,-0.3
112,113,113,Patrick Reed,94,75.22,85,113,-0.26
113,114,114,Phil Mickelson,90,75.2,94,125,-0.32
114,115,115,Peter Uihlein,83,75.19,100,133,-0.27
115,T116,T116,Bud Cauley,55,75.0,51,68,-0.24
116,T116,T116,Brooks Koepka,64,75.0,87,116,-0.31
117,118,118,Michael Thompson,62,74.82,104,139,-0.28
118,119,119,Ollie Schniederjans,91,74.8,95,127,-0.35
119,120,120,J.T. Poston,73,74.79,89,119,-0.21
120,121,121,Austin Cook,107,74.71,130,174,-0.22
121,122,122,Ricky Barnes,65,74.7,62,83,-0.21
122,123,123,J.J. Spaun,85,74.69,121,162,-0.26
123,124,124,Kevin Tway,110,74.59,135,181,-0.24
124,125,125,David Lingmerth,82,74.45,102,137,-0.32
125,126,126,Lanto Griffin,80,74.42,96,129,-0.24
126,127,127,Patrick Rodgers,97,74.34,113,152,-0.24
127,128,128,Harris English,84,74.17,89,120,-0.18
128,129,129,Rory McIlroy,64,74.14,86,116,-0.3
129,130,130,Matt Every,79,74.1,103,139,-0.23
130,131,131,Kelly Kraft,94,74.02,94,127,-0.22
131,132,132,Alex Noren,67,73.97,54,73,-0.3
132,133,133,Cameron Smith,85,73.95,88,119,-0.24
133,134,134,Zach Johnson,94,73.94,105,142,-0.31
134,135,135,Adam Hadwin,92,73.74,73,99,-0.27
135,T136,T136,Martin Laird,73,73.68,70,95,-0.26
136,T136,T136,Marc Leishman,93,73.68,98,133,-0.24
137,138,138,Emiliano Grillo,94,73.64,81,110,-0.3
138,139,139,Jason Kokrak,99,73.6,145,197,-0.21
139,140,140,Zecheng Dou,53,73.56,64,87,-0.22
140,T141,T141,Bryson DeChambeau,93,73.47,108,147,-0.31
141,T141,T141,J.B. Holmes,77,73.47,108,147,-0.3
142,143,143,Scott Brown,102,73.1,106,145,-0.31
143,144,144,Tommy Fleetwood,73,73.0,73,100,-0.32
144,145,145,Joel Dahmen,93,72.96,116,159,-0.29
145,146,146,Tom Hoge,101,72.94,124,170,-0.31
146,147,147,Conrad Shindler,60,72.62,61,84,-0.23
147,148,148,Si Woo Kim,108,72.61,114,157,-0.29
148,149,149,Tyrrell Hatton,58,72.5,58,80,-0.28
149,150,150,Scott Stallings,96,72.33,115,159,-0.31
150,T151,T151,Troy Merritt,89,72.3,107,148,-0.4
151,T151,T151,Martin Piller,79,72.3,107,148,-0.32
152,153,153,Talor Gooch,78,72.27,86,119,-0.24
153,154,154,Louis Oosthuizen,62,72.09,62,86,-0.27
154,155,155,"Ted Potter, Jr.",87,71.9,110,153,-0.29
155,156,156,Satoshi Kodaira,51,71.67,43,60,-0.28
156,T157,T157,James Hahn,85,71.43,85,119,-0.13
157,T157,T157,Nate Lashley,51,71.43,55,77,-0.15
158,T157,T157,Chez Reavie,93,71.43,80,112,-0.26
159,160,160,Sam Saunders,80,71.22,99,139,-0.33
160,161,161,Jonathan Byrd,70,70.93,61,86,-0.16
161,162,162,Adam Schenk,86,70.9,95,134,-0.28
162,163,163,Jonathan Randolph,71,70.83,68,96,-0.4
163,164,164,Ryan Palmer,69,70.69,82,116,-0.32
164,165,165,Paul Casey,74,70.67,53,75,-0.23
165,166,166,Bubba Watson,90,70.51,110,156,-0.27
166,167,167,Brett Stegmaier,67,70.48,74,105,-0.28
167,168,168,Rod Pampling,62,70.41,69,98,-0.16
168,169,169,Derek Fathauer,84,70.4,88,125,-0.25
169,170,170,Sung Kang,89,70.37,76,108,-0.22
170,171,171,Tiger Woods,68,70.33,64,91,-0.36
171,172,172,Jon Rahm,71,70.31,90,128,-0.23
172,T173,T173,Jonas Blixt,67,70.0,63,90,-0.19
173,T173,T173,Sean O'Hair,67,70.0,91,130,-0.19
174,175,175,Xinjun Zhang,81,69.81,74,106,-0.19
175,176,176,Greg Chalmers,56,69.62,55,79,-0.25
176,T177,T177,Roberto Díaz,72,69.61,71,102,-0.24
177,T177,T177,Chris Stroud,81,69.61,71,102,-0.34
178,179,179,Jason Dufner,71,68.87,73,106,-0.27
179,180,180,Jamie Lovemark,92,68.55,85,124,-0.31
180,181,181,Jhonattan Vegas,92,68.42,65,95,-0.26
181,182,182,Tom Lovelady,87,68.18,105,154,-0.28
182,183,183,Ben Crane,65,68.09,64,94,-0.28
183,184,184,Grayson Murray,72,68.0,102,150,-0.23
184,185,185,Charley Hoffman,87,67.69,88,130,-0.31
185,186,186,Brandon Harkins,101,67.52,106,157,-0.33
186,187,187,Matt Atkins,56,67.39,62,92,-0.32
187,188,188,Keith Mitchell,99,67.2,125,186,-0.24
188,189,189,Retief Goosen,60,66.67,42,63,-0.26
189,190,190,Trey Mullinax,75,65.91,87,132,-0.2
190,191,191,Daniel Summerhays,51,64.86,48,74,-0.27
191,192,192,Cody Gribble,71,64.76,68,105,-0.22
192,193,193,Charl Schwartzel,65,63.46,33,52,-0.12
