,Approaches_from_200-225_yards_Rgh_RANK THIS WEEK,Approaches_from_200-225_yards_Rgh_RANK LAST WEEK,Approaches_from_200-225_yards_Rgh_PLAYER NAME,Approaches_from_200-225_yards_Rgh_ROUNDS,Approaches_from_200-225_yards_Rgh_AVG,Approaches_from_200-225_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_200-225_yards_Rgh_# OF ATTEMPTS,Approaches_from_200-225_yards_Rgh_RELATIVE TO PAR
0,1,1,Kevin Chappell,77,"40' 9""",407.083,10,+2
1,2,2,Dustin Johnson,77,"43' 10""",657.1669999999999,15,-2
2,3,3,C.T. Pan,104,"44' 9""",715.3330000000001,16,+4
3,4,4,J.B. Holmes,77,"45' 5""",590.5,13,E
4,5,5,Brandon Harkins,101,"49' 1""",1128.417,23,E
5,6,6,Scott Piercy,84,"49' 8""",1093.417,22,-1
6,7,7,"Ted Potter, Jr.",87,"49' 10""",1196.083,24,+6
7,8,8,Ricky Barnes,65,"49' 11""",1247.25,25,-7
8,9,9,Adam Scott,78,"50' 6""",807.9169999999999,16,+5
9,10,10,Xander Schauffele,96,"51' 4""",821.0,16,+5
10,11,11,Lanto Griffin,80,"51' 6""",1132.583,22,-4
11,12,12,Ian Poulter,73,"51' 8""",1033.25,20,+5
12,T13,T13,Matt Atkins,56,"51' 10""",673.75,13,-3
13,T13,T13,Tom Hoge,101,"51' 10""",1450.5829999999999,28,+2
14,15,15,D.A. Points,63,"52' 3""",887.75,17,-2
15,16,16,Pat Perez,82,"52' 4""",836.9169999999999,16,+2
16,17,17,Jordan Spieth,81,"53' 1""",1115.25,21,-6
17,18,18,Brett Stegmaier,67,"53' 3""",532.8330000000001,10,-2
18,19,19,Austin Cook,107,"53' 4""",1120.083,21,+5
19,20,20,Bryson DeChambeau,93,"53' 6""",1283.833,24,-4
20,21,21,Shawn Stefani,76,"53' 7""",1178.417,22,+2
21,22,22,Andrew Yun,51,"53' 9""",645.25,12,+5
22,23,23,Kevin Tway,110,"54' 8""",1639.4170000000001,30,-2
