,Last_5_Events_-_Scoring_RANK THIS WEEK,Last_5_Events_-_Scoring_RANK LAST WEEK,Last_5_Events_-_Scoring_PLAYER NAME,Last_5_Events_-_Scoring_EVENTS,Last_5_Events_-_Scoring_RATING
0,T1,T1,Rich Barcelo,1,9.0
1,T1,T1,Danny Briggs,2,9.0
2,T1,T1,David Howell,1,9.0
3,T1,T1,"Dave Stockton, Jr.",1,9.0
4,T5,T5,Scott Hoch,2,8.9
5,T5,T5,Jesper Parnevik,2,8.9
6,T5,T5,Scott Simpson,1,8.9
7,T5,T5,Vijay Singh,4,8.9
8,T5,T5,Tiger Woods,3,8.9
9,T10,T10,Tim Clark,4,8.8
10,T10,T10,Jason Dufner,1,8.8
11,T10,T10,Dan Forsman,1,8.8
12,T10,T10,Retief Goosen,3,8.8
13,T10,T10,Kevin Na,1,8.8
14,T10,T10,Heath Slocum,1,8.8
15,T16,T16,Jonathan Byrd,3,8.7
16,T16,T16,Brent Geiberger,3,8.7
17,T16,T16,Steve Lowery,1,8.7
18,T16,T16,Carl Pettersson,5,8.7
19,T16,T16,Kirk Triplett,4,8.7
20,T21,T21,Pat Bates,2,8.6
21,T21,T21,Notah Begay III,1,8.6
22,T21,T21,Jeff Brehaut,2,8.6
23,T21,T21,Ángel Cabrera,2,8.6
24,T21,T21,Brian Gay,3,8.6
25,T21,T21,Jay Haas,2,8.6
26,T21,T21,Joe Ogilvie,2,8.6
27,T21,T21,David Toms,5,8.6
28,T21,T21,Lee Westwood,2,8.6
29,T30,T30,Michael Allen,2,8.5
30,T30,T30,Chris Couch,1,8.5
31,T30,T30,Luke Donald,2,8.5
32,T30,T30,Todd Fischer,2,8.5
33,T30,T92,Jim Furyk,1,8.5
34,T30,T30,Matt Gogel,4,8.5
35,T30,T30,Dudley Hart,2,8.5
36,T30,T30,John Huston,2,8.5
37,T30,T30,Neal Lancaster,2,8.5
38,T30,T30,James McLean,1,8.5
39,T30,T30,Loren Roberts,4,8.5
40,T30,T30,Justin Rose,4,8.5
41,T30,T30,Roland Thatcher,2,8.5
42,T30,T30,Camilo Villegas,2,8.5
43,T44,T43,Ben Curtis,2,8.4
44,T44,T43,Sergio Garcia,3,8.4
45,T44,T43,Bill Glasson,1,8.4
46,T44,T43,J.J. Henry,2,8.4
47,T44,T43,Lee Janzen,3,8.4
48,T44,T43,Tom Lehman,5,8.4
49,T44,T43,Wayne Levi,1,8.4
50,T44,T43,Ryan Palmer,4,8.4
51,T44,T43,Pat Perez,4,8.4
52,T44,T43,Tag Ridings,4,8.4
53,T44,T43,Rory Sabbatini,3,8.4
54,T44,T43,Akio Sadakata,1,8.4
55,T44,T43,Chris Smith,3,8.4
56,T44,T43,Paul Stankowski,1,8.4
57,T44,T43,Bo Van Pelt,3,8.4
58,T59,T59,Craig Barlow,2,8.3
59,T59,T59,Doug Barron,1,8.3
60,T59,T59,Tom Byrum,4,8.3
61,T59,T59,Paul Casey,3,8.3
62,T59,T59,Joe Durant,3,8.3
63,T59,T59,Bob Estes,4,8.3
64,T59,T59,Brad Faxon,2,8.3
65,T59,T59,Lucas Glover,3,8.3
66,T59,T59,Jerry Kelly,4,8.3
67,T59,T59,Ryan Moore,1,8.3
68,T59,T59,Geoff Ogilvy,4,8.3
69,T59,T59,Casey Wittenberg,1,8.3
70,T71,T71,Thomas Bjørn,2,8.2
71,T71,T71,Bart Bryant,2,8.2
