,Official_World_Golf_Ranking_RANK THIS WEEK,Official_World_Golf_Ranking_RANK LAST WEEK,Official_World_Golf_Ranking_PLAYER NAME,Official_World_Golf_Ranking_EVENTS,Official_World_Golf_Ranking_AVG POINTS,Official_World_Golf_Ranking_TOTAL POINTS,Official_World_Golf_Ranking_POINTS LOST,Official_World_Golf_Ranking_POINTS GAINED,Official_World_Golf_Ranking_COUNTRY
0,1,1.0,Vijay Singh,60,12.97,777.91,-486.36,707.57,FIJ
1,2,2.0,Tiger Woods,40,11.9,476.02,-509.58,402.52,USA
2,3,3.0,Ernie Els,53,11.12,589.26,-431.26,574.68,RSA
3,4,4.0,Retief Goosen,53,7.74,410.03,-294.07,354.65,RSA
4,5,5.0,Phil Mickelson,48,7.22,346.73,-261.97,413.46,USA
5,6,6.0,Padraig Harrington,50,5.78,289.03,-238.13,268.21,IRL
6,7,7.0,Davis Love III,47,5.61,263.75,-307.61,202.58,USA
7,8,8.0,Mike Weir,44,5.49,241.35,-260.9,201.62,CAN
8,9,9.0,Sergio Garcia,48,5.46,262.3,-166.71,285.37,ESP
9,10,10.0,Stewart Cink,58,4.81,278.8,-130.9,285.04,USA
10,11,11.0,Adam Scott,52,4.69,244.01,-178.78,243.33,AUS
11,12,12.0,Miguel Angel Jiménez,51,4.4,224.5,-82.56,231.07,ESP
12,13,13.0,Stuart Appleby,57,4.29,244.81,-206.17,220.41,AUS
13,14,14.0,Darren Clarke,58,4.26,247.32,-193.77,202.45,NIR
14,15,15.0,Chris DiMarco,54,3.96,213.74,-173.42,217.18,USA
15,16,16.0,Todd Hamilton,51,3.77,192.03,-79.94,204.94,USA
16,17,20.0,Stephen Ames,54,3.71,200.36,-90.93,219.84,CAN
17,18,19.0,Chad Campbell,56,3.7,207.36,-187.39,156.48,USA
18,19,18.0,Kenny Perry,49,3.68,180.2,-211.11,122.23,USA
19,20,21.0,David Toms,50,3.57,178.72,-220.75,129.85,USA
20,21,17.0,Jim Furyk,41,3.52,144.26,-251.67,41.94,USA
21,22,22.0,Scott Verplank,50,3.52,175.82,-139.21,155.2,USA
22,23,23.0,Lee Westwood,57,3.35,191.05,-78.82,153.86,ENG
23,24,24.0,K.J. Choi,65,3.28,213.08,-176.46,179.44,KOR
24,25,25.0,Thomas Bjørn,50,3.27,163.6,-129.94,127.94,DEN
25,26,26.0,Jay Haas,48,3.25,155.84,-124.13,138.67,USA
26,27,27.0,Shigeki Maruyama,55,3.11,171.09,-131.17,168.74,JPN
27,28,28.0,Luke Donald,56,3.06,171.39,-82.94,188.92,ENG
28,29,30.0,Paul Casey,50,3.02,150.77,-133.09,123.5,ENG
29,30,31.0,Ángel Cabrera,42,3.0,126.03,-98.22,132.62,ARG
30,31,29.0,Fred Couples,40,2.99,119.43,-97.57,108.75,USA
31,32,32.0,Robert Allenby,58,2.89,167.66,-170.6,125.24,AUS
32,33,33.0,Jerry Kelly,59,2.89,170.26,-156.63,159.11,USA
33,34,34.0,Rory Sabbatini,53,2.78,147.21,-96.21,151.41,RSA
34,35,36.0,Ian Poulter,60,2.72,162.93,-109.27,136.48,ENG
35,36,38.0,Peter Lonard,63,2.71,170.62,-146.8,125.6,AUS
36,37,39.0,Steve Flesch,65,2.7,175.5,-136.14,171.0,USA
