,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
0,1,1,Stewart Cink,6,147.5
1,2,2,Tiger Woods,4,140.0
2,3,3,Ryan Palmer,10,120.0
3,4,4,Tom Lehman,5,117.5
4,5,5,Fred Funk,8,110.0
5,6,6,Woody Austin,8,90.0
6,7,7,Hunter Mahan,9,87.5
7,8,8,David Toms,7,76.667
8,9,9,Vaughn Taylor,8,75.833
9,T10,T10,Bart Bryant,9,75.0
10,T10,T10,Brent Geiberger,10,75.0
11,12,12,Zach Johnson,8,72.5
12,13,13,Jerry Kelly,9,63.75
13,14,14,Tom Pernice Jr.,8,55.0
14,T15,T15,Chris DiMarco,6,52.5
15,T15,T15,J.J. Henry,9,52.5
16,17,17,Kirk Triplett,6,50.0
17,18,18,Michael Allen,9,48.0
18,19,19,Joe Ogilvie,8,46.75
19,T20,T20,Jonathan Byrd,8,45.0
20,T20,T20,Tim Herron,6,45.0
21,T20,T20,Patrick Sheehan,8,45.0
22,T23,T23,Tommy Armour III,8,42.5
23,T23,T23,Briny Baird,7,42.5
24,25,25,Todd Fischer,9,41.25
25,T26,T26,Harrison Frazar,6,40.0
26,T26,T26,Scott McCarron,6,40.0
27,T26,T26,Tag Ridings,9,40.0
28,T26,T26,Chris Smith,10,40.0
29,30,30,Dean Wilson,11,37.5
30,31,31,Joe Durant,6,35.0
31,T32,T32,Cameron Beckman,10,32.5
32,T32,T32,Glen Day,11,32.5
33,T32,T32,Davis Love III,6,32.5
34,T32,T32,Kevin Na,9,32.5
35,T32,T32,Pat Perez,9,32.5
36,T32,T32,Loren Roberts,5,32.5
37,T32,T32,John Rollins,8,32.5
38,T32,T32,Joey Sindelar,9,32.5
39,40,40,Dicky Pride,9,27.5
40,T41,T41,Roland Thatcher,9,25.0
41,T41,T41,Mark Wilson,8,25.0
42,T43,T43,Matt Gogel,6,23.75
43,T43,T43,Ted Purdy,11,23.75
44,45,45,Hank Kuehne,9,22.5
45,T46,T46,Jason Bohn,9,20.0
46,T46,T46,Todd Hamilton,4,20.0
47,T46,T46,Corey Pavin,7,20.0
48,T46,T46,Bob Tway,6,20.0
49,T50,T50,Mark Calcavecchia,8,17.5
50,T50,T50,Jay Haas,5,17.5
51,T50,T50,Scott Verplank,6,17.5
52,T50,T50,Duffy Waldorf,7,17.5
53,T54,T54,Robert Damron,8,15.0
54,T54,T54,Jay Williamson,9,15.0
55,T56,T56,Danny Ellis,9,12.5
56,T56,T56,Lee Janzen,7,12.5
57,T56,T56,Tim Petrovic,9,12.5
58,T59,T59,Spike McRoy,10,10.0
59,T59,T59,Kenny Perry,4,10.0
60,61,61,Charles Howell III,8,8.0
61,62,62,Frank Lickliter II,7,7.5
62,T63,T63,Brad Faxon,8,5.0
63,T63,T63,Bill Haas,4,5.0
64,T65,T65,Jeff Brehaut,11,3.75
65,T65,T65,Tom Byrum,5,3.75
66,T65,T65,Ben Crane,8,3.75
67,T65,T65,Jason Dufner,10,3.75
68,T65,T65,Jeff Sluman,6,3.75
69,T65,T65,Kevin Sutherland,7,3.75
70,T71,T71,Ken Duke,10,3.0
71,T71,T71,Dennis Paulson,5,3.0
72,T73,T73,Pat Bates,9,1.25
73,T73,T73,Chris Couch,9,1.25
74,T73,T73,Justin Leonard,6,1.25
75,T73,T73,J.L. Lewis,9,1.25
76,T73,T73,Scott Simpson,6,1.25
77,T73,T73,Heath Slocum,8,1.25
78,T79,T79,Lucas Glover,10,0.833
79,T79,T79,John Huston,4,0.833
80,T79,T79,Neal Lancaster,9,0.833
