,Last_15_Events_-_Accuracy_RANK THIS WEEK,Last_15_Events_-_Accuracy_RANK LAST WEEK,Last_15_Events_-_Accuracy_PLAYER NAME,Last_15_Events_-_Accuracy_EVENTS,Last_15_Events_-_Accuracy_RATING
0,1,1,Adam Meyer,1,8.5
1,T2,T2,Hiroyuki Fujita,1,8.4
2,T2,T2,Wayne Levi,1,8.4
3,T2,T2,Ryan Moore,1,8.4
4,T2,T2,John Morse,1,8.4
5,T6,T6,Heath Slocum,5,8.2
6,T6,T6,Boyd Summerhays,1,8.2
7,T8,T8,Jim Furyk,7,8.1
8,T8,T8,Brian Harman,1,8.1
9,T8,T8,David Toms,9,8.1
10,T11,T11,Robin Freeman,1,8.0
11,T11,T11,Duffy Waldorf,6,8.0
12,T11,T11,Mark Wiebe,2,8.0
13,T14,T14,Craig Bowden,4,7.9
14,T14,T14,Tim Clark,9,7.9
15,T14,T14,Joe Durant,8,7.9
16,T14,T14,David Edwards,9,7.9
17,T14,T14,Carl Paulson,2,7.9
18,T14,T14,Scott Verplank,11,7.9
19,T20,T20,Olin Browne,8,7.8
20,T20,T20,Joel Edwards,5,7.8
21,T20,T20,Fred Funk,10,7.8
22,T20,T20,Tom Lehman,11,7.8
23,T24,T24,Robert Allenby,10,7.7
24,T24,T24,Bart Bryant,8,7.7
25,T24,T24,Nick Flanagan,1,7.7
26,T24,T24,Scott Hoch,8,7.7
27,T24,T24,Justin Leonard,8,7.7
28,T24,T24,Casey Martin,1,7.7
29,T24,T24,Justin Rose,10,7.7
30,T31,T31,Sergio Garcia,10,7.6
31,T31,T31,Richard Green,1,7.6
32,T31,T31,John Huston,6,7.6
33,T31,T31,Lee Janzen,8,7.6
34,T31,T31,Loren Roberts,10,7.6
35,T36,T31,Stephen Ames,7,7.5
36,T36,T37,Aaron Barber,6,7.5
37,T36,T37,Jim Benepe,2,7.5
38,T36,T37,Russ Cochran,2,7.5
39,T36,T37,Bob Estes,9,7.5
40,T36,T37,Robert Gamez,10,7.5
41,T36,T37,Zach Johnson,9,7.5
42,T36,T37,Pat Perez,9,7.5
43,T36,T37,Kenny Perry,10,7.5
44,T36,T37,Vaughn Taylor,10,7.5
45,T46,T46,Danny Briggs,7,7.4
46,T46,T46,Tom Byrum,11,7.4
47,T46,T46,John Cook,8,7.4
48,T46,T46,Luke Donald,9,7.4
49,T46,T58,Jay Haas,6,7.4
50,T46,T46,Mark Hensby,9,7.4
51,T46,T46,Miguel Angel Jiménez,3,7.4
52,T46,T46,Jerry Kelly,11,7.4
53,T46,T46,Blaine McCallister,1,7.4
54,T46,T46,Spike McRoy,5,7.4
55,T46,T46,Phillip Price,4,7.4
56,T46,T46,Hidemichi Tanaka,8,7.4
57,T46,T46,Stan Utley,3,7.4
58,T59,T58,Billy Andrade,12,7.3
59,T59,T58,Briny Baird,8,7.3
60,T59,T58,Thomas Bjørn,6,7.3
61,T59,T58,David Branshaw,6,7.3
62,T59,T58,Bill Glasson,6,7.3
63,T59,T58,Donnie Hammond,4,7.3
64,T59,T58,Padraig Harrington,7,7.3
65,T59,T58,Billy Mayfair,9,7.3
66,T59,T58,Arron Oberholser,7,7.3
67,T59,T58,Joey Sindelar,10,7.3
68,T59,T58,Vijay Singh,11,7.3
69,T59,T58,Jeff Sluman,12,7.3
70,T59,T58,Brandt Snedeker,3,7.3
71,T59,T58,Omar Uresti,8,7.3
72,T73,T73,Alex Cejka,6,7.2
73,T73,T73,K.J. Choi,8,7.2
74,T73,T73,Robert Damron,11,7.2
75,T73,T73,Ernie Els,9,7.2
76,T73,T73,Matt Gogel,11,7.2
77,T73,T73,Retief Goosen,8,7.2
78,T73,T73,Dudley Hart,5,7.2
79,T73,T73,David Howell,1,7.2
