,Last_5_Events_-_Power_RANK THIS WEEK,Last_5_Events_-_Power_RANK LAST WEEK,Last_5_Events_-_Power_PLAYER NAME,Last_5_Events_-_Power_EVENTS,Last_5_Events_-_Power_RATING
0,1,1,Chris Smith,3,10.0
1,2,2,Ángel Cabrera,2,9.9
2,T3,T3,Matt Hendrix,1,9.8
3,T3,T3,Dan Olsen,1,9.8
4,T5,T5,Chris Couch,1,9.7
5,T5,T5,John Daly,1,9.7
6,T5,T5,Scott Hend,1,9.7
7,T5,T5,Brenden Pappas,4,9.7
8,T5,T5,Vijay Singh,4,9.7
9,T5,T5,Camilo Villegas,2,9.7
10,11,11,Hank Kuehne,2,9.6
11,12,12,Tag Ridings,4,9.5
12,13,13,Lucas Glover,3,9.4
13,T14,T14,Ernie Els,3,9.3
14,T14,T14,Brent Schwarzrock,1,9.3
15,T16,T16,Tom Carter,3,9.2
16,T16,T16,Harrison Frazar,4,9.2
17,T16,T16,Ricardo Gonzalez,1,9.2
18,T16,T19,Kenny Perry,3,9.2
19,T20,T19,Jonathan Byrd,3,9.1
20,T20,T19,Mike Standly,1,9.1
21,22,T22,J.J. Henry,2,9.0
22,T23,T24,Sergio Garcia,3,8.9
23,T23,T24,Geoff Ogilvy,4,8.9
24,T23,T24,Charles Warren,1,8.9
25,T26,T27,Steve Allan,4,8.8
26,T26,T27,Craig Barlow,2,8.8
27,T26,T27,Bill Haas,3,8.8
28,T26,T27,Mike Heinen,3,8.8
29,T26,T27,Chris Stroud,1,8.8
30,T31,T33,Steve Friesen,1,8.7
31,T31,T33,Retief Goosen,3,8.7
32,T31,T33,Charley Hoffman,1,8.7
33,T34,T36,Hunter Mahan,3,8.6
34,T34,T36,James McLean,1,8.6
35,T34,T22,Tiger Woods,3,8.6
36,37,39,Edward Loar,1,8.5
37,T38,T40,John Huston,2,8.4
38,T38,T40,Frank Lickliter II,3,8.4
39,T38,T40,Brett Quigley,2,8.4
40,T38,T40,Adam Scott,4,8.4
41,T38,T40,Andre Stolz,4,8.4
42,T38,T40,Roger Tambellini,2,8.4
43,T38,T40,Roland Thatcher,2,8.4
44,T45,T47,Marco Dawson,2,8.3
45,T45,T47,Rod Pampling,5,8.3
46,T45,T47,Phil Tataurangi,1,8.3
47,T48,T50,Woody Austin,3,8.2
48,T48,T50,Phil Mickelson,3,8.2
49,T48,T50,Ted Purdy,2,8.2
50,T48,T50,Justin Rose,4,8.2
51,T48,T50,Kevin Stadler,3,8.2
52,T53,T55,Kevin Durkin,2,8.1
53,T53,T55,Bo Van Pelt,3,8.1
