,Last_15_Events_-_Scoring_RANK THIS WEEK,Last_15_Events_-_Scoring_RANK LAST WEEK,Last_15_Events_-_Scoring_PLAYER NAME,Last_15_Events_-_Scoring_EVENTS,Last_15_Events_-_Scoring_RATING
0,1,1,Robin Freeman,1,9.3
1,2,2,David Howell,1,9.0
2,2,2,"Dave Stockton, Jr.",1,9.0
3,2,2,Boyd Summerhays,1,9.0
4,2,5,Tiger Woods,9,9.0
5,6,6,Vijay Singh,11,8.8
6,7,7,Ernie Els,9,8.7
7,7,7,Retief Goosen,8,8.7
8,7,7,Rory Sabbatini,9,8.7
9,7,7,David Toms,9,8.7
10,11,11,Stewart Cink,8,8.6
11,11,11,Bo Van Pelt,7,8.6
12,11,11,Casey Wittenberg,2,8.6
13,14,14,Ricky Barnes,3,8.5
14,14,14,Ángel Cabrera,5,8.5
15,14,14,Scott Hoch,8,8.5
16,14,14,James McLean,1,8.5
17,14,14,Justin Rose,10,8.5
18,14,14,Adam Scott,8,8.5
19,14,14,Duffy Waldorf,6,8.5
20,21,21,Paul Casey,5,8.4
21,21,21,Tim Clark,9,8.4
22,21,21,Darren Clarke,6,8.4
23,21,21,Luke Donald,9,8.4
24,21,21,Jim Furyk,7,8.4
25,21,21,Jerry Kelly,11,8.4
26,21,21,Wayne Levi,1,8.4
27,21,21,Scott McCarron,9,8.4
28,21,21,Carl Paulson,2,8.4
29,21,21,Carl Pettersson,11,8.4
30,21,21,Loren Roberts,10,8.4
31,21,21,Akio Sadakata,1,8.4
32,33,33,Craig Barlow,7,8.3
33,33,33,Doug Barron,1,8.3
34,33,33,Bart Bryant,8,8.3
35,33,33,Jonathan Byrd,10,8.3
36,33,33,Marco Dawson,6,8.3
37,33,33,Chris DiMarco,9,8.3
38,33,33,Jason Dufner,8,8.3
39,33,33,Brad Faxon,8,8.3
40,33,33,Sergio Garcia,10,8.3
41,33,33,Brian Gay,8,8.3
42,33,33,Matt Gogel,11,8.3
43,33,33,Jay Haas,6,8.3
44,33,33,Padraig Harrington,7,8.3
45,33,33,Mark Hensby,9,8.3
46,33,33,John Huston,6,8.3
47,33,33,Zach Johnson,9,8.3
48,33,33,Davis Love III,7,8.3
49,33,33,Shigeki Maruyama,10,8.3
50,33,33,Ryan Moore,1,8.3
51,33,33,Joe Ogilvie,6,8.3
52,33,33,Hidemichi Tanaka,8,8.3
53,33,33,Vaughn Taylor,10,8.3
54,33,33,Kirk Triplett,10,8.3
55,33,33,Scott Verplank,11,8.3
56,57,58,Michael Allen,7,8.2
57,57,58,Robert Allenby,10,8.2
58,57,33,Stephen Ames,7,8.2
59,57,58,Stuart Appleby,8,8.2
60,57,58,Aaron Barber,6,8.2
61,57,58,Tom Byrum,11,8.2
62,57,58,Daniel Chopra,10,8.2
63,57,58,Ben Curtis,6,8.2
64,57,58,Todd Fischer,10,8.2
65,57,58,Brent Geiberger,9,8.2
66,57,58,Dudley Hart,5,8.2
67,57,58,Charley Hoffman,1,8.2
68,57,58,Lee Janzen,8,8.2
69,57,58,Brandt Jobe,10,8.2
70,57,58,Richard Johnson,11,8.2
71,57,58,Hank Kuehne,8,8.2
72,57,58,Steve Lowery,7,8.2
73,57,58,John Maginnes,2,8.2
74,57,58,Phil Mickelson,8,8.2
75,57,58,Geoff Ogilvy,10,8.2
76,57,58,Jesper Parnevik,9,8.2
77,57,58,Dennis Paulson,9,8.2
78,57,58,Tom Pernice Jr.,9,8.2
79,57,58,Kenny Perry,10,8.2
80,57,58,John Senden,9,8.2
81,57,58,Patrick Sheehan,10,8.2
82,57,58,Chris Smith,8,8.2
83,57,58,Paul Stankowski,6,8.2
84,57,58,Tim Thelen,1,8.2
85,86,86,Rich Barcelo,5,8.1
86,86,86,Thomas Bjørn,6,8.1
87,86,86,Jason Bohn,11,8.1
88,86,86,Michael Bradley,4,8.1
89,86,86,Danny Briggs,7,8.1
90,86,118,Fred Couples,7,8.1
91,86,86,Glen Day,7,8.1
92,86,86,Jay Delsing,5,8.1
93,86,86,Joe Durant,8,8.1
94,86,86,David Duval,3,8.1
95,86,86,Harrison Frazar,10,8.1
96,86,86,Fred Funk,10,8.1
97,86,86,Bill Glasson,6,8.1
98,86,86,Lucas Glover,9,8.1
99,86,86,J.J. Henry,10,8.1
100,86,86,Tim Herron,9,8.1
101,86,86,Neal Lancaster,8,8.1
102,86,86,Tom Lehman,11,8.1
103,86,86,Brock Mackenzie,1,8.1
104,86,86,Hunter Mahan,9,8.1
105,86,86,Blaine McCallister,1,8.1
106,86,86,John Morgan,4,8.1
107,86,86,Arron Oberholser,7,8.1
108,86,86,Corey Pavin,10,8.1
109,86,86,Tim Petrovic,8,8.1
110,86,86,Brett Quigley,6,8.1
111,86,86,Tag Ridings,6,8.1
112,86,86,"Wes Short, Jr.",4,8.1
113,86,86,Heath Slocum,5,8.1
114,86,86,Jeff Sluman,12,8.1
115,86,86,Mike Small,2,8.1
116,86,86,Lee Westwood,6,8.1
117,86,86,Dean Wilson,8,8.1
