,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
0,1,1,Phil Mickelson,5784823
1,2,2,Tiger Woods,5365472
2,3,3,Stewart Cink,4450270
3,4,4,Davis Love III,3075092
4,5,5,Todd Hamilton,3063778
5,6,6,Chris DiMarco,2971842
6,7,7,Jerry Kelly,2496222
7,8,8,Steve Flesch,2461787
8,9,9,Zach Johnson,2417685
9,10,10,Scott Verplank,2365592
10,11,11,John Daly,2359507
11,12,12,David Toms,2357531
12,13,13,Chad Campbell,2264985
13,14,14,Fred Funk,2103731
14,15,15,Jay Haas,2071626
15,16,16,Kenny Perry,1952043
16,17,17,Tim Herron,1727577
17,18,18,Charles Howell III,1703485
18,19,19,Jonathan Kaye,1695332
19,20,20,Ted Purdy,1636876
20,21,21,Ryan Palmer,1592344
21,22,22,Kirk Triplett,1566426
22,23,23,Bo Van Pelt,1553825
23,24,24,Joey Sindelar,1536881
24,25,25,Justin Leonard,1531023
25,26,26,Jeff Maggert,1527884
26,27,27,Woody Austin,1495980
27,28,28,Duffy Waldorf,1487912
28,29,29,Tom Pernice Jr.,1475274
29,30,30,Harrison Frazar,1446764
30,31,31,Joe Ogilvie,1443363
31,32,32,Fred Couples,1396109
32,33,33,Arron Oberholser,1355433
33,34,34,Tom Lehman,1343277
34,35,35,Chris Riley,1292732
35,36,36,Brent Geiberger,1259779
36,37,37,Frank Lickliter II,1259234
37,38,38,Scott Hoch,1239360
38,39,39,Patrick Sheehan,1234344
39,40,40,Skip Kendall,1206438
40,41,41,Tim Petrovic,1193354
41,42,42,Steve Lowery,1191245
42,43,43,Vaughn Taylor,1176434
43,44,44,Briny Baird,1156517
44,45,45,Jonathan Byrd,1133165
45,46,46,Heath Slocum,1066837
46,47,47,Bob Estes,1046064
47,48,48,Ben Crane,1036958
48,49,49,Brad Faxon,1016898
49,50,50,Jeff Sluman,1007635
50,51,51,Loren Roberts,998677
51,52,52,Bob Tway,966553
52,53,53,Bart Bryant,962167
53,54,54,Joe Durant,952547
54,55,55,Shaun Micheel,949919
55,56,56,Robert Damron,933388
56,57,57,Kevin Sutherland,928760
57,58,58,Brian Bateman,919255
58,59,59,Kevin Na,901158
59,60,60,Michael Allen,882872
60,61,61,Corey Pavin,881938
61,62,62,John Huston,874280
62,63,63,Tom Byrum,873139
63,64,64,Dudley Hart,854638
64,65,65,J.J. Henry,848823
65,66,66,Todd Fischer,847996
66,67,67,Tommy Armour III,844634
67,68,68,Lee Janzen,837482
68,69,69,Brett Quigley,836380
69,70,70,Matt Gogel,817117
70,71,71,Hank Kuehne,816889
71,72,72,Hunter Mahan,813089
72,73,73,J.L. Lewis,807345
73,74,74,Scott McCarron,790720
74,75,75,Cameron Beckman,779189
75,76,76,John Rollins,737957
76,77,77,Robert Gamez,725368
77,78,78,Pat Perez,723724
78,79,79,Mark Calcavecchia,717876
79,80,80,Neal Lancaster,701239
80,81,81,Chris Smith,692785
81,82,82,Jim Furyk,691675
82,83,83,Dennis Paulson,677035
83,84,84,Kent Jones,674909
84,85,85,Jay Williamson,660038
85,86,86,Brian Gay,645194
86,87,87,Billy Andrade,631143
87,88,88,Tag Ridings,623262
88,89,89,Paul Azinger,601438
89,90,90,Olin Browne,597034
90,91,91,Craig Barlow,595820
91,92,92,Notah Begay III,583537
92,93,93,Bob Burns,581421
93,94,94,Jason Bohn,567930
94,95,95,Dean Wilson,561340
95,96,96,Lucas Glover,557454
96,97,97,Mark O'Meara,543866
97,98,98,Glen Day,519935
98,99,99,Matt Kuchar,509257
99,100,100,Billy Mayfair,503251
100,101,101,Ben Curtis,500818
101,102,102,Craig Bowden,494568
102,103,103,Danny Ellis,490413
103,104,104,David Peoples,479464
104,105,105,Jeff Brehaut,448914
105,106,106,Paul Stankowski,442872
106,107,107,Steve Stricker,440906
107,108,108,John Riegger,423263
108,109,109,Danny Briggs,397606
109,110,110,Tom Carter,395780
110,111,111,Spike McRoy,374187
111,112,112,D.J. Brigman,356943
112,113,113,Bill Glasson,346030
113,114,114,Omar Uresti,345797
114,115,115,Jason Dufner,317770
115,116,116,Dan Forsman,315540
116,117,117,Ken Duke,301309
117,118,118,Mark Wilson,300317
118,119,119,Pat Bates,299384
119,120,120,David Branshaw,293617
120,121,121,Gene Sauers,287151
121,122,122,Joel Kribel,276862
122,123,123,Mark Brooks,264076
123,124,124,J.P. Hayes,260816
124,125,125,Cliff Kresge,258062
125,126,126,Rocco Mediate,257692
126,127,127,Roland Thatcher,247987
127,128,128,Brandt Jobe,247911
128,129,129,Roger Tambellini,234164
129,130,130,Peter Jacobsen,232851
130,131,131,Rich Beem,230499
131,132,132,Dicky Pride,230329
132,133,133,Aaron Barber,229915
133,134,134,Rich Barcelo,223597
134,135,135,David Sutherland,216419
135,136,136,Len Mattiace,213707
136,137,137,John Cook,210448
137,138,138,Kris Cox,205171
138,139,139,Steve Pate,199569
139,140,140,Scott Simpson,190986
140,141,141,Jay Delsing,190184
141,142,142,Russ Cochran,185108
142,143,143,Mike Heinen,166185
143,144,144,Garrett Willis,165210
144,145,145,Blaine McCallister,162700
145,146,146,Brian Kortan,159939
146,147,147,Tommy Tolles,151852
147,148,148,Robin Freeman,144000
148,149,149,Craig Stadler,137475
149,150,150,Larry Mize,136020
150,151,151,Dan Olsen,135731
151,152,152,Guy Boros,130783
152,153,153,David Edwards,123681
153,154,154,David Duval,121044
154,155,155,Jim Carter,111105
155,156,156,Michael Bradley,106336
