,All-Around_Ranking_RANK THIS WEEK,All-Around_Ranking_RANK LAST WEEK,All-Around_Ranking_PLAYER NAME,All-Around_Ranking_EVENTS,All-Around_Ranking_TOTAL
0,1,1,Geoff Ogilvy,26,271
1,2,2,Vijay Singh,29,285
2,3,3,Phil Mickelson,22,297
3,4,4,John Daly,22,359
4,5,5,Stephen Ames,27,372
5,6,6,Retief Goosen,16,375
6,7,7,Harrison Frazar,25,378
7,8,8,Tiger Woods,19,425
8,9,9,Tom Lehman,19,427
9,10,10,David Toms,24,428
10,11,11,John Senden,28,440
11,12,12,Ted Purdy,35,441
12,13,13,Stewart Cink,28,442
13,14,14,Ernie Els,16,449
14,15,15,Carl Pettersson,28,458
15,16,16,Vaughn Taylor,27,462
16,17,17,Rod Pampling,26,467
17,18,18,Craig Barlow,25,476
18,19,19,Davis Love III,24,479
19,20,20,Kirk Triplett,24,496
20,21,21,Mark Hensby,29,498
21,22,22,Cameron Beckman,30,502
22,23,23,Kenny Perry,23,503
23,24,24,Sergio Garcia,18,513
24,25,25,Jerry Kelly,29,515
25,26,26,Brian Bateman,24,523
26,T27,T27,Stuart Appleby,25,524
27,T27,T27,Zach Johnson,30,524
28,29,29,Jay Haas,23,527
29,30,30,Loren Roberts,22,529
30,31,31,Duffy Waldorf,26,530
31,32,32,Scott Verplank,24,531
32,33,33,Bo Van Pelt,30,532
33,34,34,Mike Weir,22,533
34,T35,T35,Ryan Palmer,33,538
35,T35,T35,Justin Rose,22,538
36,37,37,Adam Scott,16,548
37,38,38,Mark Calcavecchia,24,552
38,39,39,Daniel Chopra,33,557
39,40,40,Chris DiMarco,27,561
40,41,41,Jesper Parnevik,24,577
41,42,42,Lee Janzen,25,580
42,43,43,Jonathan Byrd,27,584
43,44,44,Darren Clarke,16,593
44,45,45,Lucas Glover,30,603
45,T46,T46,Matt Gogel,25,614
46,T46,T46,Tom Pernice Jr.,31,614
47,48,48,Corey Pavin,23,616
48,49,49,Kent Jones,32,617
49,50,50,Tim Clark,26,622
50,51,51,J.L. Lewis,32,624
51,52,52,Woody Austin,29,625
52,53,53,Arron Oberholser,23,627
53,54,54,Fred Funk,29,630
54,55,55,Fred Couples,16,631
55,56,56,Ben Crane,27,632
56,57,57,Scott Hoch,17,636
57,58,58,Steve Flesch,31,637
58,59,59,Hank Kuehne,30,642
59,60,60,Pat Perez,32,651
60,61,61,Joe Durant,26,652
61,T62,T62,Scott McCarron,27,654
62,T62,T62,Nick Price,15,654
63,64,64,Jeff Maggert,20,656
64,65,65,Justin Leonard,25,658
65,66,66,Dennis Paulson,21,661
66,67,67,Jay Williamson,33,665
67,68,68,Freddie Jacobson,24,668
68,69,69,Danny Ellis,26,679
69,70,70,Luke Donald,21,680
70,71,71,José Coceres,20,685
71,72,72,Robert Allenby,26,686
72,T73,T73,Robert Gamez,31,689
73,T73,T73,Frank Lickliter II,27,689
74,75,75,Bart Bryant,23,690
75,76,76,John Huston,20,691
76,T77,T77,Jason Bohn,29,696
77,T77,T77,Brent Geiberger,31,696
78,79,79,Jason Dufner,28,699
79,80,80,Briny Baird,30,700
80,81,81,Richard Johnson,32,703
81,82,82,Brenden Pappas,34,704
82,83,83,Neal Lancaster,33,705
83,84,84,Greg Chalmers,22,707
84,85,85,Olin Browne,30,709
85,86,86,Carlos Franco,27,720
