,PGA_Championship_Points_RANK THIS WEEK,PGA_Championship_Points_RANK LAST WEEK,PGA_Championship_Points_PLAYER NAME,PGA_Championship_Points_EVENTS,PGA_Championship_Points_POINTS
0,1,1,Vijay Singh,8,5091600
1,2,2,Stewart Cink,8,2245745
2,3,3,Tiger Woods,5,1842214
3,4,4,Ernie Els,5,1691950
4,5,5,Chris DiMarco,8,1342248
5,6,6,Retief Goosen,3,1338250
6,7,7,Ryan Palmer,11,1218066
7,8,8,Rod Pampling,9,1164170
8,9,9,Brent Geiberger,11,1030772
9,10,10,David Toms,9,1016270
10,11,11,Fred Funk,9,962836
11,12,12,Jerry Kelly,10,947773
12,13,13,Woody Austin,9,929263
13,14,14,Zach Johnson,10,918718
14,15,15,Tom Lehman,6,885479
15,16,16,Justin Leonard,8,871483
16,17,17,Rory Sabbatini,6,795920
17,18,18,Mike Weir,6,788572
18,19,19,Adam Scott,5,781600
19,20,20,Andre Stolz,8,767860
20,21,21,Tom Pernice Jr.,10,761259
21,22,22,Bart Bryant,10,745750
22,23,23,Alex Cejka,6,733265
23,24,24,Mark Hensby,10,726375
24,25,25,Jesper Parnevik,9,726312
25,26,26,Vaughn Taylor,9,716844
26,27,27,Thomas Bjørn,1,675000
27,28,28,Darren Clarke,4,629550
28,29,29,Hunter Mahan,9,620421
29,30,30,Carl Pettersson,8,617175
30,31,31,Michael Allen,10,606047
31,32,32,Jay Haas,7,603938
32,33,33,Joe Ogilvie,10,569635
33,34,34,Duffy Waldorf,9,567867
34,35,35,Robert Allenby,9,563858
35,36,36,Stephen Ames,8,553527
36,37,37,Tag Ridings,10,541608
37,38,38,Tim Herron,7,539164
38,39,39,Tim Clark,10,536159
39,40,40,Shigeki Maruyama,7,526210
40,41,41,Brad Faxon,10,519045
41,42,42,Tommy Armour III,9,516650
42,43,43,Sergio Garcia,4,511133
43,44,44,Todd Hamilton,6,503832
44,45,45,Stuart Appleby,8,496748
45,46,46,K.J. Choi,6,496500
46,47,47,Briny Baird,9,484761
47,48,48,Patrick Sheehan,10,477886
48,49,49,Tim Petrovic,11,463082
49,50,50,Kirk Triplett,8,455880
50,51,51,Matt Gogel,8,455467
51,52,52,Scott Verplank,7,436765
52,53,53,Bob Tway,8,430964
53,54,54,Davis Love III,8,427500
54,55,55,John Rollins,9,420310
55,56,56,Cameron Beckman,11,413098
56,57,57,Justin Rose,10,412784
57,58,58,Dean Wilson,11,410820
58,59,59,Harrison Frazar,8,403287
59,60,60,Chris Smith,10,402263
60,61,61,Todd Fischer,10,392424
61,62,62,Chris Riley,6,389213
62,63,63,Daniel Chopra,11,372072
63,64,64,Pat Perez,10,371992
64,65,65,Charles Howell III,10,371709
65,66,66,Ben Crane,9,371126
66,67,67,Arjun Atwal,11,369001
67,68,68,Jonathan Byrd,10,366412
68,69,69,Phil Mickelson,6,361535
69,70,70,Kenny Perry,5,349940
70,71,71,Corey Pavin,8,349647
71,72,72,Loren Roberts,6,340412
72,73,73,Steve Allan,10,328468
73,74,74,Kevin Na,10,328335
74,75,75,Ted Purdy,13,323822
75,76,76,Jay Williamson,10,321424
76,77,77,J.J. Henry,9,320251
77,78,78,Joey Sindelar,11,319412
78,79,79,Hank Kuehne,10,316344
79,80,80,Carlos Franco,9,308071
80,81,81,Scott McCarron,8,306750
81,82,82,Richard Johnson,11,305125
82,83,83,Joe Durant,7,299853
83,84,84,Jason Bohn,10,299445
84,85,85,José María Olazábal,7,286431
85,86,86,Robert Damron,8,273111
86,87,87,Steve Flesch,10,269377
87,88,88,Lee Janzen,8,266416
88,89,89,J.L. Lewis,10,265043
89,90,90,Kent Jones,11,256118
90,91,91,John Daly,7,251500
91,92,92,Kevin Sutherland,9,243575
92,93,93,Geoff Ogilvy,7,242714
93,94,94,Jeff Sluman,7,240090
94,95,95,Glen Day,12,239138
95,96,96,Bill Haas,5,238894
96,97,97,Luke Donald,4,238548
97,98,98,Billy Andrade,10,234466
98,99,99,Lucas Glover,11,230080
99,100,100,Bob Estes,6,228051
100,101,101,David Frost,10,227860
101,102,102,Jim Furyk,8,227375
102,103,103,Frank Lickliter II,9,227279
103,104,104,Chad Campbell,8,225565
104,105,105,Jeff Brehaut,12,222563
105,106,106,Bernhard Langer,5,220600
106,107,107,Spike McRoy,11,219520
107,108,108,Freddie Jacobson,9,218268
108,109,109,Roland Thatcher,9,211075
109,110,110,Mark Wilson,8,210351
110,111,111,Bo Van Pelt,10,210156
111,112,112,Arron Oberholser,9,206471
112,113,113,Tom Byrum,6,205588
113,114,114,Danny Ellis,10,199867
114,115,115,José Coceres,9,196637
115,116,116,Paul McGinley,3,196000
116,117,117,Dicky Pride,10,195019
117,118,118,Mark Calcavecchia,9,188212
118,119,119,Neal Lancaster,10,186068
119,120,120,Dennis Paulson,5,178380
120,121,121,Tom Carter,12,175801
121,122,122,Skip Kendall,8,174391
122,123,123,Billy Mayfair,10,173221
123,124,124,Olin Browne,10,169824
124,125,125,John Senden,8,168269
125,126,126,Hidemichi Tanaka,8,167925
126,127,127,Brian Gay,12,158117
127,128,128,Greg Chalmers,9,156752
128,129,129,Matt Kuchar,10,155210
129,130,130,Shaun Micheel,9,155045
130,131,131,Craig Barlow,9,154861
131,132,132,Omar Uresti,8,152969
132,133,133,Padraig Harrington,4,152900
133,134,134,Stephen Leaney,7,150613
134,135,135,Heath Slocum,10,149440
135,136,136,Dan Forsman,11,145957
136,137,137,Jason Dufner,10,143529
137,138,138,Brett Quigley,11,141532
138,139,139,David Peoples,8,141263
139,140,140,Deane Pappas,9,140235
140,141,141,D.J. Brigman,9,137327
141,142,142,Mathias Grönberg,11,135000
142,143,143,Robert Gamez,9,131313
143,144,144,Scott Simpson,6,130032
144,145,145,Pat Bates,10,129218
145,146,146,Camilo Villegas,5,129200
